Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        23.77   20.84   27.08   26.61   20.55
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.22    0.51   -1.21   -0.20    0.03
 1961   -0.14   -1.08   -0.40    0.34    0.58
 1962    0.14    1.14   -0.69    0.71   -0.59
 1963   -0.72    0.02   -0.12   -1.62   -1.15
 1964   -0.46    0.58    0.13   -2.09   -0.47
 1965   -1.70   -2.00   -1.95   -1.59   -1.26
 1966   -0.27    0.12   -0.62    0.55   -1.14
 1967    0.18   -0.60   -0.08    1.00    0.39
 1968    0.30    0.28    0.91    0.03   -0.01
 1969    0.41    0.63   -0.12    0.96    0.16
 1970   -0.07   -1.35   -0.31    0.89    0.49
 1971    0.29    0.15    0.77    0.53   -0.30
 1972   -0.67   -1.26   -0.69   -0.22   -0.49
 1973   -0.54    0.50    0.66   -1.74   -1.60
 1974    0.24    0.24    0.10    0.13    0.50
 1975    0.76    2.45    0.30   -0.45    0.73
 1976   -0.53   -0.95   -1.25   -0.21    0.29
 1977   -0.18    0.94   -0.81   -0.80   -0.04
 1978    0.46    0.95    0.44    0.94   -0.49
 1979    0.47    0.47   -0.12    0.80    0.72
 1980   -0.20    0.30    0.60   -1.79    0.09
 1981    0.63    1.64    0.82    0.19   -0.12
 1982   -0.73   -0.84   -1.31    1.25   -2.04
 1983   -1.04   -2.63   -0.26   -0.29   -0.99
 1984   -0.07    0.38   -0.33    0.37   -0.70
 1985   -0.17   -1.25    0.08   -0.55    1.03
 1986   -0.62   -1.03   -0.34   -0.81   -0.32
 1987   -0.06   -0.49   -0.43    0.05    0.66
 1988   -0.56   -0.01    0.20   -1.62   -0.82
 1989   -0.18   -2.33    0.74    0.38    0.50
 1990    0.39    0.38   -0.23    0.45    0.98
 1991    0.32    1.00   -0.73    1.53   -0.51
 1992   -0.22   -1.13   -0.02    1.13   -0.87
 1993   -0.44   -1.19    0.44   -1.06    0.05
 1994    0.41   -0.14    0.31    0.58    0.90
 1995    0.08    1.15    1.04   -1.89    0.03
 1996    0.09   -0.43   -0.20    0.41    0.60
 1997   -0.09    0.85    0.32   -1.34   -0.17
 1998    1.33    2.88    0.38    1.09    0.94
 1999    0.90    0.73   -0.15    2.08    0.93
 2000    0.30    0.46    1.17   -0.41   -0.03
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.47    1.25    0.10    0.56   -0.03
 2002    0.29    0.22    0.08    0.91   -0.04
 2003    0.46    1.23    0.79   -1.72    1.52
 2004   -0.60   -0.81   -0.03   -2.27    0.70
 2005    0.77    2.20    1.09   -0.12   -0.11
 2006    0.59   -0.44   -0.12    1.11    1.80
 2007    0.85    0.73    1.11    0.85    0.70
 2008    1.62    1.53    1.85    2.02    1.07
 2009   -0.39   -0.71   -0.34   -0.18   -0.35
 2010    1.66    1.92    1.18    3.24    0.32
 2011    1.50    0.28    1.76    2.16    1.82
 2012    1.52    1.34    2.23    1.47    1.04
 2013    0.60    0.09    0.56    1.60    0.16
 2014    0.60    0.65    1.14   -0.08    0.68
 2015    1.43    1.17    2.54   -0.36    2.38
 2016    0.81    0.59    0.10    1.39    1.17
 2017    1.55    1.51    1.60    2.25    0.83
 2018    1.04    1.61    2.02    0.22    0.31
 2019    0.55    0.82    0.21   -0.30    1.46
 2020    1.41    2.48    2.38   -0.69    1.47
 2021   -0.07   -0.47    0.00   -0.75    0.94
 2022    0.53    0.78    1.52   -1.57    1.40
 2023    2.41    3.27    2.13    2.63    1.59
 2024    0.47   -0.10    0.98   -0.19    1.20
 2025    1.00    1.61    1.45    0.31    0.61
 2026    1.83    2.61    1.40    2.42    0.92
 2027    1.22    1.21    1.93    1.58    0.15
 2028    1.64    1.24    0.83    2.39    2.10
 2029    1.48    0.33    0.94    2.50    2.13
 2030    2.06    4.23    1.84    1.66    0.50
 2031    0.86    0.25    0.78    0.29    2.10
 2032    1.28    1.97    1.37    1.24    0.53
 2033    1.27    1.11    2.16    1.04    0.78
 2034    0.92   -1.38    2.14    1.00    1.90
 2035    2.50    1.91    2.71    3.38    2.01
 2036    0.90    1.15    0.85   -0.14    1.74
 2037    1.77    2.89    2.80    0.28    1.10
 2038    1.50    2.03    2.11    0.91    0.94
 2039    2.24    2.96    1.71    2.28    2.01
 2040    2.14    0.78    2.46    3.44    1.88
 2041    2.52    1.43    2.04    3.32    3.30
 2042    1.24    0.29    1.90    1.73    1.06
 2043    2.02    2.37    2.08    1.88    1.76
 2044    3.13    3.12    2.95    3.69    2.78
 2045    2.34    2.15    2.33    2.66    2.21
 2046    2.20    3.15    0.64    3.37    1.62
 2047    2.40    2.54    2.13    2.93    2.01
 2048    2.71    1.96    2.90    3.54    2.45
 2049    3.18    2.28    3.05    3.98    3.42
 2050    1.54    2.35    1.50    0.07    2.25
 2051    1.98    0.40    2.37    0.90    4.27
 2052    3.48    3.34    3.04    4.18    3.36
 2053    2.70    2.67    3.05    3.25    1.85
 2054    1.98    1.30    3.28    1.90    1.43
 2055    3.73    3.24    3.05    4.71    3.94
 2056    3.54    2.73    4.11    4.31    3.00
 2057    3.48    2.78    3.59    4.23    3.34
 2058    2.94    2.83    2.89    3.68    2.38
 2059    3.79    3.39    3.94    4.99    2.84
 2060    3.23    1.53    2.56    4.85    3.97
 2061    2.26    1.81    2.85    2.90    1.48
 2062    4.62    6.02    3.51    4.92    4.02
 2063    2.87    2.21    1.84    4.38    3.07
 2064    3.53    2.97    2.78    4.35    4.03
 2065    3.34    2.81    2.81    5.15    2.59
 2066    3.40    2.88    3.60    4.90    2.23
 2067    2.92    1.65    2.09    4.80    3.15
 2068    3.84    2.81    3.65    4.27    4.61
 2069    3.68    2.33    3.82    4.76    3.80
 2070    3.92    3.18    4.19    4.72    3.58
 2071    3.34    2.26    2.31    4.93    3.86
 2072    4.12    3.04    4.11    3.78    5.56
 2073    5.03    5.65    4.99    5.01    4.47
 2074    4.22    3.25    4.43    5.47    3.75
 2075    4.88    3.25    5.55    6.35    4.39
 2076    4.97    5.16    5.06    4.52    5.13
 2077    3.99    3.54    3.83    4.66    3.94
