Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         43.2     2.9    61.6    95.0    13.4
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   14.65    9.15   36.39    4.28  -10.68
 1961  -22.20   25.99  -33.44  -15.32  -29.77
 1962   -3.76   37.45   -6.77    1.20  -34.15
 1963    4.50   13.30    6.20    8.59  -34.38
 1964   -5.41   15.18   35.21  -26.00  -50.89
 1965   17.03   -2.35  -23.30   50.87  -33.22
 1966    0.82  -45.65   -7.18   13.06  -39.08
 1967   -1.83   31.47   26.27  -17.60  -26.67
 1968    8.83  -56.64   23.62    7.95  -38.72
 1969   -2.12   22.02   12.59  -14.74   14.40
 1970    6.73  -47.41   12.07    2.24   25.90
 1971    0.20  -46.97    7.42   -7.04   28.79
 1972  -10.48    4.47    2.14  -17.88  -19.34
 1973   -9.01  -65.29    0.54   -9.79  -35.16
 1974   -9.21  -92.00   -5.26   -4.74  -41.07
 1975   -0.06   61.69   20.90   -8.73  -48.60
 1976    6.20   -9.49  -10.25   24.69  -45.89
 1977   12.12   86.78    0.31   16.57   18.59
 1978   -5.51  -58.14   -5.04   -1.08  -27.55
 1979   19.20   34.58    1.56   24.93   56.46
 1980    3.46   25.72  -10.53   18.75  -45.54
 1981   -4.71   -6.77   -4.52    2.77  -58.31
 1982    4.22  -52.03   -4.28    8.92   22.40
 1983   -5.79  203.92  -14.45   -2.04  -38.60
 1984  -19.59  -19.87   10.88  -31.55  -75.03
 1985   -9.04   24.09   -3.31  -13.09  -13.96
 1986  -12.11   84.23  -20.38  -20.88   67.19
 1987    0.19   13.75   -1.53   -5.48   45.43
 1988    3.30    7.08   36.64  -17.43   -3.90
 1989  -15.66  -43.46   12.50  -30.72  -32.34
 1990   30.91  -30.48  -13.40   38.52  194.52
 1991   -0.74  168.63   12.72  -10.05  -33.77
 1992   12.96  -33.41   -9.11   22.19   59.35
 1993   10.76  -48.67  -26.57   37.65    4.91
 1994  -16.99  -41.33  -16.27  -15.74  -23.77
 1995   12.83  -76.32   -9.43   36.81  -35.34
 1996   -1.49  -84.49    7.45   -8.94   28.46
 1997    6.88   -3.80   23.99   -9.53   46.87
 1998   -0.71   13.98   15.14   -5.97  -39.60
 1999   -8.87   31.02   -9.89  -13.36   18.90
 2000   -9.83   22.00  -28.91   -6.59   48.16
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   15.66  -69.28   -5.92   42.77  -58.85
 2002   32.48  -76.82   31.71   32.91   56.97
 2003    1.78   20.35   35.46  -22.62   15.78
 2004    8.31  -65.77   -1.83    8.98   66.52
 2005    7.37  -27.15  -13.69   14.58   60.73
 2006   -3.23  -80.07   -3.95    3.84  -33.25
 2007  -15.16  -82.29  -22.94   -1.69  -60.24
 2008  -10.12  -27.33    9.60  -15.00  -62.61
 2009   19.76   -1.39   26.46   21.59  -19.56
 2010   37.39  -56.10    3.67   63.45   28.29
 2011  -10.47   36.27   -1.56  -10.64  -60.52
 2012   -9.61   18.95  -22.76   -2.56   -5.31
 2013   11.27  -58.66   20.21   10.73  -10.69
 2014    4.11    4.65    2.23   13.02  -50.59
 2015   -4.91   26.55   13.57  -15.74  -20.02
