Frequency of Cold Nights - Observed Data
NaN indicates insufficient data is available
Refer to Accompanying Documentation
Average Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
         8.41    9.59    8.28    7.94    8.64
Timeseries (% days occurring)
YEAR   Annual     DJF     MAM     JJA     SON
1960    12.19   18.12   14.42   12.65    6.37
1961    15.27   19.03   11.34   11.48   14.39
1962    12.53    7.94   15.16   11.57    5.68
1963    11.70    7.87   15.50   11.65   10.17
1964    10.27    7.42   10.34   13.16   12.51
1965    16.38   18.43   18.75   19.34    8.67
1966    10.55    7.74   10.64    9.73    8.29
1967    11.31   11.25    9.80   11.59   13.89
1968    12.42    3.57   16.19   13.29   11.75
1969     9.49    6.81   10.19   11.03    9.98
1970    10.17   11.68   12.24    7.99   16.75
1971    12.03    7.51    6.16   12.83   18.14
1972     8.93    8.65   13.55   10.27    6.15
1973     8.68   13.89    5.24    7.98   11.32
1974    12.46   18.57   11.89    9.78   18.58
1975    15.52   16.14   10.75   13.94   22.01
1976    17.12    4.97   22.35   17.76   10.28
1977     9.25    6.17    8.88    7.13   14.25
1978     7.28   12.57    8.72   10.29    8.32
1979    11.03    3.37   15.60    8.37    8.60
1980     8.09   16.33    6.41    8.44    5.66
1981     7.67   14.28    5.00    6.60    7.15
1982     8.90    8.42    7.46    6.68    8.25
1983     6.32   13.44    4.91    5.98    6.99
1984     7.44    7.56    6.32    5.54    5.26
1985     7.92   13.98    6.80    9.51    9.43
1986     8.70    6.10    5.54    7.78    7.56
1987     5.03    5.35    9.96    3.93    3.78
1988     7.17   12.78    3.52    7.15    7.61
1989     8.05    7.35   10.41    8.55    4.53
1990     6.24    2.75    6.20    8.04    5.14
1991     6.76    4.58    7.73    8.60    7.55
1992     8.64   10.64   10.72    8.10    9.58
1993     6.60   10.48    6.55    5.02    3.79
1994     5.61   19.81    8.09    4.86    4.52
1995     8.00    4.41    3.94    4.17    6.84
1996     6.66    5.46    9.13    4.56    6.57
1997     5.57    2.06    8.48    2.89    4.52
1998     4.52   10.30    2.85    7.98    6.31
1999     6.04    8.11    3.03    7.41    3.74
2000     6.89    6.70    6.18    7.02    6.19
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
