Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    30.79    0.51   22.49   97.91    2.27
1962    32.43    0.57   25.23   94.62    9.29
1963    31.51    0.81   25.28   86.25   13.68
1964    35.04    0.74   28.33  106.73    4.37
1965    32.94    0.60   24.00  100.92    6.26
1966    31.96    1.25   24.95   88.22   13.41
1967    33.20    1.58   22.80  101.52    6.92
1968    26.15    1.66   21.64   75.73    5.59
1969    29.85    1.01   18.09   85.55   14.76
1970    26.84    0.66   18.52   84.62    3.57
1971    27.36    1.64   16.80   88.67    2.32
1972    22.18    0.98   25.47   55.57    6.68
1973    23.07    0.61   20.20   67.66    3.82
1974    29.21    1.20   17.90   91.82    5.92
1975    28.36    1.58   19.57   87.34    4.93
1976    28.30    0.77   22.70   75.53   14.20
1977    23.68    0.63   17.04   73.12    3.93
1978    28.19    1.97   22.76   79.78    8.25
1979    26.56    1.05   25.65   73.17    6.39
1980    26.23    1.19   19.28   79.68    4.78
1981    26.85    0.88   24.92   78.64    2.94
1982    22.98    1.41   20.70   64.53    5.29
1983    19.86    0.85   20.75   55.91    1.95
1984    20.19    0.85   21.35   51.88    6.69
1985    24.44    0.61   16.46   77.27    3.44
1986    22.96    0.56   17.19   70.63    3.46
1987    20.29    0.69   14.50   60.55    5.44
1988    27.80    0.65   18.92   88.92    2.70
1989    26.32    1.23   18.38   80.25    5.41
1990    22.83    0.65   19.49   64.50    6.68
1991    26.66    1.01   20.67   76.82    8.13
1992    23.03    0.53   21.09   67.62    2.88
1993    25.68    1.04   19.15   77.91    4.63
1994    31.39    0.62   19.22   93.10   12.64
1995    25.22    1.80   19.92   75.18    3.98
1996    24.52    0.68   19.49   72.78    5.11
1997    23.79    0.46   25.46   64.56    4.67
1998    27.11    0.64   22.85   81.01    3.96
1999    34.02    1.19   16.54  107.46   10.90
2000    26.35    0.75   23.83   75.33    5.48
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
