Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960    35.84    2.90   24.44  110.12    5.89
1961    34.64    2.06   22.76  102.96   10.81
1962    28.30    0.77   25.62   78.12    8.71
1963    33.00    2.44   28.47   89.02   12.05
1964    32.65    4.06   28.05   91.51    6.96
1965    30.76    1.80   24.02   87.42    9.82
1966    41.90    1.44   25.62  119.76   20.79
1967    33.01    2.21   25.21   95.85    8.76
1968    31.20    6.17   26.78   84.31    7.54
1969    29.42    1.45   31.34   76.08    8.81
1970    34.28    1.69   24.59  105.23    5.61
1971    37.19    1.40   20.17  114.60   12.59
1972    30.88    1.15   25.36   88.30    8.71
1973    28.62    0.35   20.05   89.23    4.84
1974    26.34    1.34   19.40   73.77   10.86
1975    36.85    2.04   29.28  106.40    9.66
1976    30.12    1.80   25.79   86.80    6.11
1977    34.27    4.56   30.40   93.94    8.19
1978    32.35    5.30   24.01   92.08    8.02
1979      NaN    0.59   19.00     NaN     NaN
1980      NaN     NaN     NaN     NaN     NaN
1981      NaN     NaN     NaN     NaN     NaN
1982      NaN     NaN     NaN     NaN     NaN
1983      NaN     NaN     NaN     NaN     NaN
1984      NaN     NaN     NaN     NaN     NaN
1985      NaN     NaN     NaN     NaN     NaN
1986      NaN     NaN     NaN     NaN     NaN
1987      NaN     NaN     NaN     NaN     NaN
1988      NaN     NaN     NaN     NaN     NaN
1989      NaN     NaN     NaN     NaN     NaN
1990      NaN     NaN     NaN     NaN     NaN
1991      NaN     NaN     NaN     NaN     NaN
1992      NaN     NaN     NaN     NaN     NaN
1993      NaN     NaN     NaN     NaN     NaN
1994      NaN     NaN     NaN     NaN     NaN
1995      NaN     NaN     NaN     NaN     NaN
1996      NaN     NaN     NaN     NaN     NaN
1997      NaN     NaN     NaN     NaN     NaN
1998      NaN     NaN     NaN     NaN     NaN
1999      NaN     NaN     NaN     NaN     NaN
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
