Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    27.95   22.96   32.61   30.53   25.68
1962    27.85   23.50   31.89   30.51   25.50
1963    28.10   25.17   31.15   31.10   24.97
1964    27.98   24.74   31.25   30.53   25.41
1965    27.71   24.05   30.94   30.60   25.25
1966    28.20   24.87   31.99   30.78   25.15
1967    27.80   23.71   32.24   30.32   24.93
1968    28.03   23.88   31.26   30.88   26.11
1969    28.57   26.31   31.69   30.64   25.66
1970    28.43   25.16   32.29   30.56   25.69
1971    27.97   24.30   31.99   30.14   25.47
1972    28.03   23.96   30.89   31.44   25.81
1973    28.23   23.61   33.08   31.11   25.11
1974    27.56   23.15   31.94   30.30   24.85
1975    27.55   23.14   31.68   30.18   25.19
1976    27.21   22.21   31.19   30.40   25.04
1977    28.23   24.48   32.18   30.74   25.54
1978    28.42   25.34   31.96   30.74   25.65
1979    28.32   25.20   31.60   31.08   25.38
1980    28.53   25.14   33.01   30.75   25.21
1981    28.27   24.03   32.55   30.74   25.75
1982    27.91   23.54   32.11   31.37   24.64
1983    28.85   24.12   33.57   31.87   25.84
1984    28.36   23.61   32.53   31.69   25.60
1985    28.45   24.87   32.30   30.93   25.72
1986    28.05   23.62   32.86   30.88   24.82
1987    29.30   24.98   33.28   32.15   26.79
1988    28.45   24.56   33.06   31.04   25.15
1989    28.43   23.58   32.45   30.99   26.69
1990    28.93   24.73   32.88   31.52   26.60
1991    28.31   24.08   32.22   31.19   25.73
1992    28.08   23.62   32.02   30.87   25.82
1993    28.53   23.92   32.91   31.18   26.12
1994    28.15   23.77   32.52   30.67   25.61
1995    28.56   23.56   32.95   31.35   26.39
1996    28.88   25.60   32.48   31.37   26.06
1997    28.80   24.52   32.16   31.81   26.71
1998    29.16   25.42   33.45   31.73   26.06
1999    28.51   23.79   33.59   30.67   25.99
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
