Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         27.2     1.3    20.9    80.2     6.4
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     JFM     AMJ     JAS     OND
 1960    3.51    0.87    0.63   15.64   -2.39
 1961    5.26    0.04    2.39   24.12    2.52
 1962    7.13   -0.38    5.13   22.50    3.76
 1963    5.97    0.42    5.18   10.70    9.03
 1964    9.51    2.04    8.24   31.18    1.71
 1965    7.41    0.32    3.90   25.37    1.53
 1966    9.58    0.29    4.85   25.27   12.50
 1967    7.67    0.62    2.70   26.67    1.40
 1968    1.43    4.15    4.14    2.08    0.07
 1969    4.32    0.10    7.54   10.00    9.24
 1970    1.96   -0.29    0.78   10.75   -1.96
 1971    4.87    0.68   -3.30   20.11    4.30
 1972   -1.44    0.03    5.37   -6.18    1.16
 1973   -2.46   -0.35    0.10   -5.25   -1.70
 1974    3.68    0.25   -2.19   16.27    2.57
 1975    4.52    0.63    5.47   11.92    1.37
 1976    2.77   -0.18    2.60   -0.02   12.86
 1977    1.95    2.53    6.59   -0.29   -0.10
 1978    3.43    3.28    4.81    4.49    4.36
 1979    1.03    0.09    5.55   -2.38    2.38
 1980    0.70    0.24   -0.61    4.83   -0.74
 1981    1.32   -0.07    5.63    3.09   -2.58
 1982   -2.55    0.45    2.94  -11.02   -0.24
 1983   -5.67   -0.11    0.65  -19.64   -3.58
 1984   -5.34   -0.11    1.25  -22.60    1.17
 1985   -1.09   -0.35   -3.47    1.72   -2.08
 1986   -2.15   -0.39   -2.14   -3.57   -2.07
 1987   -5.24   -0.26   -4.32  -15.00    0.86
 1988    2.27   -0.31   -1.18   13.37   -2.64
 1989    0.79    0.28   -1.72    4.81   -0.12
 1990   -2.70   -0.31   -0.61   -9.58    1.15
 1991    1.81    0.19    2.43    1.27    3.80
 1992   -0.67    3.75    1.28   -4.99   -2.64
 1993    0.15    0.08   -0.95    2.36    1.91
 1994   12.55    9.34    9.26   22.66    8.94
 1995    1.36    0.85    1.75    4.53   -0.58
 1996   -0.52   -0.27   -0.61   -0.22   -0.41
 1997   -1.15   -0.49    6.93  -10.99    0.75
 1998    2.41    0.23    2.75   10.51   -1.38
 1999    9.48    0.24   -3.56   36.81    6.01
 2000    0.82    2.19    3.74   -0.22   -0.04
 2001    0.51   -0.43    4.70   -0.16   -2.09
 2002   -0.17    7.07   -5.12   -8.22    5.57
 2003    8.95    0.80    5.03   25.35    4.61
 2004   -1.01   -0.15    0.24   -1.78   -2.34
 2005    0.12    1.71    4.12   -4.90   -0.45
 2006    2.05    3.28    0.86    1.66    2.39
