Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
       Annual     JFM     AMJ     JAS     OND
         25.5     1.0    20.1    75.5     5.5
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961     4.94   -0.94    0.29   24.12   -3.69
1962     7.13   -1.12    4.04   22.50    3.09
1963     5.69   -0.19    3.87   10.04    9.03
1964     7.79   -0.63    8.23   21.87    1.71
1965     6.60    0.32    3.22   22.17    0.69
1966     4.28   -0.06    0.53   10.34    6.30
1967     7.08    0.38    0.94   26.67    0.34
1968     1.43    0.71    4.14    2.08   -1.22
1969     3.35    0.10   -2.10    7.90    7.50
1970     0.91   -0.66   -0.87    8.92   -3.76
1971     1.05    0.15   -4.41   12.25   -3.78
1972    -3.96   -0.44    3.52  -19.04    0.14
1973    -4.04   -1.15   -4.24   -8.11   -2.66
1974     1.39   -0.52   -4.23   11.64   -1.34
1975     2.47   -0.60    1.43   10.98   -1.94
1976     2.36   -0.31    0.83   -3.96   12.86
1977    -1.47   -0.66   -2.00   -0.29   -2.91
1978     3.43    0.08    4.81    4.49    4.36
1979     0.73   -0.44    5.05   -4.09    2.38
1980     0.36   -0.48   -0.61    4.83   -2.31
1981     0.48   -0.58    5.63   -0.25   -2.90
1982    -3.02   -0.10    2.94  -13.95   -0.99
1983    -7.15   -1.00   -2.05  -21.51   -4.06
1984    -6.17   -0.88   -1.27  -22.60    0.05
1985    -2.14   -0.73   -3.47   -1.29   -3.09
1986    -2.15   -0.82   -2.14   -3.57   -2.08
1987    -6.11   -0.78   -4.32  -20.18    0.86
1988     1.94   -0.51   -2.28   13.18   -2.64
1989     0.26    0.01   -3.62    4.81   -0.15
1990    -3.43   -1.18   -0.69   -9.58   -2.25
1991     1.81    0.19    2.43    0.80    3.80
1992    -0.67    3.75    1.28   -4.99   -2.72
1993    -0.99   -0.17   -4.63   -1.06    1.91
1994    12.55    9.34    9.26   22.66    8.94
1995     1.36   -0.28    1.75    4.53   -0.58
1996    -0.52   -0.38   -0.94   -0.22   -0.53
1997    -1.15   -0.56    6.93  -11.72    0.75
1998     2.41    0.23    0.28   10.51   -1.38
1999     9.48   -0.53   -4.38   36.81    6.01
2000     0.52    2.19    0.80   -0.78   -0.13
2001     0.51   -0.43    4.70   -0.16   -2.09
2002    -0.17    7.07   -5.12   -8.22    5.57
2003     8.95    0.80    5.03   25.35    4.61
2004    -1.01   -0.15    0.24   -1.78   -2.34
2005     0.12    1.71    4.12   -4.90   -0.45
2006     2.05    3.28    0.86    1.66    2.39
