Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
      27.8586      23.7505      32.1216      30.8726      24.6898
Timeseries in Anomalies relative to 1971-2000 mean (degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
 1960   -0.54   -0.30   -1.25   -0.27   -0.32
 1961   -0.65   -1.59   -0.25   -0.85   -0.12
 1962   -0.63   -0.81   -0.68   -0.64   -0.45
 1963   -0.29    0.97   -1.46    0.05   -0.88
 1964   -0.45    0.32   -1.25   -0.83   -0.41
 1965   -0.64   -0.13   -1.52   -0.80   -0.45
 1966   -0.15    0.22   -0.46   -0.27   -0.55
 1967   -0.62   -0.58   -0.22   -0.89   -0.78
 1968   -0.35   -0.46   -1.23   -0.20    0.40
 1969    0.22    1.96   -0.77   -0.48   -0.04
 1970    0.04    0.89   -0.17   -0.58   -0.10
 1971   -0.37   -0.00   -0.47   -0.99   -0.24
 1972   -0.32   -0.22   -1.57    0.39    0.02
 1973   -0.18   -0.58    0.39   -0.18   -0.59
 1974   -0.84   -1.07   -0.60   -0.80   -0.95
 1975   -0.80   -1.19   -0.78   -0.88   -0.51
 1976   -1.16   -1.97   -1.33   -0.67   -0.69
 1977   -0.52   -0.44   -0.36   -0.57   -0.69
 1978   -0.20    0.87   -0.88   -0.79   -0.17
 1979   -0.03    0.99   -0.85    0.03   -0.57
 1980    0.18    0.96    0.56   -0.41   -0.49
 1981   -0.08   -0.16    0.04   -0.48   -0.43
 1982   -0.44   -0.65   -0.42    0.28   -1.06
 1983    0.41   -0.14    0.70    0.58   -0.23
 1984   -0.37   -0.63   -0.14   -0.05   -0.75
 1985   -0.26   -0.06   -0.78   -0.27   -0.10
 1986   -0.67   -1.11    0.11   -0.38   -1.32
 1987    0.19   -0.08   -0.04    0.73    0.16
 1988   -0.34    0.09   -0.13   -0.21   -1.29
 1989   -0.25   -1.13   -0.46   -0.21    0.71
 1990    0.29    0.22    0.27    0.10    0.44
 1991   -0.04   -0.11   -0.30    0.14   -0.30
 1992   -0.27   -0.56   -0.52   -0.48   -0.46
 1993    0.02   -0.40    0.24    0.07    0.18
 1994   -0.43   -0.87   -0.29   -0.69   -0.33
 1995   -0.02   -1.18    0.29    0.26    0.45
 1996   -0.04    0.92   -0.24   -0.26   -0.56
 1997   -0.12   -0.62   -0.46    0.16    0.46
 1998    0.61    0.31    1.00    0.50    0.21
 1999   -0.13   -1.08    0.20   -0.60    0.05
 2000    0.13    0.05    0.71    0.19   -0.44
 2001    0.33   -0.71    0.19    0.38    1.10
 2002    0.49   -0.18    0.43    0.83    0.67
 2003    0.77    0.24    0.78   -0.10    1.24
 2004    0.36    0.06    0.19    0.37    0.73
 2005    0.84    0.81    0.48    0.58    1.17
 2006    0.25    0.07    0.39    0.66   -0.12
