Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         25.5     1.0    20.1    75.5     5.5
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    20.61  -47.02   11.89   29.60  -58.83
1962    27.01  -39.93   25.54   25.24   68.14
1963    23.40  -15.40   25.80   14.17  147.67
1964    37.26  -22.32   40.98   41.28  -20.86
1965    29.03  -37.26   19.40   33.58   13.36
1966    25.17   30.75   24.15   16.77  142.78
1967    30.05   65.51   13.43   34.37   25.26
1968     2.44   73.73    7.67    0.24    1.23
1969    16.92    5.69  -10.00   13.24  167.24
1970     5.14  -30.79   -7.85   12.01  -35.42
1971     7.15   71.69  -16.40   17.37  -57.98
1972   -13.14    3.26   26.74  -26.45   20.93
1973    -9.64  -36.23    0.49  -10.44  -30.86
1974    14.42   26.24  -10.92   21.54    7.23
1975    11.07   65.99   -2.64   15.61  -10.71
1976    10.85  -19.21   12.96   -0.02  157.10
1977    -7.26  -34.44  -15.23   -3.22  -28.86
1978    10.42  106.45   13.23    5.60   49.43
1979     4.04    9.61   27.63   -3.15   15.68
1980     2.75   25.01   -4.06    5.47  -13.44
1981     5.15   -7.71   24.02    4.09  -46.75
1982    -9.99   47.66    2.99  -14.59   -4.30
1983   -22.20  -11.18    3.25  -26.00  -64.75
1984   -20.92  -11.31    6.23  -31.34   21.19
1985    -4.26  -36.44  -18.12    2.28  -37.74
1986   -10.07  -41.07  -14.47   -6.51  -37.41
1987   -20.52  -27.74  -27.87  -19.86   -1.57
1988     8.88  -32.13   -5.86   17.70  -51.03
1989     3.08   28.98   -8.55    6.23   -2.08
1990   -10.58  -32.16   -3.02  -14.63   20.91
1991     4.42    5.44    2.87    1.68   47.26
1992    -9.79  -44.45    4.95  -10.49  -47.84
1993     0.59    8.89   -4.72    3.12  -16.14
1994    22.97  -34.58   -4.39   23.23  128.81
1995    -1.21   88.75   -0.87   -0.49  -27.87
1996    -3.98  -28.73   -3.03   -3.66   -7.46
1997    -6.83  -51.42   26.67  -14.55  -15.41
1998     6.20  -33.09   13.69    7.23  -28.31
1999    33.26   24.71  -17.72   42.24   97.38
2000     3.20  -21.15   18.58   -0.29   -0.75
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
