Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960     13.71    -6.94    13.47     9.08    20.16
1961     11.86    14.52    28.36    15.24    19.05
1962      7.87    29.23    19.71    29.55    21.61
1963      9.45    13.51    24.20    26.10    12.35
1964     16.69    15.35    25.16    34.02    19.51
1965     10.95    29.21    19.37    23.70    10.61
1966      6.57    19.31    21.82    21.93    20.51
1967      6.78    24.39    20.02    18.17    18.78
1968      6.94    30.51    21.07    18.26    21.39
1969      7.65    19.88    15.92    29.33    19.71
1970      8.36    18.73    18.98    14.44    21.29
1971      8.97    11.81    25.21    14.98    19.92
1972     11.55    26.82    16.43    18.86    26.06
1973      8.41    20.66    14.00    21.80    10.22
1974      8.78    25.57    19.36    33.41    15.64
1975     10.28    27.34    24.05    26.89    20.27
1976      6.80    13.18    23.05    17.70    14.65
1977      8.02    26.14    17.73    32.89    18.24
1978      4.23    14.11     7.68    11.85    12.05
1979     15.64    21.90    15.68    24.18    17.79
1980      7.50    30.50    14.35    10.56     9.25
1981     16.12    21.36    24.35    17.63    21.39
1982     15.23    38.07    21.56    19.67    20.74
1983      6.51    16.94    22.65    28.04    16.78
1984      3.56    19.16    18.90    17.12    20.80
1985      8.35    15.15    18.19    17.04    24.12
1986      6.48    15.58    24.14     8.38    21.37
1987      4.84    23.66    20.77    19.90    14.34
1988     13.47    16.47    15.27    25.07    19.51
1989     10.21    23.92    22.70    28.46    17.38
1990      9.54    16.02    15.11    24.81    20.26
1991      7.52    27.30    17.36    23.26    19.20
1992      4.43    21.07    17.97    19.45    23.25
1993     17.31    19.24    26.35    31.59    21.55
1994      5.63    14.66     7.18    22.87    21.85
1995      8.00    19.49    15.00    23.74    17.69
1996      8.92    22.12    11.59    24.34    24.65
1997     15.56    14.78    14.60    35.47    32.75
1998      6.84    22.68    21.84    23.29    18.96
1999      4.50    13.25    16.76    18.24    10.68
2000      9.09    12.46    13.96    28.64    24.68
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      5.76    13.37    11.44    22.95    21.33
2047      4.45     6.94    19.37    16.91    11.23
2048      8.10    14.82    22.19    18.78    19.33
2049     14.21    14.74    19.02    29.89    23.37
2050     10.56    27.58    22.02    30.96     8.65
2051     11.07    21.43    25.77    27.45    13.19
2052      7.52    20.04     8.36     3.93    10.54
2053      4.11    23.37    12.93    25.01    10.63
2054     10.59    15.51    14.01    26.53    19.64
2055      8.31    12.02    17.25    14.40    17.12
2056     17.62    23.29    19.07    38.28    21.11
2057     14.84    41.03     7.25    11.14    23.06
2058     13.18    11.68     4.94    12.43    28.26
2059      5.76    22.43    11.22    17.05    19.91
2060     18.73    10.88    18.32    26.03    26.07
2061     12.78    31.09    12.53    28.30    19.47
2062     14.95    29.20    11.26    23.47     8.50
2063     11.07    30.60    18.83    38.20    18.46
2064      5.47    21.98    20.12    13.09    13.18
2065      8.94     5.83    17.92    25.27    22.70
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
