Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         16.34     7.08     7.15     8.41    11.13
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -3.48     3.23    -3.42    -3.98     0.06
1962     -3.00     4.63     1.18     0.20    -2.57
1963      1.42    -0.82    -3.54     4.25    -2.01
1964     -3.14     1.57    -0.54    -3.05    -2.58
1965      3.61     1.36     1.11     7.30     0.48
1966      0.60     6.78     1.77     4.23    -1.18
1967      1.68     2.46     3.07     2.31     2.52
1968     -0.38    -1.37    -0.83     0.36    -3.70
1969      0.18     6.13    -2.78     1.65     2.35
1970      0.48     0.44     2.31     3.60    -0.37
1971      2.81     0.44    -2.67     0.98     6.38
1972      0.55    -3.24     3.35    -4.08     0.78
1973     -2.60    -0.23    -0.20    -3.11     0.07
1974     -4.20    -2.47    -0.06    -1.01    -5.60
1975     -0.93     0.31     0.92    -1.60    -2.43
1976     -0.56    -1.35    -2.20    -3.52     2.07
1977      4.43     6.25    -1.81     4.95     5.21
1978     -0.85    -3.85     2.87    -0.17    -2.75
1979      5.58     4.93     1.02    11.28    -4.76
1980      2.56     2.62    -0.27     1.76     3.73
1981     -2.33     4.27     0.66    -2.36    -6.20
1982     -2.50    -1.94     2.46    -3.26    -2.71
1983     -2.67     1.21    -2.16     1.79    -5.42
1984     -2.21     2.51    -4.64    -5.01     0.11
1985     -1.02     3.76    -3.81     0.01    -0.55
1986      2.28     2.80     3.56     1.35     3.63
1987     -0.21     1.00    -1.45     1.19     0.80
1988      0.57    -2.66     3.88     4.36    -1.81
1989      1.42    -1.38     3.91    -2.03     4.50
1990     10.51    -4.31     0.70     6.61     9.65
1991     -0.17     3.82     0.75    -2.40     0.76
1992      1.41    -4.48     2.01     1.33     2.44
1993      4.49    -0.15    -2.13     0.68     5.92
1994     -6.69    -4.29    -2.21    -3.96    -3.49
1995     -1.55    -3.09    -0.47    -0.99    -2.39
1996     -2.77     3.27    -1.12    -4.43    -2.45
1997     -0.64    -2.50     1.84     0.30     0.13
1998     -3.82    -2.37    -4.22    -0.94    -1.32
1999     -1.38     0.69    -0.80    -1.31    -3.94
2000     -3.94     3.73    -3.20    -0.55    -0.55
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
