Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      7.39     1.93     2.80     1.72     7.60
1962      8.50     5.74     4.89     5.24     2.26
1963      2.37     0.66     5.17     8.94     5.17
1964      6.54     2.15     5.76     1.49     4.61
1965      3.95     1.54     5.16     5.11     6.05
1966      4.56     1.78     4.15     5.31     2.08
1967      4.97     2.06     7.94     5.94     4.50
1968      7.36     5.97     3.47     3.44     3.25
1969      5.21     1.92     6.16     4.34     6.22
1970      5.66     5.44     5.66     5.70     1.81
1971      7.63     3.82     6.77     7.18     4.25
1972      7.35     2.66     6.91     5.07     0.50
1973      7.43     2.65     2.72     6.10     3.28
1974      6.36     2.05     2.93     2.71     2.24
1975      6.22     3.29     4.64     6.69     3.59
1976      7.22     1.98     4.86     7.86     4.49
1977      6.09     3.61     5.55     4.87     2.52
1978      7.53     3.14     0.49     3.73     3.49
1979      7.16     4.82     5.19     4.22     5.68
1980      5.51     4.06     3.49     7.95     6.88
1981      3.72     1.06     2.74     4.80     3.98
1982      6.05     5.23     4.60     4.08     4.07
1983      5.95     1.97     2.60     5.60     1.56
1984      5.40     4.92     7.11     4.29     1.78
1985      4.62     1.30     3.26     5.60     2.44
1986      5.04     2.95     0.34     4.70     3.70
1987      4.49     3.35     1.91     2.38     1.64
1988      8.50     3.81     2.07     0.65     0.01
1989      5.37     6.16     1.02     1.00     2.10
1990      7.52     3.90     2.36     4.18     3.68
1991      6.80     0.47     9.51     1.54     2.54
1992      6.09     4.36     2.07     5.87     4.89
1993      3.49     1.50     0.94     5.70     1.55
1994      5.37     5.31     2.70     4.96     4.77
1995      4.85     0.66     4.09     7.34     2.20
1996      3.83     1.71     0.85     2.10     3.12
1997      5.77     2.03     2.42     3.48     4.23
1998      4.11     0.20     0.08     2.75     4.50
1999      4.97     1.82     1.91     2.64     2.42
2000      3.48     1.06     1.74     3.12     0.75
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.36     1.34     1.06     0.86     0.00
2047      1.78     0.32     1.91     0.29     0.12
2048      1.86     0.09     0.82     0.14     0.50
2049      0.93     0.07     1.23     0.05     0.97
2050      1.75     0.00     0.96     0.26     0.00
2051      1.04     0.10     0.16     0.14     0.46
2052      1.44     0.41     0.06     0.25     0.34
2053      1.96     1.11     0.00     0.00     0.52
2054      1.39     0.22     0.13     0.00     0.59
2055      1.01     0.00     0.09     0.13     0.00
2056      1.49     0.69     0.13     0.00     0.17
2057      1.80     0.05     0.19     0.00     0.96
2058      0.55     0.00     0.37     0.36     0.00
2059      1.49     0.18     0.68     0.04     0.95
2060      1.02     0.32     0.10     0.04     0.21
2061      0.50     0.00     0.01     0.00     0.00
2062      0.42     0.00     0.09     0.05     0.00
2063      0.59     0.04     0.04     0.18     0.04
2064      0.84     0.16     0.30     0.00     0.00
2065      1.41     0.29     0.33     0.03     0.70
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
