Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00     9.97    10.01    10.02    10.00
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.33     5.46    11.51     1.72    11.11
1962      9.22    10.38     6.90     8.15     3.05
1963      2.37     0.66     7.25    11.62     5.17
1964     11.96    10.51     8.53     1.49     8.94
1965      3.95     1.54     8.11    11.06     6.05
1966      4.56     1.78    11.59    15.93     4.78
1967     17.62    18.56    17.97     8.76    19.04
1968      7.36     6.26     3.86     3.44     7.18
1969      8.17     7.10     7.05     4.94     6.80
1970      6.11     8.01    14.34    14.93     3.64
1971      7.63     3.82    19.41    17.24     7.78
1972      7.35     5.47    15.40     5.07     5.11
1973     11.23     6.03     2.72    13.87    22.12
1974      9.33    10.58     7.06     6.29     5.99
1975      6.89     7.44     4.64     9.42     3.59
1976     19.05    10.36    35.77     7.86    20.06
1977      8.39    10.47    13.28     7.74     4.49
1978      7.53     3.67     0.49     8.70    13.57
1979     11.53     9.68     9.98    14.91     8.14
1980      5.51     4.06     5.05     7.95     9.82
1981     10.91    16.72     9.45     9.55     4.47
1982      9.33     5.59     5.66    11.14    14.11
1983     16.07    25.24    18.64    13.18     5.02
1984      5.40     5.19     9.51     4.29     1.78
1985      7.62     3.40    11.24     7.55     8.45
1986      8.89     6.37    15.28    13.90     9.36
1987     11.89    17.45     8.35    25.73    10.50
1988      8.50     3.81     2.07     0.65     8.58
1989     14.06    15.68     2.17     8.73    23.60
1990     17.39    21.44    10.95     8.78    19.38
1991     11.42    15.06    11.21     1.54    13.54
1992     14.40    15.57     8.60     7.94    13.95
1993      5.96     4.11     8.42    13.44     4.42
1994     13.18    15.65     4.33    11.72    12.68
1995      7.59     8.33     9.42    10.48     5.68
1996      3.83     2.95     0.85     4.35     3.12
1997      8.03     8.41     3.92     9.85     9.49
1998     11.89    10.15    19.45     5.13    13.12
1999     12.96    18.24    12.67    18.72    14.54
2000      6.28     2.21     2.42     3.92     6.28
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.36     1.63     1.55     1.04     0.50
2047      2.00     0.32     2.97     2.42     0.86
2048      2.47     0.81     7.21     0.89     0.50
2049      4.71     1.98     3.39     0.43     2.15
2050      1.75     1.42     5.59     0.77     0.00
2051      1.04     0.10     2.49     0.14     2.53
2052      1.44     0.41     0.88     0.25     0.99
2053      2.97     2.07     1.20     0.00     1.30
2054      4.00     1.13     1.27     0.45     7.62
2055      5.08     4.88     5.11     0.31     1.52
2056      3.30     3.88     0.34     0.11     0.17
2057      4.42     3.53     2.04     0.05     5.48
2058      0.95     0.88     4.47     0.59     0.13
2059      2.30     0.55     0.68     1.05     4.79
