Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.98    10.01    10.00    10.03    10.03
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     11.20     8.88    20.81    16.81    13.13
1962     14.62    18.85    19.72    13.09     8.55
1963      8.15     8.92     9.04    12.94     6.86
1964     12.29    11.17    22.20    22.75    12.51
1965      7.74     3.82    14.95    11.53    12.24
1966      9.41     8.41     7.29     6.40     8.44
1967     10.36    10.33    21.34     7.99     8.06
1968     10.79     8.91    14.87    10.32    14.79
1969     10.60    11.40    11.30     7.34     9.10
1970     13.32    10.71    10.39    19.03    16.42
1971     11.48    12.55    14.14     7.18    15.02
1972     15.36    12.86    33.22     7.34    10.98
1973      7.99     9.21     3.05     9.13    11.23
1974     11.19    10.94    15.09    16.25    11.87
1975     13.49    13.49    11.26     7.81    12.81
1976     10.72     8.67     7.68    15.68    16.68
1977     10.01     9.16    11.19     8.82    13.37
1978     11.06     9.42    13.20     3.73     8.91
1979      9.62     8.35     5.90    13.52    16.21
1980      8.10     7.69     3.49    20.42     7.28
1981      7.86     3.83    12.13    15.85    12.97
1982     10.36    14.19    11.31     5.69    10.37
1983     14.97    23.34     3.65    14.22    11.81
1984     13.16    13.89    19.61    19.02     9.84
1985      8.62     8.86     3.48     8.16     8.71
1986      9.12     7.82     5.55     4.70     9.80
1987      8.88     7.94     5.39    10.37     6.85
1988     10.24    10.73    11.05     4.56    16.05
1989     12.27    14.00    10.27     1.00    13.72
1990      8.71     8.37     4.62     8.69     3.68
1991     10.60    11.29    18.63    14.06     7.50
1992      6.09     5.32     2.07    16.27     4.89
1993      8.75    10.65     9.24    15.77     2.98
1994      6.51     6.54     9.36     8.41     4.77
1995      9.36     9.60    15.45     8.42     3.79
1996      7.91     3.49     9.01     6.34    14.56
1997      8.57    10.39    13.17     4.25     7.93
