Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99     9.97    10.00     9.98     9.97
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.66    11.78     9.91     8.61     3.79
1962      9.22     3.91    12.62     8.23     3.59
1963      8.84    12.73    15.67     9.20    10.34
1964     13.59     9.89    20.37    12.56    10.00
1965      7.74     3.99     8.14     5.47     3.81
1966      6.50     5.61     5.69     5.00     3.61
1967      9.85     3.98     8.21    10.71     8.21
1968      6.12     1.11    13.81     3.65     3.26
1969     14.20    29.76     2.48    18.50    14.02
1970     13.15     2.58    21.22    15.88     8.73
1971      9.29     4.23    25.11     6.66     8.22
1972      9.29     1.00    12.11     6.65     1.74
1973      9.07     5.73     0.76     8.26    16.01
1974      9.39     9.02     5.54     9.12     9.39
1975      8.57    15.61     0.64     5.67     5.67
1976      8.38    11.47    20.94     6.38     9.83
1977      7.69     5.91     9.01     5.45     5.32
1978     11.28     1.62    15.21     9.40    10.45
1979      8.94     7.08     7.78    11.80    12.24
1980      9.75     3.17    13.20     6.97     5.40
1981     10.35    11.90    16.22     8.47    14.40
1982      8.24    11.64     4.26     7.47     7.06
1983     11.28    26.62     9.18    11.37     4.17
1984     11.73    18.82     7.03    10.75    11.49
1985     10.51     7.75    11.77    11.42     4.93
1986     13.26    16.28    19.88    14.87    22.18
1987     12.92    31.32    10.40    16.21    17.98
1988     10.41     4.82    14.73     9.00     6.17
1989      7.97    15.13     8.83     7.78     9.71
1990     11.81     2.40    16.20    14.02     9.99
1991     10.38     6.79     3.29    12.87     4.53
1992      8.14    18.36    11.09     4.75     8.28
1993     10.04    16.17     6.81     8.69     7.95
1994      8.88     9.71     4.63     8.95    18.21
1995     12.66     2.34     3.95    15.03    14.55
1996     11.22    17.12     1.82    14.53    15.99
1997     10.24     5.82    11.54    11.44     8.87
1998      6.40     3.32     2.09     7.34     8.57
1999      8.36     5.26     4.72    12.32    11.10
2000     15.93    14.41    22.92    27.68     5.29
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     20.06    12.47    22.40    39.13    14.51
2047     17.30    21.64     7.47    33.21    13.47
2048     15.97     9.89    11.12    24.66    12.70
2049     19.40    26.06    13.40    43.31    21.49
2050     21.84    47.44    27.56    39.61    21.01
2051     19.64    45.86    27.19    40.90     6.70
2052     20.01    22.83    12.35    50.82    23.09
2053     22.07    24.02    21.94    45.92    10.40
2054     24.34    14.83    28.90    55.16    22.71
2055     18.70    25.05    23.80    25.99    23.66
2056     21.92    23.49    39.90    41.12    21.01
2057     20.45    32.76    13.79    38.34    29.91
2058     18.49     5.40    22.59    34.27    22.16
2059     22.39    21.20    27.14    44.86    19.62
2060     21.45    43.26    13.60    48.38    18.12
2061     25.17    43.76    35.30    53.49    29.54
2062     24.64    21.57    35.61    39.01    26.17
2063     22.36    39.08    31.39    48.64    24.85
2064     29.50    27.91    48.03    58.29    21.28
2065     23.16    41.62    25.06    38.93    23.67
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     25.89    29.49    22.95    54.17    31.56
2082     30.98    30.49    31.58    69.03    38.82
2083     29.02    36.80    33.17    80.96    26.97
2084     29.06    47.59    37.39    56.71    40.16
2085     29.15    49.88    37.27    70.73    22.13
2086     24.88    59.28    31.46    49.60    32.94
2087     33.51    53.87    51.17    70.12    44.20
2088     26.83    38.27    31.29    70.06    29.28
2089     29.25    45.04    44.02    65.28    38.11
2090     34.28    65.81    55.38    70.52    36.79
2091     29.46    58.84    45.46    74.68    25.23
2092     30.05    46.63    47.22    72.60    31.32
2093     28.08    63.41    47.91    62.75    34.48
2094     29.10    53.53    47.06    56.45    46.01
2095     30.59    30.60    46.04    71.76    22.30
2096     29.03    29.50    42.06    66.86    28.42
2097     28.35    40.81    31.17    58.41    33.31
2098     29.86    24.45    35.99    59.49    38.46
2099     24.95    41.86    38.03    52.98    26.21
2100     29.65    59.11    34.10    71.90    40.95
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     17.55     3.75    28.16    28.13    10.87
2047     21.58     8.26    23.03    42.55    28.94
2048     20.19    45.84    18.24    32.56    19.79
2049     21.60    24.42    26.64    26.57    24.51
