Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99    10.02     9.97    10.00     9.99
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      9.27     4.71    16.10     6.13    12.85
1962     10.05    13.33     7.38    13.56    10.58
1963      8.22     6.04    11.53     5.09     9.77
1964     11.88    13.50    19.19     7.84     9.66
1965     14.07     6.17    13.75    15.58     8.53
1966     10.61    10.24    12.21     8.83     7.34
1967     12.98     3.17    10.13    14.26    16.54
1968     10.15    11.33     1.92    11.93    11.33
1969     10.46    12.81    10.37     7.81    16.41
1970     11.75     9.35    14.58    13.40    12.67
1971      9.59    12.41     9.60     8.38    14.56
1972     10.69     6.70     6.50    12.87     7.86
1973      6.42     7.70     1.65     3.55     6.33
1974     11.77    10.91    16.58    11.14    13.96
1975      6.42    11.60    10.37     1.71    18.96
1976     10.60     5.18     7.51    12.81     4.10
1977      8.45    17.65     7.74     7.73     8.90
1978     11.74     7.62    10.56    15.10    15.96
1979     11.79     9.04    19.05    10.47    12.82
1980     12.27     9.08    10.01    11.26     7.40
1981     11.30    17.79     8.23    13.17     6.10
1982      7.56     5.28     2.05     7.16     1.99
1983      8.37     2.23    15.56     6.33     2.45
1984      6.23     6.78     1.26     7.54    12.51
1985      7.10     3.37     2.73     6.19     6.35
1986     10.11     9.90    19.41     4.78     7.49
1987      8.80     9.25     3.26     5.77    17.33
1988      9.56     5.58     6.43     9.63     7.16
1989     11.18     2.76     4.18    17.97     8.26
1990     15.28     8.20    12.29    23.88    14.27
1991     11.73     9.98    11.55    14.63     9.10
1992      6.54     7.02     7.67     3.62     4.74
1993      8.21     5.96     8.65     7.50     3.73
1994      8.65    15.62     7.39     9.62    15.83
1995     11.70    18.64     9.59    11.25     8.23
1996      8.51    13.85    11.89     6.34    13.30
1997     11.18    14.83    12.83    11.03    11.18
1998     13.82    24.09    19.72    13.64    10.70
1999     12.52    12.31    20.33    11.59    15.43
