Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         17.3    17.5    11.1    10.5    30.1
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960    6.39   11.77    6.52   -2.62    9.90
 1961    1.30   11.09   -1.81   -2.73   -1.34
 1962    1.26   12.36    3.64   -0.29  -10.67
 1963   -2.79   -2.95   -5.14    2.91   -5.96
 1964   -1.06    9.22    0.16   -3.42  -10.18
 1965    5.68    7.68    0.99   10.11    3.96
 1966    2.48    0.06   -2.13   12.23   -0.25
 1967    2.95    2.70    6.87    2.00    0.25
 1968   -1.75   -3.47   -2.72    1.15   -1.96
 1969    3.70    1.77   -5.60    3.45   15.17
 1970   -2.88   -6.22   -0.03    3.15   -8.43
 1971   -0.31   -0.59   -3.98    2.13    1.20
 1972   -0.34   -6.61   10.28   -6.24    1.20
 1973   -2.09   -6.65    0.27   -3.95    1.96
 1974   -4.41   -3.83    2.31   -1.29  -14.86
 1975   -3.20   -3.35    3.79   -1.29  -11.96
 1976   -0.23   -4.24   -2.17   -4.73   10.23
 1977    9.72   34.48   -4.23    2.79    5.85
 1978   -2.85   -9.04    2.01    0.13   -4.49
 1979    6.58   16.15   -0.85   19.61   -8.59
 1980    4.56   11.79   -1.22   10.49   -2.84
 1981   -1.57    8.23    5.16   -3.46  -16.21
 1982   -2.86   -8.00    5.58   -5.80   -3.23
 1983   -1.34   15.48   -5.17    1.23  -16.91
 1984   -1.84    1.54   -5.27   -4.66    1.04
 1985    0.01    7.58   -6.13   -2.12    0.70
 1986    5.91    1.86    2.58    0.08   19.11
 1987   -0.28    1.53   -2.66    1.76   -1.76
 1988    0.34   -8.91    5.65    4.46    0.14
 1989    1.06   -6.90    3.28   -2.36   10.23
 1990    3.93   -7.67   -0.47    5.35   18.50
 1991   -0.06    2.56    2.81   -4.98   -0.63
 1992   -1.24  -11.93    0.57    6.56   -0.17
 1993    7.76   -1.66   -1.64   -1.36   35.68
 1994   -5.58   -8.45   -2.46   -5.14   -6.28
 1995   -3.22   -8.16   -1.37   -2.63   -0.72
 1996   -2.25    7.82   -1.62   -6.35   -8.86
 1997    1.89   -7.51    1.76    1.48   11.85
 1998   -3.63   -6.03   -6.08   -0.51   -1.89
 1999   -1.55    6.71   -0.71   -2.35   -9.86
 2000   -1.25    6.03   -5.16   -2.72   -3.14
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -6.27   -9.14   -2.19    1.01  -14.77
 2002    2.16    9.55   -2.34   10.73   -9.30
 2003   -0.46    0.57   -0.35    7.14   -9.21
 2004   -0.52   -1.31   -0.48   -3.11    2.82
 2005    1.88    9.33   -0.31    0.56   -2.07
 2006   -4.00   -8.95    3.72   -2.14   -8.61
 2007   -4.13    0.17   -3.40   -4.51   -8.76
 2008   -5.90   -2.25   -6.35   -3.08  -11.91
 2009    5.07    1.10    1.17   18.44   -0.43
 2010    1.10   -7.72   -2.93   24.63   -9.57
 2011    3.04   14.54    3.69   -6.09    0.02
 2012   -6.95   -3.03   -2.36   -5.67  -16.76
 2013   -0.61    3.10    7.89    3.10  -16.52
 2014   -2.19    1.93    1.11   -5.34   -6.46
 2015   -1.28    0.07   -0.82   -1.33   -3.05
 2016    1.44    5.00    1.60    7.17   -8.01
 2017    1.52   11.76   -3.43   -0.33   -1.91
 2018    3.68   -2.60   -5.93   12.39   10.86
 2019   -2.48   -7.84   -2.97    1.80   -0.89
 2020    0.21   -0.97   -5.92    7.88   -0.15
 2021   -5.27  -12.48    1.46   -4.10   -5.95
 2022    1.81   10.80   -2.00    7.27   -8.83
 2023   -6.09   -4.42   -3.78   -3.65  -12.48
 2024    0.24   -5.94    5.25    3.88   -2.23
 2025   -4.01    0.71   -4.05   -3.15   -9.56
 2026    1.56   -2.21   10.35   -0.43   -1.45
 2027   -1.41    3.55   -1.05   -4.02   -4.12
 2028    7.75    1.02    2.49    6.48   21.03
 2029   -6.06   -8.42   -2.83    0.73  -13.71
 2030   -2.65   -1.31   -1.67    9.08  -16.70
 2031    0.31    1.50    4.53    1.37   -6.15
 2032   -0.21   -1.94    3.01   -0.49   -1.39
 2033   -0.60    5.04   -2.92    3.99   -8.51
 2034   -3.03   -3.99   -4.14   -1.35   -2.65
 2035    1.30    9.08   -2.69    0.82   -2.01
 2036   -0.10   -4.51    9.68   -0.65   -4.92
 2037   -6.22   -4.69   -4.39    2.05  -17.86
 2038   -2.89  -10.90   -5.62    5.15   -0.18
 2039   -4.07   -6.69   -6.03    1.92   -5.50
 2040    1.63   -9.21   -4.80   -1.23   21.75
 2041    3.04    0.59    3.90   12.09   -4.43
 2042   -2.79   -2.15    6.81   -1.21  -14.62
 2043   -2.66    0.59   -5.57   -3.70   -1.94
 2044   -4.47    3.06   -5.01   -4.76  -11.18
 2045   -0.69   -9.52   -7.18   16.49   -2.55
 2046   -3.05   -2.28   -6.00    1.92   -5.86
 2047   -3.94   -9.17    7.28   -3.94   -9.94
 2048   -2.25   -6.47   -1.91   -0.09   -0.51
 2049   -2.40   -7.36   -2.59    1.98   -1.61
 2050    2.37   -8.81    6.56   -0.22   11.94
 2051   -0.76   -4.06   -3.51   -5.29    9.80
 2052   -4.11   -8.73   -3.67    4.71   -8.76
 2053   -3.49   -4.28    1.46   -4.78   -6.36
 2054   -0.31    5.19    0.78   -1.16   -6.05
 2055   -5.90   -4.13   -4.95   -5.51   -9.03
 2056   -3.83    1.67   -6.80   -2.92   -7.26
 2057   -2.09   -7.88   -2.13   -7.19    8.82
 2058   -3.70   -2.30   -4.58   -5.42   -2.52
 2059   -1.41   13.06    2.13   -4.63  -16.20
 2060   -6.86   -3.02   -6.26   -6.99  -11.19
 2061    0.06    2.11   -5.81    1.38    2.56
 2062    0.33    7.50   -7.39   -3.67    4.87
 2063   -2.38   -7.20   -2.18   -4.15    4.01
 2064   -3.90   -6.76   -2.52   -2.87   -3.44
 2065   -2.49   -6.71   -1.86   -3.59    2.18
 2066   -1.01    1.36    1.85    2.14   -9.40
 2067   -1.51   -4.68   -3.84   -2.87    5.34
 2068   -2.87   -3.46   -4.95    5.82   -8.88
 2069   -6.59  -12.24   -5.64    3.31  -11.80
 2070   -2.20   -1.37   -0.97    6.05  -12.50
 2071   -1.97   -6.63    1.50    2.48   -5.22
 2072   -6.04   -1.39   -4.43   -3.93  -14.40
 2073    1.16   -0.22   -7.90    0.25   12.49
 2074   -1.41    0.72   -4.05    0.78   -3.10
 2075   -4.32  -10.49   -4.12   -1.97   -0.70
 2076   -4.55  -10.91    4.96   -2.11  -10.17
 2077   -2.74   -2.54   -3.33   -3.58   -1.53
 2078   -4.30   -9.75   -2.35   -5.11   -0.00
 2079   -5.41   -8.24    1.05   -0.79  -13.66
 2080    4.99   -3.84   -4.52   22.44    5.87
 2081   -8.31   -9.27   -5.31   -4.91  -13.77
 2082   -6.84  -11.48   -5.98   -4.73   -5.16
 2083   -0.78   -6.00   -2.80   18.52  -12.87
 2084   -3.38   -8.88   -4.65   -2.63    2.64
 2085   -2.36   -6.63    0.28   15.14  -18.21
 2086   -8.36   -7.89   -7.17   -6.10  -12.27
 2087   -4.38   -4.41   -6.37   -6.32   -0.43
 2088   -5.92   -5.17   -6.01   -5.89   -6.59
 2089   -7.11   -4.85   -5.16   -6.92  -11.52
 2090   -4.37   -1.10   -7.72   -1.92   -6.75
 2091   -3.84   -3.26   -6.77   12.97  -18.32
 2092   -6.27  -13.43    0.30   -1.63  -10.33
 2093   -4.72   -5.22   -5.96    2.24   -9.92
 2094   -1.32   -9.36   10.45    0.77   -7.14
 2095   -0.85  -10.48   -4.30   14.38   -2.98
 2096   -5.08   -5.21   -0.15   -4.06  -10.90
 2097   -3.67   -7.33   -1.35   -5.38   -0.63
 2098   -7.97   -4.30   -8.61   -1.06  -17.90
 2099   -7.74  -10.18   -4.93    2.57  -18.43
 2100   -2.48  -11.20   -6.31   16.51   -8.93
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -4.18   -4.12   -3.09   -1.56   -7.94
 2002   -2.70   -6.48   -4.15    0.86   -1.01
 2003    3.72    5.05   -0.53   -0.46   10.80
 2004   -1.53   -1.41   -2.37    3.90   -6.24
 2005   -1.75   -0.97    1.78   -3.01   -4.82
 2006    2.13   -8.28   -2.40    1.91   17.31
 2007   -4.81   -7.68   -3.11    5.25  -13.70
 2008   -0.98    6.41   -4.92   -2.86   -2.55
 2009   -1.10   11.30   -6.27    2.89  -12.34
 2010    0.30    5.07    6.18    3.14  -13.19
 2011    5.11   11.94   -3.26   -2.16   13.93
 2012    7.06   22.78    2.11    2.89    0.46
 2013    4.09    8.77    4.94    5.62   -2.97
 2014    0.20    6.12   -0.45    5.66  -10.52
 2015    4.57    5.53   -0.55    9.57    3.72
 2016    7.40   14.23   -5.35    7.58   13.13
 2017   -0.42    2.06   -2.44   12.23  -13.52
 2018   -4.00    3.28   -4.67   -1.29  -13.32
 2019    0.43    0.31    0.84   -3.34    3.90
 2020   -4.17    5.67   -5.03   -3.96  -13.37
 2021    0.93   -5.63    1.64   -0.86    8.57
 2022   -1.39   -8.58    3.96    6.09   -7.04
 2023   -3.61   -4.46   -2.21   -0.94   -6.82
 2024    8.74   -0.88    8.21   23.39    4.24
 2025    0.42   12.70    2.43   -5.65   -7.80
 2026    0.61    3.74   -3.26   -5.25    7.22
 2027    1.26    3.45   -0.59   -4.30    6.48
 2028    1.70    1.02    2.86    4.25   -1.33
 2029   -1.74   -9.74   -1.54    4.41   -0.08
 2030    2.97   15.43   -4.25    2.69   -2.00
 2031   -3.54    1.43   -3.98   -2.94   -8.69
 2032   -5.79   -7.17   -4.03   -4.84   -7.11
 2033   -0.94   -8.36   -5.22   -5.39   15.21
 2034   -0.78   -5.25   -6.11   11.54   -3.30
 2035   -4.77   -4.06   -6.54   -4.18   -4.31
 2036   -1.63   -8.94   -4.83   24.74  -17.50
 2037   -3.33   -0.06   -2.88    3.87  -14.25
 2038    0.04   -2.87   -6.03    9.35   -0.29
 2039    5.81    9.49   -2.31    1.07   15.01
 2040   -3.93    1.96    1.50   -6.15  -13.03
 2041   -5.16   -9.00    0.48    1.08  -13.20
 2042    0.17    3.32   11.67   -3.33  -10.96
 2043   -1.28    9.62   -6.57   -2.10   -6.06
 2044   -3.43   -6.61   -2.36   -1.89   -2.85
 2045   -2.01    1.79    5.58   -3.57  -11.85
 2046   -0.93   -2.51   -2.28    0.69    0.40
 2047    3.00   30.67   -6.52    0.20  -12.37
 2048   -4.75   -6.37   -3.64    6.75  -15.72
 2049   -2.96   -5.65    0.29   -2.88   -3.61
 2050   -1.82    3.14   -0.68    5.19  -14.91
 2051   -1.25   -3.14   -0.07   -2.73    0.95
 2052    5.24   13.33   -3.81    5.14    6.28
 2053   -1.51    6.71   -4.25   -1.49   -7.03
 2054   -6.57   -5.44   -4.16   -0.48  -16.18
 2055   -1.61   -8.60   -4.38    0.88    5.66
 2056   -7.61   -4.22   -6.14   -4.29  -15.78
 2057   -4.86   -0.79   -8.72   -0.69   -9.25
 2058   -6.28   -3.91   -6.87   -6.37   -7.95
 2059   -3.76   -6.01   -0.84   -3.02   -5.18
 2060   -4.08  -10.83   -1.35   -1.14   -3.02
 2061   -7.03   -2.98   -4.89   -4.73  -15.54
 2062   -2.78   -1.56   -1.33   -3.11   -5.14
 2063   -5.83   -5.45   -2.12   -1.92  -13.84
 2064   -2.67   -2.08   -5.69   -2.16   -0.77
 2065   -2.86   -0.05   -6.94   -0.85   -3.58
 2066   -2.43    5.68   -3.59   -5.40   -6.43
 2067   -5.23   -0.78   -7.60   -2.01  -10.55
 2068   -3.14   -8.99   -5.37    6.90   -5.11
 2069   -4.43   -9.14    0.16    5.69  -14.44
 2070   -3.30   -5.41    0.80   -3.70   -4.90
 2071   -3.21    5.09   -5.72   -3.20   -9.00
 2072   -6.43   -7.08   -6.13   -4.82   -7.67
 2073   -2.48   -2.26    1.95   -3.09   -6.53
 2074   -1.62    2.09   -3.22   -4.23   -1.10
 2075   -4.16   -2.81   -7.26    2.44   -8.99
 2076   -6.53   -8.88   -2.54    3.81  -18.50
 2077   -3.55   -4.41   -3.97   -5.72   -0.09
 2078   -4.25  -11.63   -3.46   -6.60    4.70
 2079   -7.22  -10.50   -4.28   -1.07  -13.03
 2080   -3.78    3.91   -2.29   -6.68  -10.06
 2081   -6.15   -8.32   -7.16   -2.04   -7.10
 2082   -7.85   -6.74   -3.37   -6.43  -14.88
 2083    0.78    2.52   -4.75   15.17   -9.83
 2084   -0.30   -3.93   -2.61   -6.94   12.29
 2085   -7.94   -7.08   -8.41   -3.62  -12.66
 2086   -2.34    0.45   -5.78    6.74  -10.77
 2087   -2.56  -11.33   -7.23   -0.48    8.80
 2088   -8.74  -10.85   -6.30   -4.98  -12.84
 2089   -7.56   -8.55   -3.42    1.31  -19.57
 2090   -1.83   -5.50   -2.79    4.12   -3.17
 2091   -5.47   -9.81   -5.22   -0.99   -5.84
 2092   -5.62   -4.37   -5.91   -6.71   -5.47
 2093   -6.66   -2.05   -4.43   -6.94  -13.20
 2094   -5.97   -3.73   -6.03    1.14  -15.26
 2095   -0.91    0.72    3.89    5.52  -13.76
 2096    3.71   -9.23    2.66   21.46   -0.04
 2097   -8.73  -10.54   -7.77    0.43  -17.03
 2098   -5.58  -11.07   -4.55    0.93   -7.60
 2099   -7.28  -10.22   -5.86   -1.36  -11.69
 2100   -7.87   -5.77   -4.60   -5.88  -15.22
Projections under SRES B1 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.28    0.41   -3.64   -5.01    9.34
 2002   -0.78    6.48   -4.31   -0.82   -4.47
 2003   -0.81   -1.06   -5.28    0.70    2.39
 2004   -2.28   -8.55    3.23   -0.71   -3.11
 2005    3.37   14.35    3.23   -1.14   -2.94
 2006   -1.02   -3.83   -1.06   -2.72    3.55
 2007   -2.97    3.65   -1.93   -2.27  -11.33
 2008    3.48   -8.78   12.35    3.95    6.40
 2009    7.29    8.40    8.68    8.42    3.68
 2010    6.76   -3.00    7.30    0.95   21.77
 2011    1.98   17.79   -7.03    1.21   -4.06
 2012   -1.76   -5.42   -0.04    1.35   -2.94
 2013   -2.05   -8.32   -5.39    0.86    4.66
 2014    0.24   -1.39   -3.48    2.12    3.69
 2015   -3.99   -8.71   -1.67   -0.85   -4.73
 2016    2.73    4.53   11.00    1.97   -6.59
 2017    1.97    7.33    3.58   -1.49   -1.52
 2018    4.66   27.36   -2.37   -6.40    0.05
 2019    4.08   11.98    0.64   -4.76    8.46
 2020   -4.80    3.44    0.89   -3.14  -20.39
 2021   -3.80   -1.12    3.56   -3.56  -14.10
 2022    1.04   -2.88    1.42   15.90  -10.31
 2023   -1.68   -7.42   -3.79   -5.13    9.60
 2024   -5.36   -8.04   -3.61   -2.12   -7.68
 2025    2.08   -1.04   -4.03   21.06   -7.66
 2026   -3.38    2.99    1.14   -4.50  -13.16
 2027   -8.29   -8.03   -7.54   -5.41  -12.18
 2028    0.69    4.61   -4.38    3.21   -0.69
 2029    0.84   16.00   -2.31   -5.06   -5.25
 2030   -1.95   -7.56   -0.07    3.74   -3.93
 2031   -0.04   -0.81   -3.66    1.62    2.67
 2032    2.37   10.94   -1.88    0.86   -0.44
 2033    2.53   17.44   -0.09    0.45   -7.68
 2034    0.40   -8.05   11.53    2.02   -3.90
 2035   -2.74   -6.83   -5.11   -2.68    3.65
 2036   -3.74   -7.59    6.86   -5.37   -8.87
 2037   -0.33    0.14    1.18   -0.16   -2.47
 2038   -6.37   -5.22   -5.23   -2.75  -12.27
 2039   -1.18    7.12   -3.17   -3.76   -4.93
 2040    0.05   14.43   -3.85    2.00  -12.39
 2041    1.56   -3.26    0.37   12.30   -3.16
 2042    0.01    1.91    0.03    3.34   -5.26
 2043   -3.08   -0.18   -2.45   -5.88   -3.81
 2044   -4.29   -8.00   -3.91   -4.39   -0.85
 2045   -1.29   -0.38   -2.52   -6.66    4.41
 2046   -1.27    1.45   -0.29   -5.54   -0.69
 2047    4.97   11.78    1.09    4.87    2.13
 2048    3.54   16.84   -0.24    2.02   -4.46
 2049   -3.31   -5.36   -6.13    4.32   -6.07
 2050   -5.46   -1.71   -0.55   -4.41  -15.14
 2051    0.26   -6.89   -4.18   12.51   -0.39
 2052   -7.28   -8.03   -0.23   -5.61  -15.22
 2053   -4.49  -11.98   -2.60    6.10   -9.49
 2054   -1.56   -3.68    1.64    8.53  -12.74
 2055   -2.56   -7.10   -3.42    0.33   -0.03
 2056    0.05   16.15   -4.21   -4.04   -7.71
 2057    3.01   12.92    2.35    4.68   -7.92
 2058   -3.18   -7.46   -4.95   -2.43    2.14
 2059   -4.87    1.30   -6.23    0.62  -15.20
 2060    6.09   -8.88    6.77    3.56   22.90
 2061   -2.83   -3.25   -4.60    4.77   -8.24
 2062   -6.03  -10.65   -5.90    4.70  -12.27
 2063   -3.25   -4.12   -3.00    2.33   -8.20
 2064   -4.11   -4.25   -7.20   -3.59   -1.42
 2065   -4.70  -12.18   -2.75   -6.13    2.27
 2066   -5.25  -11.21   -5.98   -3.63   -0.17
 2067   -4.86   -4.49   -0.18   -2.42  -12.35
 2068   -4.78   -8.42   -1.07    6.81  -16.45
 2069    3.47   11.58   -0.09   -3.85    6.24
 2070    4.76    7.69   -2.10    1.73   11.71
 2071    2.30   -8.48   -3.15   15.23    5.60
 2072   -5.20   -3.18   -3.67   -1.68  -12.27
 2073   -8.56   -2.39   -5.51   -7.52  -18.81
 2074    2.49  -12.06   11.76    7.50    2.73
 2075   -0.59    7.00    0.05   -7.26   -2.17
 2076   -0.94   -6.94   -1.43   25.22  -20.60
 2077    2.81   19.00   -7.07   -1.69    1.02
 2078   -2.01   -9.08    7.46   -0.59   -5.82
 2079   -2.44   -7.17   -7.42    6.92   -2.08
 2080   -4.78   -9.21   -3.79   -3.94   -2.18
 2081   -0.38    8.46   -4.32   -5.43   -0.22
 2082   -7.54  -10.74   -5.08   -2.55  -11.80
 2083   -1.99   -1.75   -1.81    6.00  -10.41
 2084   -3.87  -10.79   -6.41   -3.53    5.27
 2085   -2.86   -2.63    1.22   -3.02   -6.99
 2086    0.00   -2.19    3.57   -2.80    1.43
 2087   -3.63   -9.09   -6.09    1.42   -0.78
 2088    2.88    7.38   -5.15    0.14    9.15
 2089   -2.89   -9.34   -0.85   -4.28    2.91
 2090   -4.75   -6.13   -7.43    1.34   -6.77
 2091   -7.20  -11.74   -3.34   -1.39  -12.32
 2092   -1.71    0.99   -2.32   -5.47   -0.03
 2093   -1.53   -2.64   -8.04   -3.09    7.65
 2094    3.58    3.86    9.49    1.08   -0.12
 2095   -7.34   -8.45   -1.19   -3.92  -15.80
 2096   -6.35   -2.87   -4.39   -2.49  -15.66
 2097   -3.20   -5.69    3.25   -4.26   -6.09
 2098   -3.93    1.36   -7.01   -2.61   -7.48
 2099    3.70    6.22   -2.80   13.02   -1.62
 2100    1.39   -9.85    8.85   -2.04    8.59
