Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        17.43   10.45   19.62   26.06   13.59
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.82   -1.52   -0.61   -1.63    0.46
 1961    0.06    1.47    0.16   -0.36   -1.02
 1962   -0.38    0.54   -1.85   -0.99    0.80
 1963   -0.46   -0.85   -0.81   -0.32    0.15
 1964    0.29    0.67    0.03    0.10    0.36
 1965   -0.41   -0.44   -0.14   -0.73   -0.33
 1966   -0.61   -0.60   -0.43   -0.58   -0.85
 1967   -0.60    0.62   -1.01   -1.66   -0.37
 1968   -0.55   -0.20    0.30   -1.53   -0.76
 1969   -0.61   -1.24    0.43   -1.28   -0.34
 1970    0.04    0.43    0.18   -0.39   -0.06
 1971   -0.66   -0.54   -1.38   -0.27   -0.43
 1972   -0.36   -0.90    0.71   -0.40   -0.83
 1973   -0.35   -1.21   -0.31    0.64   -0.53
 1974   -0.21    0.40   -0.05   -0.60   -0.60
 1975   -1.20   -1.80   -1.75   -0.76   -0.50
 1976   -0.08    0.08   -1.17   -0.03    0.83
 1977   -0.45   -0.52   -0.23    0.20   -1.24
 1978   -0.60   -1.66   -1.18   -0.30    0.73
 1979   -0.36   -0.40   -0.16   -0.91    0.01
 1980    0.35    0.60    1.26    0.18   -0.65
 1981    0.51    1.43    1.49    0.72   -1.61
 1982    0.26   -0.06    1.31   -0.36    0.14
 1983   -0.36   -1.17   -0.18   -0.10    0.00
 1984   -0.02   -0.63   -0.29    0.42    0.40
 1985   -0.35   -0.13    0.10   -0.96   -0.42
 1986    0.20    0.61   -0.28    0.31    0.17
 1987   -0.05    0.31   -0.55   -0.16    0.22
 1988    0.64    1.45    0.04    0.44    0.64
 1989   -0.03   -0.21    0.14   -0.90    0.84
 1990    0.49    0.58    0.90    0.69   -0.22
 1991   -0.06    0.36   -0.28    0.45   -0.78
 1992    0.87    0.91    1.46    0.84    0.27
 1993    0.55    0.41    0.83    0.57    0.41
 1994    0.07   -0.50   -0.66    0.73    0.72
 1995    0.44    0.31    1.28   -0.27    0.43
 1996   -0.04    0.52    0.09   -0.43   -0.34
 1997    0.59    0.34    0.10    0.62    1.30
 1998    0.01   -0.04   -0.78    0.39    0.48
 1999    0.17    1.05   -0.65   -0.34    0.64
 2000    0.35   -0.34    0.48    0.67    0.58
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.58    0.05    1.13    0.66    0.47
 2002    1.08    1.62    1.15    1.02    0.55
 2003    1.67    1.76    0.92    1.81    2.20
 2004    0.47    0.95    0.22    0.36    0.34
 2005    0.89   -0.08    1.12    1.21    1.30
 2006    1.06    1.86    1.44    0.62    0.32
 2007    1.31    1.62    1.86    0.91    0.84
 2008    1.27    2.02    0.95    1.59    0.54
 2009    0.62    0.98    0.24    0.95    0.33
 2010    0.66    0.61    1.00    0.20    0.84
 2011    1.24    2.74    0.87    0.12    1.22
 2012    0.42   -0.27    1.32    0.38    0.27
 2013    0.57    0.32   -0.65    1.11    1.48
 2014    1.47    1.88    1.53    1.24    1.23
 2015    1.18    1.24    1.16    1.76    0.57
 2016    0.15   -0.13    0.35    0.90   -0.53
 2017    1.09   -0.06    1.29    0.84    2.28
 2018    1.46    1.52    2.59    1.19    0.52
 2019    1.26    1.16    1.01    1.86    1.02
 2020    1.51    1.61    2.00    1.54    0.90
 2021    0.53    0.55    0.78    1.46   -0.69
 2022    1.83    1.24    2.61    2.30    1.18
 2023    1.14    1.21    0.79    1.51    1.03
 2024    1.36    1.13    2.12    1.48    0.71
 2025    2.03    2.30    1.95    1.74    2.12
 2026    1.35   -0.44    1.84    2.91    1.10
 2027    1.45    2.69    0.47    1.92    0.74
