Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (%)
 YEAR  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960  -39.79  -68.39  -29.37  -72.63  -59.57
 1961  -31.95  -71.79  -69.62  -70.65  -47.11
 1962  -31.92  -71.43  -63.96  -94.62  -52.53
 1963  -34.49  -33.69  -66.16  -29.11  -66.00
 1964  -33.87  -75.48  -68.84  -42.44  -47.41
 1965  -33.94  -91.08  -68.25  -70.32  -43.79
 1966  -42.47  -59.39  -45.49  -86.30  -54.43
 1967  -25.51  -38.80  -43.63  -83.97  -49.07
 1968  -34.82  -52.17  -57.79  -64.01  -73.78
 1969  -32.95  -65.11  -50.43  -92.99  -64.54
 1970  -30.42  -62.57  -27.25  -53.97  -30.99
 1971  -33.92  -58.23  -40.20  -71.34  -64.76
 1972  -39.27  -75.37  -37.98  -59.42  -37.53
 1973  -42.27  -50.31  -61.52  -58.10  -71.96
 1974  -39.42  -70.34  -59.65  -66.03  -68.86
 1975  -28.03  -70.57  -38.00  -37.56  -53.08
 1976  -46.47  -73.30  -43.61  -45.07  -65.81
 1977  -33.32  -69.93  -39.92  -69.31  -51.11
 1978  -37.14  -64.94  -43.13  -74.98  -68.59
 1979  -52.06  -70.97  -62.30  -70.26  -33.86
 1980  -32.56  -78.64  -56.30  -50.29  -50.99
 1981  -48.41  -77.20  -51.11  -72.96  -69.33
 1982  -39.58  -45.83  -64.31  -87.84  -61.15
 1983  -40.12  -79.16  -46.56  -81.09  -56.27
 1984  -36.23  -66.86  -66.38  -80.66  -51.04
 1985  -26.67  -55.45  -55.17  -48.36  -73.12
 1986  -43.51  -85.96  -75.01  -70.10  -61.60
 1987  -24.46  -66.64  -44.14  -88.30  -70.95
 1988  -45.32  -85.47  -49.12  -51.27  -50.67
 1989  -36.16  -63.34  -56.99  -76.64  -57.21
 1990  -31.36  -51.56  -66.22  -46.89  -53.03
 1991  -43.66  -90.37  -71.38  -72.93  -39.66
 1992  -53.63  -76.45  -52.73  -76.71  -67.87
 1993  -31.37  -69.62  -44.81  -58.34  -58.93
 1994  -34.01  -60.88  -80.23  -70.51  -58.47
 1995  -40.45  -71.23  -56.47  -78.93  -53.33
 1996  -49.00  -76.55  -57.41  -74.25  -48.40
 1997  -20.12  -63.66  -75.97  -39.36  -67.66
 1998  -25.31  -56.93  -68.17  -79.49  -44.85
 1999  -34.64  -64.94  -73.96  -75.11  -56.75
 2000  -41.62  -68.90  -59.03  -50.61  -58.05
Projections under SRES A2 scenario
 2000  -17.40  -51.32  -31.23  -54.27  -38.72
 2001  -47.27  -69.86  -75.34  -65.67  -53.85
 2002  -54.96  -74.84  -66.52  -62.20  -44.69
 2003  -56.25  -82.29  -62.98  -75.16  -91.65
 2004  -36.60  -69.55  -52.76  -41.54  -62.52
 2005  -42.23  -64.81  -44.17  -60.01  -71.35
 2006  -32.86  -86.77  -59.01  -48.38  -56.72
 2007  -23.88  -68.77  -66.75  -42.96  -64.03
 2008  -35.08  -76.67  -57.23  -60.02  -57.96
 2009  -34.01  -63.94  -67.31  -49.17  -73.79
 2010  -49.98  -63.39  -54.93  -61.91  -64.35
 2011  -46.22  -87.06  -52.41  -58.41  -30.06
 2012  -42.59  -78.92  -65.71  -66.87  -55.75
 2013  -46.16  -59.27  -65.65  -61.85  -67.43
 2014  -42.53  -80.41  -57.24  -50.83  -70.51
 2015  -37.74  -78.39  -49.12  -58.83  -70.15
 2016  -50.94  -76.58  -62.94  -61.09  -52.00
 2017  -38.87  -50.38  -67.61  -73.28  -73.87
 2018  -33.20  -67.53  -58.04  -44.32  -44.95
 2019  -44.80  -77.28  -55.49  -63.18  -79.53
 2020  -33.30  -52.61  -53.28  -24.02  -82.90
 2021  -40.19  -71.47  -61.32  -39.11  -59.85
 2022  -46.06  -73.23  -39.86  -71.17  -58.12
 2023  -48.38  -66.43  -44.75  -62.06  -73.47
 2024  -38.15  -71.77  -51.54  -52.36  -69.56
 2025  -33.55  -84.05  -43.64  -66.99  -75.38
 2026  -50.80  -46.00  -56.87  -74.21  -55.86
 2027  -52.52  -64.96  -59.62  -53.87  -68.96
 2028  -28.66  -73.32  -79.22  -59.63  -60.43
 2029  -58.67  -70.53  -56.58  -71.04  -58.90
 2030  -48.45  -62.59  -53.52  -45.73  -55.57
 2031  -44.90  -59.44  -55.29  -57.02  -76.86
 2032  -53.89  -76.26  -59.70  -96.98  -77.39
 2033  -49.90  -67.96  -63.65  -47.13  -72.68
 2034  -60.81  -77.78  -82.40  -74.13  -93.08
 2035  -51.92  -64.42  -61.25  -62.68  -73.29
 2036  -23.76  -59.15  -47.24  -33.44  -56.34
 2037  -36.55  -83.21  -70.06  -72.13  -72.95
 2038  -51.88  -74.10  -64.29  -78.97  -73.33
 2039  -64.28  -76.72  -69.27  -68.15  -78.64
 2040  -46.63  -91.83  -68.03  -85.98  -63.95
 2041  -45.92  -46.82  -82.85  -91.09  -63.33
 2042  -71.32  -86.88  -77.99  -79.40  -73.97
 2043  -41.22  -82.02  -68.25  -68.37  -68.49
 2044  -55.77  -60.83  -62.97  -81.45  -70.66
 2045  -43.95  -78.47  -64.64  -72.36  -83.01
 2046  -55.49  -82.05  -60.09  -83.32  -83.08
 2047  -46.42  -87.72  -40.33  -82.35  -69.18
 2048  -47.36  -89.04  -70.08  -86.62  -90.39
 2049  -56.63  -78.17  -73.04  -50.89  -71.38
 2050  -56.98  -73.33  -65.21  -91.82  -77.12
 2051  -59.92  -72.68  -71.37  -64.75  -82.73
 2052  -49.96  -66.35  -80.47  -68.46  -74.52
 2053  -60.11  -76.57  -70.60  -67.71  -68.99
 2054  -39.48  -68.41  -67.29  -46.83  -84.26
 2055  -48.63  -70.88  -65.53  -59.91  -78.70
 2056  -75.79  -71.98  -72.96  -76.32  -82.86
 2057  -52.64  -56.81  -79.07  -77.29  -58.76
 2058  -46.15  -86.49  -50.80  -71.41  -71.05
 2059  -51.51  -77.49  -79.27  -79.08  -72.12
 2060  -59.54  -69.20  -82.26  -66.61  -78.25
 2061  -36.18  -91.82  -52.30  -57.02  -78.20
 2062  -65.44  -72.36  -72.11  -56.73  -69.86
 2063  -53.69  -94.01  -57.15  -95.33  -83.50
 2064  -55.58  -93.31  -74.84  -77.54  -85.54
 2065  -50.61  -92.38  -58.63  -42.47  -69.53
 2066  -62.35  -90.23  -73.70  -95.43  -55.94
 2067  -49.24  -67.85  -78.25  -72.10  -64.46
 2068  -69.78  -72.04  -78.27  -74.96  -81.28
 2069  -52.00  -87.99  -85.48  -73.41  -80.65
 2070  -75.38  -75.84  -92.02  -87.99  -71.36
 2071  -61.59  -66.43  -63.29  -96.62  -78.63
 2072  -54.19  -68.63  -75.78  -69.84  -81.98
 2073  -48.16  -89.05  -71.13  -66.65  -68.45
 2074  -64.94  -71.78  -73.60  -91.48  -80.09
 2075  -65.51  -81.60  -79.77  -94.12  -82.27
 2076  -60.09  -83.72  -71.32  -92.50  -71.94
 2077  -61.18  -84.46  -66.25  -78.68  -73.06
 2078  -62.08  -67.40  -61.34  -87.27  -86.07
 2079  -84.60  -89.46  -75.34  -96.44  -92.87
 2080  -77.99  -94.51  -93.19  -95.87  -72.46
 2081  -64.52  -75.45  -72.30  -95.34  -69.48
 2082  -53.83  -85.37  -73.44  -84.72  -83.57
 2083  -67.77  -89.62  -68.09  -89.12  -71.73
 2084  -70.43  -88.22  -71.73  -97.45  -76.93
 2085  -64.68  -82.56  -83.59  -86.16  -81.45
 2086  -75.08  -94.11  -70.63  -95.00  -71.45
 2087  -68.93  -81.00  -72.04  -89.99  -70.30
 2088  -70.52  -95.08  -79.72  -94.50  -67.60
 2089  -86.53  -83.79  -93.19  -97.41  -88.10
 2090  -74.88  -80.86  -76.53  -88.39  -88.44
 2091  -66.47  -95.92  -70.53  -77.63  -78.77
 2092  -56.43  -86.18  -90.37  -97.76  -80.96
 2093  -75.39  -90.01  -82.47  -89.26  -90.46
