Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
 Year  Annual     JFM     AMJ     JAS     OND
 1960   17.95   12.43   19.94   25.96   13.46
 1961   18.29   12.15   20.17   26.23   14.62
 1962   17.76   11.23   19.69   26.22   13.96
 1963   17.35   11.80   18.41   24.46   14.75
 1964   17.78   11.87   19.86   25.80   13.62
 1965   17.36   11.42   19.98   24.16   13.93
 1966   17.76   12.88   20.13   25.31   12.75
 1967   17.38   11.92   18.58   25.68   13.39
 1968   17.55   10.67   19.15   25.21   15.22
 1969   17.47   13.08   18.38   24.72   13.76
 1970   17.85   12.25   19.23   25.90   14.06
 1971   16.63   11.23   17.12   24.42   13.80
 1972   16.30   10.47   17.63   23.43   13.71
 1973   17.35   10.77   19.46   25.35   13.86
 1974   16.99   10.77   18.50   25.28   13.46
 1975   17.15   11.56   17.63   25.50   13.95
 1976   16.72   10.56   17.95   24.41   14.01
 1977   17.40   12.51   19.02   23.63   14.48
 1978   17.62   12.31   17.78   25.74   14.70
 1979   17.53   12.27   19.25   24.82   13.81
 1980   17.78   11.80   19.49   26.10   13.80
 1981   17.94   11.81   19.22   24.77   15.97
 1982   17.40   12.18   19.41   24.78   13.28
 1983   18.30   12.49   19.74   24.91   16.09
 1984   17.44   11.00   18.87   25.61   14.33
 1985   18.06   11.84   19.20   26.14   15.07
 1986   17.50   11.38   19.10   25.71   13.86
 1987   18.42   12.65   20.71   25.52   14.83
 1988   17.88   12.02   18.81   26.41   14.33
 1989   18.15   11.52   19.11   25.96   16.03
 1990   18.30   12.81   19.47   26.37   14.58
 1991   17.36   10.67   18.99   25.93   13.89
 1992   17.33   11.38   18.88   25.32   13.79
 1993   17.09   11.12   19.06   24.95   13.26
 1994   18.08   11.62   20.06   25.80   14.86
 1995   18.37   12.29   20.05   25.08   16.08
 1996   17.82   12.01   20.01   24.57   14.72
 1997   18.31   13.39   19.74   24.62   15.53
 1998   18.39   13.56   19.65   26.06   14.35
 1999   17.87   10.80   21.07   25.52   14.12
 2000   18.13   12.47   20.21   25.87   14.02
 2001   18.85   12.99   20.95   25.61   15.86
 2002   17.88   12.56   19.49   24.29   15.24
 2003   18.11   11.61   20.59   26.09   14.19
 2004   17.66   11.85   19.08   25.93   13.85
 2005   17.73   10.26   21.17   25.28   14.25
 2006   18.07   10.40   21.02   26.27   14.61
