Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
       Annual     JFM     AMJ     JAS     OND
         25.4    40.5    21.5     6.3    33.4
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    -5.05  -18.95   -1.10   -0.61    0.46
1962     7.53   10.34    1.98    2.20   15.59
1963    20.47   28.73   21.35    0.88   30.93
1964     0.98   -7.49    4.92   -1.53    8.02
1965     4.18    3.76    2.27    3.15    7.55
1966    -6.01  -14.35  -11.99   -0.97    3.27
1967     4.22  -15.96    8.22    0.65   23.97
1968     5.90   13.91   -2.00   -1.57   13.25
1969    10.66   19.99    5.20    1.35   16.11
1970     1.16    9.34   -6.91   -3.03    5.24
1971     7.62    7.37   24.96   -0.86   -0.98
1972     3.03    9.63   -2.09    1.31    3.26
1973    -2.17   -8.03   -4.14   -1.19    4.70
1974    -2.19    1.78   10.64   -0.98  -20.22
1975    -1.50   -5.07   13.07   -2.06  -11.95
1976     6.06   -8.27   22.70    2.73    7.09
1977     0.33    2.22   -9.13   -1.37    9.59
1978    -1.04    1.73    3.75   -1.80   -7.82
1979     2.46   16.61  -10.18    1.28    2.13
1980    -1.66    4.34   -5.71   -0.59   -4.66
1981    -9.57  -13.79   -5.28   -2.61  -16.60
1982     1.17   -0.53   14.82   -0.95   -8.67
1983    -5.04  -11.42   -8.44   -2.82    2.51
1984    -5.83  -18.65    2.16   -2.71   -4.14
1985    -1.73    0.95   -2.14   -2.29   -3.45
1986    -1.55    3.89   -3.02    0.93   -8.00
1987     1.79    0.41  -10.05    2.72   14.09
1988     2.11    9.57   -6.49   -3.38    8.75
1989     5.30   -2.14    0.97    1.56   20.82
1990    -1.74  -13.18    1.72    3.49    1.01
1991     2.97   14.63   -3.47    5.48   -4.74
1992    -5.16  -14.11    6.31   -2.15  -10.70
1993     0.10   -5.55   -5.20   -2.26   13.40
1994    -4.47   -0.68   -9.26    3.93  -11.84
1995    -1.12  -10.17   -0.70    0.12    6.29
1996    18.27   39.46    6.63    1.53   25.46
1997     3.11   -7.33    5.79    8.39    5.61
1998    -7.29   -2.61   -6.78    0.18  -19.97
1999    -3.43   -0.41  -14.52   -2.59    3.81
2000    -2.76  -26.15    2.63   -1.09   13.58
2001    -6.05  -15.78  -10.39    0.85    1.12
2002     3.36  -13.12   10.97    1.00   14.61
2003     2.71   -5.13   -4.58   -0.53   21.08
2004    -1.31   -6.49    3.57   -1.67   -0.66
2005    -4.44  -11.49  -11.62   -1.40    6.75
2006     3.13   10.63    1.61    6.02   -5.77
