Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         40.30    24.87    34.80    50.09    51.39
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960    -11.97   -11.46      NaN      NaN      NaN
1961      2.94     8.21    -6.60   -12.28    -4.38
1962     -5.98    -0.13   -11.43     6.07     6.71
1963      9.41     9.41     2.31    13.18     9.55
1964     -0.35     6.54    -7.61    -1.05    10.02
1965      6.80     3.55    11.02    -4.06     3.86
1966     -8.99    -3.83   -10.07    -9.55     3.68
1967    -11.55    -8.86    -2.63    -4.21     4.77
1968     10.96    19.14    -6.46    -0.62    -6.20
1969      0.67     3.47    -9.64   -12.97     7.72
1970      2.26    -1.28     1.29     5.80   -18.33
1971     -4.21    -6.41     2.18     3.03     4.42
1972    -18.56   -14.25   -16.93    -0.11    -3.25
1973      3.49     4.27    -4.86    -0.70     6.66
1974     -0.96    -2.12    -8.84   -10.99     2.82
1975      0.31     3.23    -4.33   -13.81   -16.80
1976     -2.90    -2.83    -4.04   -15.69     7.22
1977      4.41     9.10     9.70    -0.88    -2.69
1978     -0.08    -4.74     5.40    10.01    15.10
1979      4.37     5.34     1.53    -0.80    10.42
1980      3.44    -0.03     9.63    -0.50     3.92
1981      0.79    -6.11     0.77    18.17    -0.59
1982     10.18    14.05     6.99   -11.47    19.38
1983     -2.67    -6.29     4.92   -15.74    -7.15
1984      2.77     1.86     5.09     9.09    -5.56
1985      5.71     3.86     0.59    -3.27    -6.71
1986    -10.75    -8.75   -10.15    12.12     9.08
1987     -1.97    -3.88    -1.27   -12.87     3.47
1988    -15.46   -12.86   -14.66   -17.25    -5.36
1989     11.46     6.93    14.19    17.82   -11.78
1990     -8.31    -7.53    -0.32    17.87   -26.27
1991      7.62     8.43     0.90    -6.74   -16.36
1992      2.33     3.89    -3.24     9.84     6.55
1993     -6.37    -5.52    -6.57    -3.91    -5.61
1994      1.83    -0.56     7.57    -0.29    14.18
1995      0.44     1.41     6.33     8.64     9.23
1996      5.13    11.50    -4.47     2.24    19.90
1997      0.45     3.27    -6.54    -5.93     2.57
1998      0.12     3.33    -1.93    -2.05     8.94
1999      5.14     2.70    11.07     8.36   -17.40
2000    -14.40   -12.14     0.72     0.26     3.61
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
