Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         40.57    34.51    21.16     8.23    12.12
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      1.47     6.30    -0.86    -1.11    -0.69
1962    -10.15    -5.74    -7.83    -1.12    -2.13
1963     20.92    16.71     5.64    11.36    -0.41
1964      5.80     9.31    -2.41    -2.20     1.45
1965      9.38     8.34     8.55     0.01    -0.62
1966    -10.61    -8.03    -4.52    -2.02     0.42
1967    -10.15    -7.44    -4.34    -1.15    -0.79
1968     19.28    24.29    -3.13    -3.28    -3.13
1969      0.34     0.06    -3.89    -3.11     0.75
1970     -3.11    -0.43    -3.90    -0.29    -4.26
1971     -9.59   -13.03     1.47    -2.30     2.18
1972    -22.86   -19.10   -10.67    -2.31    -4.93
1973      2.36     3.60    -3.51    -2.22     6.87
1974    -11.43    -9.06    -4.86    -0.97    -1.85
1975      2.31     4.07    -1.18     0.80    -3.56
1976     -1.34    -5.47     3.33    -3.80     3.49
1977     11.20    12.42    -0.68    -0.86    -3.95
1978      3.83    -3.69     5.02     0.55     6.46
1979     -1.18    -1.04    -0.38     1.12     5.74
1980      3.60     1.01     6.47    -2.31     0.69
1981     -5.78    -8.41    -1.43     8.26    -2.39
1982     18.42    20.86     2.62    -3.13    10.77
1983     -5.64    -7.13     1.12    -3.13    -2.82
1984      7.71     6.64     0.43     2.72     3.87
1985      6.86     6.68    -1.18    -1.72    -1.07
1986     -9.77   -10.36    -5.20     0.30     3.50
1987      5.48     2.72     6.81    -1.53     0.07
1988    -18.57   -16.11    -7.60    -3.70    -3.03
1989     16.32     9.97    11.12     8.91    -6.41
1990    -13.99   -14.14    -1.07     2.02    -3.72
1991     13.52    18.66    -0.68    -0.66    -5.43
1992      2.60     3.80     3.20     5.00     2.87
1993    -10.40    -7.71    -2.18    -0.31    -3.42
1994     -6.13    -6.64    -0.07     1.28     5.28
1995     -0.44     0.35     3.99     0.33    -1.48
1996     19.64    22.09    -2.27    -0.38     5.97
1997      1.28     2.84    -5.25     3.25    -0.24
1998     -6.56    -1.51    -6.46    -2.39    -2.44
1999     11.68     8.13    13.00    -2.53    -6.76
2000    -18.40   -19.62    -2.93    -3.25    -1.13
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
