Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         42.10    37.22    26.49     9.46    26.66
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -7.33    -6.98     0.65    -1.31    -2.95
1962     -2.57    -1.68     2.02     8.64    -9.81
1963     -5.01    -2.33    -4.19     2.49    -2.94
1964     -3.94    -4.01     3.77     2.58    -4.98
1965     -5.20    -6.49     2.61     3.97     0.33
1966      0.04    -0.83     0.46     1.14     2.31
1967     -0.07     2.70     2.88     2.67    -2.13
1968     -0.94     0.39    -6.52    -5.27     5.52
1969     -4.92    -8.09    -0.92    -0.80     5.13
1970     -0.97     1.21     0.55    -1.87    -8.45
1971     -3.84    -3.07    -4.10    -1.86     2.83
1972      0.88     1.94     2.23    -0.24     1.35
1973     -3.09    -1.79     3.42    -2.84    -2.60
1974      2.44     2.94    -5.63     0.38     3.75
1975     -1.39    -2.13     0.81    -2.86     1.86
1976     -3.31     0.69    -4.71    -0.61    -2.26
1977     -4.10    -5.70    -5.93    -3.01     8.38
1978      3.78     1.39    -2.04     4.19     3.82
1979     -8.48    -8.31    -2.72    -1.31    -2.21
1980      2.48     0.46     3.24     0.78     5.50
1981     -3.01    -8.14     2.67    -3.74    -2.75
1982     -1.19     1.33    -6.67     5.27     6.35
1983     -0.57     0.17    -4.04    -0.09     4.86
1984      2.07     2.08     9.00    -2.07    -0.55
1985     -2.27     0.25    -0.42    -3.95    -8.70
1986     -3.21    -0.17    -4.75    10.31    -8.03
1987     -0.88    -1.55    -1.64    -0.91     0.10
1988      7.31     8.62     6.60     3.87    -3.50
1989     -2.65    -1.45    -4.12     2.93     2.80
1990      1.28     1.44     0.39     1.86    -1.70
1991     -5.12    -2.58    -5.16    -1.93     0.64
1992      6.74     3.64    14.37    -0.84     3.59
1993     -3.57     0.53    -2.93    -2.10    -9.87
1994     -1.56    -5.35     5.10    -2.51    -1.61
1995     14.75    13.37    12.13    -1.71    -0.09
1996     -0.04     2.99     2.05     0.60    -6.16
1997      2.17   -11.03    -3.36     2.25    11.60
1998      7.26     8.24    -0.14    -1.68     2.81
1999     -1.94    -0.02    -4.18     3.69    -1.77
2000     -7.79   -13.05     3.54    -5.02    -1.39
Projections under SRES A2 scenario
