Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         95.10    89.15    53.76    14.96    59.03
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      5.92     6.38    -0.70     5.61     6.06
1962      8.75     3.41    -0.91    -3.43    20.48
1963     -5.74    -2.19   -19.47     2.87     4.82
1964     -7.03    -6.61    -8.66    -1.67    13.18
1965     14.78    16.66     9.78    15.00   -23.01
1966      7.58    10.81    -8.73    -1.40    -9.33
1967      2.26     5.42    -7.60    19.96     7.26
1968     -6.95    -9.58    -0.99     1.23     4.94
1969    -11.80   -11.79    -2.92    -3.52   -10.87
1970    -11.50   -11.21     7.77    -3.49     0.77
1971     13.26    16.61     0.30    -1.05    -1.02
1972    -15.46   -10.35    -8.46    -3.21   -10.33
1973     -9.91    -8.91    -8.90    -0.82   -17.92
1974      3.64    -1.00    -1.91     9.03    15.19
1975     -4.86   -12.28     0.98    -1.35    12.39
1976    -13.49   -13.13     2.38     7.26    -4.34
1977      0.83     4.14   -20.85     0.25    14.25
1978     -4.77    -3.10    -3.89     0.97    -9.83
1979     -7.51    -3.31   -11.74    -4.70    -0.07
1980     26.81    29.11    18.73    -3.06    -6.67
1981    -12.24   -17.66    -5.18     4.16     1.38
1982     -2.22    -5.01    -1.97    -3.74     5.16
1983     13.17    12.25     0.93    -1.14    23.73
1984    -10.65   -13.94     1.42    -4.39    11.33
1985     -6.34    -5.03     5.45     0.65    -3.82
1986      7.24    -4.63     9.84    -0.58    10.49
1987      2.77     7.83   -10.03    -0.42     1.45
1988     -8.63   -10.63    16.06    -5.41     2.21
1989     -3.90     0.03     6.85    -0.92    -5.93
1990      2.30     3.29     1.69    -0.62     3.25
1991      0.74     1.46    -0.32     3.36    -1.72
1992    -10.03   -16.94     0.85     6.30     7.68
1993     10.02    13.95    -6.00     0.94   -23.83
1994     24.10    25.12     8.27     2.41    -3.00
1995     -7.69    -3.07    -9.67     1.04    -7.48
1996     22.23    26.47    11.87    -4.66    -9.72
1997      2.37     1.28     3.06     4.82    -2.86
1998     -5.19    -4.16     0.26     3.56   -16.13
1999      4.89     2.83    -7.80    -5.17    15.40
2000    -20.12   -27.62    -1.37    -2.85    -3.92
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     34.37    39.15     1.74    -2.41    -9.15
2047      0.12     0.93    -1.91    -4.38    20.05
2048     13.18    15.88    12.53    -1.55   -16.68
2049     14.35    -0.34    34.76     0.74    -6.11
2050      6.02     1.45    -7.77    -3.23    29.91
2051     -4.06     0.86    -6.25    -4.44   -12.96
2052      5.10     0.04    -0.88    -1.12    30.50
2053     19.21    21.24     8.85    -1.51     0.22
2054     18.83    23.95    -6.29    -4.99     2.54
2055     30.47    36.00    -6.96     0.57    -6.66
2056     29.29    35.20    -5.09    -3.24    -4.35
2057     15.70    19.31   -17.76    -9.04    13.75
2058     11.30    13.20    -8.03    -2.77    18.96
2059     36.37    24.04   -21.26    -3.61    31.05
2060      7.35    13.30     5.69    -5.98    -0.54
2061      6.57     1.62   -11.10    -7.73    25.59
2062      7.18     5.84    19.27    -1.94   -10.82
2063      9.05    10.10    -4.59    -6.75     6.19
2064     27.61    21.87    34.41    -1.79    11.61
2065     -3.98   -14.54    13.89    -4.45     8.18
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     35.01    37.47    -3.45     3.77     8.82
2082     47.87    51.75     5.50    -0.41    17.81
2083     17.53    16.30    28.37    -7.53     2.95
2084     14.36    12.04    11.96    -3.10    26.96
2085     80.32    76.49    -8.75    -5.89    42.34
2086     40.44    43.04    -0.16    -4.71    18.20
2087     57.67    62.58     4.91    -6.43    -8.53
2088     41.76    29.78    62.06     2.01    12.76
2089     30.02    10.76    28.54    -4.38    11.12
2090     26.25    26.92    15.18    -4.38    11.54
2091     23.80    27.22     4.05    -8.10    16.76
2092     15.75     9.36    11.33    -5.52    32.48
2093     33.10    32.06    11.70    -4.84    25.94
2094     28.53    24.37     1.66    11.25    30.40
2095     30.18    35.25    30.72    -5.24    27.04
2096     65.53    71.20    18.18    -2.77     3.28
2097     14.52    15.11    -3.55    -1.85    20.31
2098     38.55    42.79    10.42    -1.61    18.15
2099     39.70    30.60     9.17    -4.50    37.27
2100    -11.01   -18.51     6.25    -5.44     4.63
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     14.42    16.44    -2.07     2.13     5.50
2047     12.40     4.52    17.67     2.05     7.20
2048     28.77    26.62     9.79    -3.44     3.69
2049      9.81    -9.13   -11.56     2.07    42.09
2050     14.15    14.34    11.27     1.05     4.65
2051     21.40    23.33     8.51    -3.91    22.10
2052     13.08    14.05   -12.75     9.29     6.88
2053      4.95     7.76     6.11    -1.16     8.69
2054     30.68    34.62     4.29     3.83    17.79
2055     24.37    27.06    14.12    -6.22    14.75
2056     37.07    21.61    56.57    -2.16    11.52
2057      7.82    -4.37     5.83    -4.66    28.24
2058     48.47    37.01     5.93     4.93    34.91
2059     16.33    14.75     2.78    -4.52     1.84
2060     20.43    21.21    10.97    -4.50    14.18
2061     20.83    24.48   -14.70    -2.10     6.57
2062     10.72    -5.86     9.62     1.11    27.47
2063     15.64    17.23    15.47    -4.85    -9.32
2064     15.35    12.63    13.59     3.06    13.67
2065     -8.29   -11.32     1.93    -5.54    10.13
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     11.42    12.02     0.98    -0.39    27.51
2082      3.40     9.24   -13.34    -1.75    13.21
2083     35.23    39.19   -13.51    -1.32     0.25
2084     11.96    15.00   -21.82     0.08    10.04
2085     35.72    23.07   -10.28    -3.83    49.51
2086     17.31    18.37     2.15    -5.32     2.00
2087     28.77    15.85    19.44     0.11    -8.78
2088     20.13    23.94     4.24    -5.48    12.83
2089     10.73    14.73   -13.64    -0.82    -6.97
2090     30.29     8.45    47.02    -3.60    12.14
2091     57.75    63.56   -16.44    -3.42    -5.79
2092     18.46    17.92     3.50    -5.67    11.98
2093     29.35    33.94    -5.10    -5.19     6.39
2094     19.30    16.76     0.83     0.35    14.04
2095     54.75    58.08    -0.24    -2.92    19.11
2096     50.23    47.49    25.21    -7.03     5.67
2097     38.54    40.51    17.68    -1.28    30.28
2098     28.23    16.75    -5.30    -8.25    46.63
2099     21.12    23.19    -1.43    -5.59    14.55
2100     15.83     9.96   -10.58     0.76     6.49
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
