Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.99    10.00    10.01     9.98     9.97
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.38    26.72    17.76     8.19    12.68
1962     15.11    25.36    16.84    19.54    21.75
1963     16.50    25.57    14.98    22.29    22.16
1964     13.62    16.31    25.05    19.23    15.18
1965     12.70    20.58    17.60    15.83    18.11
1966     17.16    23.52    20.55    29.06    10.90
1967     12.17    19.14    11.05    12.41     9.28
1968     12.11    11.14    12.90    12.74    13.57
1969      9.61    20.13     4.23     9.15     8.57
1970     11.70    20.52    16.47    10.14    13.11
1971     14.95    18.20    10.90    20.62    16.00
1972     13.12    11.37    17.14    14.76    12.14
1973     13.87    17.38    10.94    20.21    15.65
1974     12.93    11.26    16.73     9.95    22.98
1975     11.94     8.05    16.06    11.57    11.80
1976     13.50    11.33    13.17    20.27     8.11
1977     10.60     9.24     8.74    10.45    14.48
1978     11.36     9.24     9.30    12.56     9.76
1979      9.56    13.78     9.95     8.81     9.45
1980     10.55    12.39     8.27    10.85    14.79
1981     15.10    15.70    29.63    16.58    13.83
1982      8.34    10.84     4.25     7.05    10.51
1983      7.49    11.55     8.11     6.66     7.25
1984     12.44    11.86    17.35    13.32     7.20
1985      8.26     4.36    12.09     6.62     5.56
1986      8.40     7.26     8.07     7.44     7.01
1987      9.15    14.98     7.47     6.36     7.78
1988      8.18     4.61     8.99     7.13     4.30
1989      6.79     8.26     3.75     6.01     5.95
1990      8.15    10.57     5.29     8.33     6.37
1991      7.61     9.09     7.09     5.69    10.68
1992      4.75     6.43     3.92     2.58     6.82
1993     10.81     6.32     2.82    10.58    12.51
1994     11.34     5.99     7.16    16.01     5.54
1995      7.28    11.26     8.25     4.96     6.14
1996      5.44     4.51     5.49     3.01     1.19
1997      8.49     4.48     9.88     7.50     9.94
1998      8.67     5.37     5.88     7.20     8.80
1999      8.89     3.66     7.18     6.30    13.41
2000      7.02     3.52    10.84     6.83     9.85
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.62     1.58     1.79     0.74     0.82
2047      2.02     0.78     1.17     0.39     0.70
2048      2.90     2.64     2.61     2.77     3.35
2049      2.16     1.90     1.70     1.10     1.23
2050      1.59     0.63     2.21     0.51     1.06
2051      1.08     0.84     0.95     0.35     2.62
2052      3.90     0.76     6.08     1.62     1.30
2053      1.00     1.61     0.99     0.20     1.27
2054      2.08     1.56     3.63     1.26     0.37
2055      2.03     2.37     0.22     0.76     2.27
2056      2.39     1.77     2.34     0.86     2.61
2057      1.81     1.96     0.56     1.07     2.58
2058      1.80     0.48     2.30     0.63     1.00
2059      2.21     0.84     0.54     1.03     0.50
2060      2.45     1.33     6.88     0.52     1.33
2061      1.35     0.67     0.95     0.77     0.54
2062      2.38     0.93     3.24     0.85     0.33
2063      2.94     2.09     3.73     1.25     3.07
2064      0.85     0.54     0.60     0.44     0.24
2065      1.51     0.97     2.22     0.60     2.67
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.22     0.22     1.11     0.02     1.39
2082      0.79     0.41     0.00     0.10     0.74
2083      1.41     0.44     0.04     1.02     1.04
2084      1.35     1.67     0.18     1.26     0.25
2085      0.83     0.51     2.33     0.85     0.15
2086      0.48     0.16     0.79     0.56     1.83
2087      0.17     0.08     0.00     0.02     0.21
2088      0.48     0.17     2.02     0.00     1.03
2089      0.50     0.03     0.59     0.09     0.92
2090      0.87     0.56     0.63     0.09     0.00
2091      0.25     0.31     0.52     0.00     1.10
2092      0.73     0.20     0.09     0.07     0.12
2093      0.27     0.32     1.32     0.02     0.10
2094      0.92     0.36     0.28     0.23     0.60
2095      0.33     0.00     0.61     0.09     0.17
2096      0.76     0.10     2.02     0.00     0.11
2097      0.51     0.60     0.02     0.08     0.08
2098      0.50     0.06     0.13     0.10     0.00
2099      0.35     0.07     0.21     0.02     0.21
2100      0.85     0.19     0.24     1.01     0.10
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      4.09     1.01     3.42     3.04     1.60
2047      2.47     1.03     0.73     0.75     3.84
2048      3.83     0.82     3.10     2.02     2.52
2049      3.38     2.19     2.40     1.40     4.66
2050      5.80     0.53     3.41     4.05     3.30
2051      2.70     2.25     2.91     0.74     0.75
2052      1.02     2.02     2.95     0.34     2.48
2053      1.55     1.99     2.61     0.75     1.88
2054      1.46     0.45     2.40     0.88     0.35
2055      2.78     0.72     0.59     1.14     5.82
2056      2.15     0.77     0.53     0.45     2.65
2057      2.09     0.46     0.78     0.64     7.98
2058      1.51     1.69     0.68     0.71     0.48
2059      4.64     1.38     0.44     3.02     9.49
2060      2.54     0.85     0.77     1.75     3.91
2061      1.58     1.43     0.90     0.62     4.18
2062      1.38     0.70     1.80     0.29     0.94
2063      1.84     1.80     2.07     0.97     1.34
2064      2.66     0.68     1.24     2.19     0.51
2065      1.53     0.29     1.26     0.46     3.69
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.43     1.52     0.46     0.00     0.86
2082      0.99     1.64     1.02     0.27     0.33
2083      0.95     0.78     0.98     0.37     0.20
2084      0.81     0.31     0.66     0.00     0.19
2085      1.40     1.50     1.22     0.37     2.13
2086      0.64     0.86     2.49     0.11     0.13
2087      1.08     0.67     1.61     0.17     0.02
2088      1.97     2.62     2.63     1.10     0.07
2089      1.80     1.05     0.79     0.98     0.20
2090      0.56     0.21     1.70     0.30     0.42
2091      1.52     0.71     0.63     0.15     0.40
2092      0.35     1.07     0.16     0.04     0.22
2093      0.88     0.29     0.27     0.11     0.16
2094      2.09     0.24     1.42     1.52     1.75
2095      0.43     1.28     0.41     0.10     0.03
2096      1.12     0.44     1.00     0.28     0.37
2097      0.74     1.74     1.01     0.14     0.08
2098      1.96     0.95     1.65     0.73     1.94
2099      1.00     0.72     0.30     0.08     1.15
2100      0.74     0.14     0.15     0.31     0.05
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
