Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.38    13.17    11.09    10.11    13.08
1962     13.18    14.94    11.09    13.73    13.18
1963     16.48    19.25    14.54    19.11    15.74
1964     13.30    17.09    10.84    14.04    12.03
1965     13.96    20.58    15.92    21.76    14.07
1966     15.15    16.76    13.99    17.27    12.84
1967     12.99    14.03    11.05    12.48    12.29
1968     14.16    15.30    12.93    20.53    11.49
1969     10.28    12.72     7.14    12.45     9.82
1970     11.78    14.98    12.71    12.30    11.84
1971     12.44    14.98    12.04    13.18    12.25
1972     13.14    11.37    13.49    16.73    12.02
1973     12.14    13.67    12.70    16.57     9.66
1974      9.60    10.18     8.28     8.32    10.82
1975     11.94    10.36     9.49    11.57    11.40
1976     13.50    14.30    18.38    16.22    13.81
1977     10.68    12.16     9.43    11.03    14.32
1978     10.85    10.57    10.91    11.04    11.25
1979     10.56    10.98     9.95    10.37    13.40
1980     10.20    11.69    11.92    11.15    10.07
1981      9.93    12.13     9.44     8.99    10.50
1982      9.93    10.84     8.50     7.70    12.35
1983     10.25    11.46     8.64     9.94     9.06
1984     10.45     8.02     9.16     9.19     9.53
1985      9.18     9.23    10.66     6.62    10.91
1986     10.04    10.88    11.91     8.45    10.96
1987      9.15    11.20    10.55     8.25     7.79
1988      8.18     5.62     7.42     7.13     8.63
1989     10.42     9.51     7.66    10.35     8.61
1990     10.03     8.58     5.65     9.96     6.66
1991      7.61     9.84     8.89     6.20     7.50
1992      9.85     8.54     6.03     9.29    11.00
1993     11.62     8.40    12.15    10.58    11.95
1994     11.34     5.99     7.34    11.01     9.33
1995      8.47     8.29     8.21     8.91     6.57
1996      9.93     8.00     7.70     9.29    10.09
1997      6.69     8.82     8.51     6.59     6.58
1998      8.67     7.22     6.38     7.33     8.46
1999      9.60     6.53     7.46     8.61    12.62
2000      7.93     7.31     9.20     6.83     5.83
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.90     1.42     1.83     0.74     2.82
2047      2.05     1.66     2.63     0.47     2.11
2048      2.71     1.41     1.02     1.55     2.29
2049      1.53     1.53     1.70     0.67     1.65
2050      1.59     0.63     1.17     0.51     1.06
2051      1.92     0.66     2.60     0.75     1.16
2052      1.66     0.76     1.03     0.51     0.71
2053      1.44     1.04     1.48     0.33     1.38
2054      1.73     1.34     0.74     1.26     0.99
2055      1.34     0.90     0.36     0.22     1.33
2056      1.39     0.94     0.91     0.31     0.76
2057      1.81     1.00     1.86     0.59     1.24
2058      1.80     1.58     0.83     0.52     0.95
2059      1.20     0.84     1.34     0.50     1.42
2060      1.51     0.77     1.41     0.52     0.70
2061      1.25     0.67     0.40     0.77     0.54
2062      1.58     0.63     1.02     0.61     0.59
2063      1.14     0.65     0.53     0.56     0.55
2064      1.68     0.66     0.84     0.44     0.71
2065      1.61     0.97     1.13     0.60     0.50
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
