Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.96    10.02    10.01    10.01    10.02
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      1.85     0.46     1.28     7.83     3.79
1962      2.91     1.61     2.55     2.32     2.37
1963      2.32     1.06     0.86     3.11     3.28
1964      2.57     1.39     1.05     4.77     4.33
1965      2.82     2.37     1.88     4.56     2.64
1966      3.14     1.27     1.88     4.61     4.85
1967      3.51     2.85     1.48     3.66     5.03
1968      6.95     6.23     2.10    10.81     6.88
1969      4.05     2.52     4.72    12.04     4.46
1970      3.63     1.44     7.15     9.93     3.58
1971      4.74     2.17     6.52     2.86     2.54
1972      5.16     3.38     2.77     6.01     6.22
1973      6.17     6.79     3.35     7.25     4.29
1974      4.87     4.68     2.01     5.32     5.37
1975      9.12     6.68     4.68     4.47    10.45
1976      7.98     7.98     8.79     4.43     5.37
1977      7.52     5.23     4.61    10.48    11.35
1978     10.90     9.81     8.18     8.93    16.09
1979      6.42     5.90     6.66    11.32     5.65
1980      4.39     4.15     2.85     6.19     5.33
1981      5.96     6.76     4.79     3.35     8.79
1982      9.75     6.72    17.22    14.46     6.89
1983      9.53     7.56    10.28    12.45    10.59
1984      6.72     5.89     4.29     8.40     6.64
1985     13.53    16.95     9.54     9.45    11.29
1986      8.22    10.84     4.81     7.80     6.19
1987     11.84     6.76    18.89    13.20    17.97
1988     12.89    17.20    13.23     7.89    10.48
1989     12.21    10.62    17.34    18.81    14.21
1990     11.28    12.87    12.30    12.20     9.26
1991     10.69    11.59     7.67    13.96     9.20
1992     11.88    14.08    11.59    19.89     9.78
1993     11.84     8.57    13.85     7.36    11.21
1994     16.34    18.28    18.61    12.36    16.83
1995     14.29    11.95    21.56     9.92    12.89
1996     17.97    16.88    21.78    15.85    23.07
1997     16.30    26.25    11.67    11.10    15.39
1998     14.36    15.88    12.37    12.85    15.33
1999     12.44    16.75    10.89    11.72     8.22
2000     16.54    19.13    20.75    13.74    13.28
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     31.62    51.22    34.66    42.76    38.09
2047     35.06    64.93    39.32    38.70    34.86
2048     33.60    61.10    38.35    28.05    35.41
2049     36.02    64.12    39.89    42.46    40.26
2050     40.17    73.76    47.77    44.44    44.85
2051     38.89    70.37    48.71    47.89    41.16
2052     38.90    69.00    44.29    27.51    42.98
2053     38.38    60.27    48.23    55.35    43.45
2054     36.53    67.01    45.92    38.82    37.41
2055     37.27    62.07    52.91    43.73    34.40
2056     37.05    65.82    48.47    30.29    36.09
2057     37.27    66.22    52.82    39.20    31.77
2058     38.46    60.73    49.86    47.54    41.24
2059     45.20    68.02    62.07    40.55    53.87
2060     34.66    68.76    41.85    39.01    30.91
2061     43.09    72.76    55.87    54.19    48.81
2062     43.25    70.23    54.32    36.93    52.83
2063     37.05    67.22    46.24    34.32    36.49
2064     39.31    70.24    43.29    52.47    42.61
2065     42.16    72.66    46.54    49.45    51.66
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     51.79    84.98    69.64    79.24    54.86
2082     51.16    79.45    70.80    60.43    57.48
2083     50.69    78.64    68.61    58.67    58.03
2084     54.89    80.83    74.15    74.32    67.17
2085     50.65    82.12    63.84    73.11    63.37
2086     54.77    81.84    71.42    70.75    64.47
2087     57.66    84.28    77.62    79.76    74.16
2088     52.36    87.14    67.16    68.23    58.54
2089     54.62    87.70    73.35    68.32    63.92
2090     52.84    88.37    63.73    65.34    69.08
2091     57.62    86.82    76.30    77.44    72.25
2092     58.55    88.40    68.58    74.69    78.94
2093     56.41    87.36    65.53    72.64    77.29
2094     56.65    89.48    71.06    66.57    72.07
2095     57.79    92.49    71.97    78.58    70.89
2096     56.32    88.15    69.97    74.12    71.32
2097     54.93    85.13    77.28    67.09    64.69
2098     60.10    92.45    68.90    79.36    83.47
2099     58.96    92.65    74.28    78.08    75.99
2100     60.73    88.11    79.72    74.23    75.06
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
