Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.97    10.02     9.98    10.01    10.00
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.64     4.28     4.43     6.05     7.01
1962      4.86     3.34     1.46     2.40    13.86
1963      5.16     2.71    10.51     5.84     3.85
1964      4.19     1.85     5.53    11.62     2.57
1965      6.69     2.58    15.64     6.49     9.58
1966      7.98     3.81    16.62     5.21     7.08
1967      7.72     7.16     4.71     5.07     5.43
1968      8.05     7.55     2.09    10.65    15.45
1969     14.57    14.22    17.32     8.35    12.20
1970      6.38     4.69     5.69     4.37     7.58
1971      4.17     2.07     4.50     5.16     5.99
1972     10.83    10.97    13.29     8.86     6.88
1973      9.40     6.46    14.08     3.73     5.63
1974      6.51     5.17     3.98     9.97    11.06
1975     12.84    11.54    17.92     4.02    10.41
1976      7.09     2.96    11.21    11.92    11.80
1977      7.43     3.95    10.28     9.72     8.70
1978      8.87     7.85     3.87     6.81     8.18
1979      2.92     1.56     3.40     4.65     4.54
1980      3.50     1.72     2.64     4.93     5.26
1981      8.70     7.58     2.64    18.80     9.54
1982     11.11     8.44    18.33     3.51    11.88
1983     12.37    15.65    13.75    16.89     7.06
1984     11.95    10.33    17.26    12.35    12.17
1985      4.34     2.63     2.27    14.07     6.33
1986     11.69    14.40     7.29     6.20     9.51
1987     16.48    27.79    10.86    10.53     9.81
1988     12.30    12.07     9.51     9.76    11.62
1989      8.09     9.66    10.37    17.24     7.07
1990      5.31     1.77     7.00     9.18     2.97
1991      8.18     7.70     4.93    17.12    11.19
1992     12.33    11.81    10.33    12.66    10.72
1993     14.77    17.33    11.48    15.23    18.94
1994     16.57    23.90    20.82    10.75    12.87
1995     10.19     5.72    14.91    10.47    10.46
1996     11.25     7.92    12.65     9.60    17.49
1997     15.05    22.52     8.85     9.82    14.13
1998     10.23    13.80     7.00    13.02     8.90
1999     18.35    20.69    18.29     8.86    21.22
2000     14.19    14.60    20.33     6.21    17.74
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     26.43    46.74    33.99    41.73    26.24
2047     28.19    45.53    27.42    44.26    34.03
2048     27.20    49.36    26.97    43.03    24.36
2049     34.50    61.12    44.33    54.32    30.69
2050     26.45    40.67    34.74    63.35    37.50
2051     31.92    55.99    35.72    47.36    37.51
2052     28.78    61.05    14.94    45.21    35.79
2053     32.20    54.51    46.35    49.55    30.07
2054     23.44    37.93    22.27    40.50    24.96
2055     33.98    61.36    37.30    53.90    40.43
2056     33.15    58.43    43.72    53.14    36.87
2057     38.07    69.38    45.40    60.50    47.48
2058     25.22    44.02    25.00    35.33    27.69
2059     27.53    50.47    30.83    51.70    34.22
2060     34.31    64.46    42.97    54.19    30.04
2061     34.99    56.56    48.29    52.42    39.58
2062     34.51    59.77    48.89    57.80    42.37
2063     36.79    67.49    44.21    27.59    42.58
2064     34.69    56.82    51.76    67.73    37.69
2065     33.47    49.73    49.17    39.19    33.66
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     43.43    73.88    61.01    64.43    47.77
2082     43.78    73.81    58.33    69.21    52.27
2083     43.40    76.57    56.10    73.27    54.11
2084     42.32    83.30    60.17    62.96    39.24
2085     44.98    77.37    60.09    75.33    57.21
2086     46.53    81.83    55.81    71.31    59.93
