Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         10.00     9.98    10.00     9.98    10.01
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     17.33    11.79     8.55    20.21    14.71
1962     17.12     5.81     6.45    25.74    10.48
1963     13.71    18.74     6.02    15.05    11.07
1964      8.70     8.56    11.25     7.36     8.18
1965      2.89     9.10     1.31     2.33     3.34
1966     19.94    13.73    21.72    25.68    17.22
1967     15.09     9.73    20.93    16.37    12.62
1968     13.25    11.58    10.32    17.14    22.27
1969      4.47     8.88     1.83     5.82     8.20
1970     11.18     7.43    15.15    10.06    12.44
1971     18.37    15.97    17.22    23.43    14.05
1972     21.09     9.88    20.42    30.36    13.97
1973      5.43    12.39     5.02     4.51     5.68
1974     12.84    10.14    12.35    14.22    11.58
1975      8.94    11.18     3.18     8.66    17.70
1976      4.96     6.43     9.08     4.95    11.05
1977      6.25    15.21     4.44     7.80     7.69
1978     11.73     6.01    22.62     9.17     5.04
1979     13.12     9.50     8.76    12.27    14.26
1980     10.85     6.78    15.18     7.91     9.55
1981      9.96     9.75     5.30    12.15     5.29
1982     11.24    10.60    10.95     7.88     8.89
1983      8.88    19.61    12.94     3.38    10.36
1984      9.28     7.01     6.55    11.16    14.22
1985     11.68    15.62     7.28    11.52    12.27
1986     13.04    12.01    12.06    10.39     8.70
1987      2.32     7.60     2.36     1.03     8.62
1988     11.62     5.32    18.17     9.17    11.33
1989      6.20     9.85    14.52     3.95     8.89
1990      8.73     5.47     4.52    11.68     4.77
1991      5.54     7.65     3.21     5.08     5.02
1992     17.84    17.65    21.82    15.33    30.36
1993     11.25    10.69    13.45     9.86     9.07
1994      7.30     5.04     2.08     8.95    11.29
1995      8.21     5.51     6.63    10.49     5.72
1996      6.89    10.77     5.97     8.60     4.19
1997      4.66    11.80     3.41     3.99     7.43
1998     12.78    11.31    13.13    12.69     7.14
1999      7.92     5.30     2.27     8.73     3.82
2000      1.94     4.57     0.39     1.64     5.72
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.98     3.12     4.26     1.11     5.27
2047      1.79     3.52     2.99     0.41     2.25
2048      1.88     2.18     0.14     0.86     6.19
2049      1.23     2.01     2.46     0.21     1.42
2050      2.40     0.99     4.24     1.46     1.19
2051      5.50     1.46     7.40     3.08     1.50
2052      3.14     1.25     4.01     1.93     1.22
2053      1.56     0.51     2.34     0.69     0.92
2054      0.83     3.03     0.67     0.26     1.42
2055      4.51     3.82     2.98     1.15     1.82
2056      3.96     2.48     1.15     4.11     1.22
2057      5.73     1.47     9.49     2.45     1.04
2058      0.62     2.35     0.73     0.02     0.54
2059      0.66     1.66     1.55     0.05     5.44
2060      1.49     2.68     0.72     1.09     1.40
2061      2.63     2.05     5.12     0.40     1.43
2062      0.96     4.54     0.95     0.27     2.83
2063      0.95     3.29     0.61     0.32     2.54
2064      1.08     2.44     0.07     0.40     0.25
2065      1.83     2.25     1.40     0.87     0.97
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      1.00     2.46     1.26     0.30     0.34
2082      0.14     2.85     0.08     0.01     0.10
2083      0.12     0.29     0.00     0.11     0.07
2084      0.34     0.98     0.09     0.13     0.11
2085      0.37     1.02     0.15     0.05     1.19
2086      0.17     1.29     0.26     0.00     0.15
2087      0.82     0.39     0.32     0.49     1.05
2088      0.05     1.03     0.00     0.00     0.17
2089      0.09     0.41     0.01     0.00     0.43
2090      0.82     1.33     0.93     0.07     1.55
2091      0.03     0.12     0.00     0.00     0.35
2092      0.34     0.51     0.01     0.07     1.51
2093      0.37     0.39     0.00     0.10     0.66
2094      0.17     2.55     0.00     0.00     0.30
2095      0.02     0.73     0.00     0.00     0.46
2096      0.03     0.45     0.03     0.00     0.55
2097      0.00     0.45     0.01     0.00     0.04
2098      1.46     0.94     2.25     0.87     0.30
2099      0.18     1.15     0.36     0.02     0.66
2100      0.25     0.60     0.33     0.05     0.13
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.07     1.95     1.55     0.78     7.89
2047      0.90     3.04     0.66     0.16     3.23
2048      0.74     0.16     1.25     0.33     1.45
2049      0.60     2.79     1.00     0.04     1.05
2050      3.78     2.51     2.81     2.16     3.05
2051      0.88     1.21     0.24     0.38     1.38
2052      3.34     4.41     0.27     3.69     3.75
2053      1.12     5.72     1.90     0.44     1.94
2054      0.65     2.09     0.17     0.16     0.75
2055      0.59     3.63     0.08     0.10     4.30
2056      0.68     1.87     0.79     0.06     3.05
2057      1.66     1.38     0.87     0.39     0.18
2058      0.51     3.01     0.19     0.17     2.48
2059      3.08     2.31     0.05     4.57     1.33
2060      0.75     1.40     0.53     0.40     1.72
2061      0.76     1.73     1.11     0.18     0.41
2062      0.30     2.46     0.31     0.03     0.77
2063      1.30     1.12     0.07     1.21     0.09
2064      0.71     1.04     0.17     0.25     1.37
2065      2.08     2.00     1.14     0.99     0.62
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.39     1.35     0.25     0.17     0.34
2082      0.15     1.41     0.84     0.00     0.12
2083      1.90     1.51     0.18     2.28     0.98
2084      0.67     1.97     0.26     0.21     1.76
2085      2.11     2.33     0.55     0.75     0.18
2086      0.80     0.54     0.42     0.46     1.85
2087      1.37     3.20     1.44     1.27     0.36
2088      0.26     1.04     0.08     0.03     1.24
2089      0.29     1.25     0.04     0.01     0.82
2090      1.28     1.01     0.11     1.21     0.31
2091      0.81     0.57     1.23     0.29     0.25
2092      0.51     0.91     0.07     0.07     1.26
2093      0.64     1.76     0.61     0.22     1.95
2094      0.61     1.43     0.17     0.34     0.22
2095      0.38     2.76     0.02     0.10     2.02
2096      0.16     1.86     0.40     0.02     0.98
2097      2.72     1.55     2.97     1.11     0.36
2098      0.44     1.39     0.15     0.42     1.43
2099      1.27     1.39     0.60     1.18     0.59
2100      0.07     1.30     0.03     0.00     0.54
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.24     5.94     0.76     0.07     6.06
2047      3.00     6.37     0.75     1.57     2.09
2048      2.66     8.96     2.61     0.90     5.21
2049      0.99     2.29     0.36     0.47     0.64
2050      1.17     4.44     0.92     0.51     2.57
2051      1.79     2.92     1.46     0.58     4.33
2052      2.08     3.49     2.25     1.24     6.13
2053      3.82     3.81     0.89     3.29     2.18
2054      0.62     0.23     0.22     0.07     2.49
2055      1.91     5.62     1.17     0.66     3.21
2056      4.05     0.96     1.97     2.39     4.94
2057      0.54     2.84     0.48     0.22     3.07
2058      2.58     4.73     0.42     1.98     1.95
2059      1.27     6.02     0.31     0.90     0.72
2060      0.52     1.51     0.07     0.11     2.74
2061      4.44     1.30    10.69     1.39     1.97
2062      6.55     4.01     6.87     7.55     0.58
2063      0.56     3.62     0.56     0.02     2.49
2064      1.04     1.27     1.55     0.83     0.35
2065      0.32     1.21     0.04     0.02     1.50
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      5.28     6.51     7.97     1.63     4.38
2082      2.59     3.80     0.90     2.49     4.97
2083      0.62     2.59     0.07     0.24     1.28
2084      3.62     1.92     4.35     2.33     5.82
2085      3.37     1.66     1.25     2.30     3.15
2086      0.61     1.01     0.54     0.32     4.23
2087      0.93     4.25     0.23     0.28     0.34
2088      3.36     5.68     3.27     2.16     1.04
2089      5.50     2.04     2.66     5.59     2.53
2090      0.45     1.86     0.07     0.32     0.73
2091      4.63     1.20     1.18     4.22     1.58
2092      0.51     2.40     0.11     0.41     1.51
2093      0.20     0.49     0.00     0.02     0.39
2094      0.73     2.66     0.39     0.24     1.33
2095      0.34     2.15     0.82     0.12     0.60
2096      0.16     0.98     0.05     0.11     0.38
2097      2.13     3.22     1.73     0.43    10.28
2098      3.01     0.74     4.29     2.38     2.32
2099      0.76     1.06     0.49     0.15     1.97
2100      0.75     2.23     0.07     0.07     2.98
