Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.99    10.00     9.97     9.99    10.00
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.71     6.02     5.32     8.25    10.15
1962      8.08    10.65     5.95     9.02     7.47
1963     10.55    12.79    13.69     8.07    11.54
1964     14.14    22.86    11.52    17.19     7.97
1965     13.25    21.69    17.92    14.96    10.88
1966     11.02    12.20    16.10     7.18     8.36
1967     12.31    11.62    16.96    16.59     7.87
1968     12.10    11.73     9.06    16.31     9.28
1969      9.52     8.27     6.24    10.87    14.05
1970      9.24    14.35    14.23     6.76     6.37
1971      9.68    12.51    12.10     7.22     8.87
1972      8.81    10.51    10.26     7.83    11.16
1973     10.02    16.94     8.78    10.05    13.39
1974     14.87     9.12    14.95    18.00     7.89
1975     12.20    11.39    18.65    10.85    13.02
1976      9.77    13.24    13.61     7.92     7.50
1977     10.67     8.11    10.19    10.10    11.73
1978     12.07    12.78    12.37    10.19    15.46
1979     11.70     7.55     6.54    15.30    12.68
1980     10.52    11.55    10.61    11.23    10.70
1981      9.97    11.54     8.98    10.64    10.27
1982      6.60    12.41     6.43     5.43     5.46
1983     10.40    14.51     9.56    10.64    12.43
1984      9.83     8.00     7.55    12.15     6.38
1985     10.35     8.08    10.04    13.50     5.95
1986      8.46     9.04     8.71     7.74    12.68
1987     12.25     7.70    10.41    12.41    17.10
1988      4.74     5.79     5.06     3.88     4.15
1989      8.79     8.71     6.58     8.99    10.87
1990      9.68     5.61     5.78     9.72     9.43
1991     10.70    17.25    14.91     8.22     8.37
1992      9.92     8.65     7.12    11.33     7.46
1993     12.76     8.64    12.90    14.18    10.71
1994     13.02     9.73    11.61    14.42    14.02
1995      7.76     9.16     7.51     5.83     7.55
1996     11.36     5.80    10.78    12.60    13.16
1997      6.65     8.20     9.18     6.31     6.33
1998      9.90     7.41     8.33    10.50     8.27
1999      7.10     5.72     5.39     5.62    10.47
2000      6.30    11.58     9.42     3.79     9.48
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.17     1.62     1.25     1.41     4.61
2047      3.69     1.15     1.71     3.27     4.94
2048      2.74     3.10     2.65     1.87     3.66
2049      2.80     2.65     2.86     2.60     2.58
2050      2.53     1.34     2.01     2.22     2.63
2051      2.94     1.38     4.44     1.62     2.75
2052      1.53     0.64     2.07     0.95     1.16
2053      5.49     1.88     2.77     5.84     4.46
2054      2.13     1.75     1.33     1.57     2.22
2055      1.97     1.71     1.88     1.54     1.89
2056      2.74     1.98     1.52     2.54     1.29
2057      2.04     1.60     1.25     1.45     1.62
2058      2.28     0.99     0.89     2.06     2.00
2059      1.46     1.05     1.49     1.13     1.64
2060      1.83     1.29     1.49     1.02     1.59
2061      2.17     1.93     1.02     3.11     1.39
2062      1.70     0.85     0.56     1.67     0.61
2063      0.90     1.28     0.80     0.28     1.41
