Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         10.01     9.98     9.96    10.00     9.99
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.61     6.48    11.11    14.78     9.48
1962      4.62     2.52     3.68     1.64     2.21
1963      7.79     7.31     6.10     5.00     2.86
1964      7.36     1.45    10.74    13.89     5.76
1965      4.38     4.38     3.43     4.99     2.52
1966      5.13     2.73     3.79     2.65     1.99
1967     10.64     5.02     4.85     8.48    16.78
1968     10.84    15.43     6.78     8.75     7.35
1969      7.16     4.92     6.16    13.44     6.38
1970      7.15     4.66    13.73     5.19     4.38
1971      6.73     1.54     2.15     1.78     7.46
1972     10.39    12.13    12.12     9.53     8.95
1973     12.47    15.77     8.25    17.75    13.01
1974      7.38    12.07     6.37     7.00     5.29
1975      9.85     9.56     5.35    11.42    10.42
1976      7.15     8.86     4.05     9.47     5.59
1977     11.07    13.14     8.94    10.61    13.06
1978      8.81     6.31     8.70     9.61     8.37
1979      5.24     6.93     5.65     6.16     2.88
1980      9.10     4.92     4.52     9.15     9.66
1981     14.73    18.18    19.68     9.07    16.57
1982      9.32     7.81     7.70     7.60     6.06
1983      7.98     3.69     7.57     8.39     8.48
1984      8.55     7.36     5.34    14.31     7.91
1985     10.23    10.85    10.90     7.49     6.26
1986      8.12     4.69    11.06     9.31     7.36
1987     12.30    21.87    15.40    12.89     9.59
1988     16.16    18.70    15.95     9.16    20.27
1989      9.69    11.04     8.24     9.92     7.53
1990     10.89    11.19    13.90     9.00    10.36
1991     12.76    13.72    14.11    13.44    12.01
1992      9.40     7.02     3.80     8.15    15.40
1993     13.03    16.36     7.71     9.31    20.48
1994     13.47    11.13    24.58    12.51    13.20
1995      7.15     7.71     7.41     5.87     4.78
1996      9.34     6.40     6.03    16.35    13.34
1997     11.42    14.66    16.72    22.22     9.24
1998     14.08     7.47     8.39     7.92    19.59
1999      6.18     3.80    14.56     9.34     2.29
2000      9.58    12.85    14.49     7.98     6.62
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     23.87    26.84    49.34    37.85    40.50
2047     16.70    15.94    27.63    25.75    22.35
2048     20.17    26.15    28.22    26.18    27.78
2049     24.17    33.93    36.61    32.13    44.43
2050     23.38    33.83    42.72    22.92    33.94
2051     24.39    33.14    23.25    35.24    45.88
2052     25.25    44.71    57.79    36.02    40.17
2053     27.01    45.08    37.68    37.45    46.31
2054     24.94    38.25    46.86    44.54    38.32
2055     24.07    37.25    48.03    43.42    34.55
2056     24.51    35.39    43.58    38.08    33.68
2057     26.44    43.21    46.31    37.76    37.13
2058     26.19    38.00    44.89    33.72    42.90
2059     27.39    43.20    49.61    42.85    46.36
2060     28.25    39.65    39.82    41.45    42.47
2061     22.32    35.71    44.75    29.40    29.88
2062     27.41    43.37    32.32    36.77    50.15
2063     28.70    44.29    58.70    56.33    45.73
2064     24.98    39.89    44.87    43.21    35.99
2065     23.29    39.16    42.44    33.44    35.40
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
