Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
        22.74   24.92   22.92   19.06   24.05
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960   -0.52   -0.26   -0.53   -0.21   -0.26
 1961   -0.44   -0.46   -0.36   -0.19   -0.77
 1962   -0.44   -0.71   -0.78   -0.30    0.05
 1963   -0.48   -0.50   -0.28   -0.33   -0.81
 1964   -0.30   -0.17    0.01    0.00   -1.07
 1965    0.02   -0.17    0.10    0.08    0.08
 1966   -0.34   -0.14   -0.13   -0.77   -0.32
 1967   -0.36   -0.21    0.16   -0.87   -0.50
 1968   -0.02   -0.32   -0.53   -0.03    0.80
 1969    0.29    0.55    0.49    0.35   -0.22
 1970   -0.45   -0.18   -0.96   -0.28   -0.37
 1971   -0.57   -0.86   -0.72   -0.33   -0.38
 1972   -0.12    0.08    0.01   -0.16   -0.39
 1973    0.12    0.29    0.22   -0.07    0.03
 1974   -0.43   -0.89   -0.69   -0.13   -0.01
 1975    0.01    0.47    0.22   -0.74    0.07
 1976   -0.04   -0.37    0.12    0.27   -0.20
 1977   -0.09   -0.44    0.03   -0.02    0.06
 1978   -0.26    0.14   -0.47   -0.18   -0.53
 1979   -0.48   -0.56   -0.02   -0.94   -0.41
 1980   -0.59   -0.95   -0.51   -0.74   -0.17
 1981    0.07   -0.30    0.11    0.44    0.03
 1982    0.07    0.12   -0.04   -0.28    0.49
 1983    0.07    0.42   -0.09    0.07   -0.11
 1984    0.20    0.38    0.10    0.30    0.02
 1985    0.07   -0.21    0.33    0.29   -0.13
 1986    0.06    0.15    0.01    0.11   -0.01
 1987    0.19    0.30    0.19    0.04    0.23
 1988    0.07    0.02   -0.17    0.03    0.39
 1989    0.13    0.14    0.52    0.53   -0.69
 1990   -0.24   -0.44   -0.20    0.22   -0.55
 1991    0.21   -0.12    0.26    0.32    0.38
 1992    0.06    0.43   -0.00    0.19   -0.39
 1993    0.41    0.43    0.34    0.42    0.44
 1994    0.39    0.71    0.46    0.47   -0.08
 1995    0.20    0.41    0.15   -0.12    0.37
 1996    0.20    0.04    0.20    0.20    0.35
 1997    0.27    0.22    0.14   -0.04    0.75
 1998    0.22    0.46    0.23    0.23   -0.04
 1999    0.27    0.09    0.23   -0.12    0.86
 2000    0.28    0.50   -0.03   -0.10    0.76
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   -0.33   -0.81    0.58
 2002    0.25    0.11   -0.01    0.41    0.51
 2003    0.21    0.59    0.28   -0.13    0.09
 2004    0.40    0.14    0.25    1.29   -0.07
 2005    0.25   -0.04    0.63    0.63   -0.23
 2006   -0.27    0.09   -0.16   -0.82   -0.21
 2007    0.18    0.09    0.21    0.00    0.39
 2008    0.96    0.70    1.09    0.90    1.13
 2009    0.50    0.47    0.52    0.75    0.29
 2010    0.39   -0.36    1.09    0.12    0.73
 2011    0.78    0.20    1.27    0.56    1.08
 2012    0.49    0.78   -0.20    1.09    0.27
 2013    0.22    0.39    0.07    0.17    0.25
 2014    0.41   -0.08    0.33    0.87    0.53
 2015    1.00    1.28    1.54    1.03    0.17
 2016    0.61    0.07    0.47    0.45    1.45
 2017    0.76    0.34    0.94    0.45    1.32
 2018    0.69    0.52    0.86    1.06    0.31
 2019    0.92    0.74    0.62    1.80    0.51
 2020    0.74    0.48    0.46    0.64    1.39
 2021    0.55    0.42    0.32    0.66    0.78
 2022    1.07    0.47    1.02    1.86    0.93
 2023    0.80    0.35    0.64    1.14    1.06
 2024    0.74    0.72    0.97    0.73    0.55
 2025    1.42    1.21    1.30    1.94    1.23
 2026    0.93    1.10    0.79    0.53    1.30
 2027    0.68    0.32    0.49    0.56    1.34
 2028    0.75    0.38    0.61    1.40    0.61
 2029    0.91    0.75    0.46    1.24    1.18
 2030    1.02    0.53    0.64    1.06    1.85
 2031    1.35    0.98    1.55    1.48    1.41
 2032    1.17    0.88    0.67    1.77    1.37
 2033    0.95    1.13    0.61    0.89    1.16
 2034    0.81    0.79    0.78    0.94    0.75
 2035    1.06    0.86    0.61    1.36    1.41
 2036    0.73    0.85    0.21    0.83    1.04
 2037    1.01    0.29    1.18    1.02    1.56
 2038    1.48    1.41    1.27    1.42    1.82
 2039    1.24    1.37    1.45    0.80    1.33
 2040    1.49    0.97    1.09    1.83    2.07
 2041    1.23    1.03    1.67    0.92    1.29
 2042    0.72    0.65   -0.09    1.09    1.22
 2043    1.95    0.94    2.31    2.17    2.37
 2044    1.27    1.18    1.04    1.15    1.71
 2045    1.31    1.20    1.45    1.37    1.23
 2046    1.11    0.84    0.65    1.57    1.37
 2047    1.41    1.17    0.77    1.95    1.74
 2048    0.97    0.77    1.06    1.15    0.88
 2049    1.71    1.42    1.50    2.32    1.59
 2050    1.94    1.04    2.25    2.80    1.66
