Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
        22.29   23.96   21.96   19.32   23.91
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960   -0.89   -0.71   -0.59   -0.98   -0.64
 1961   -0.22    0.05    0.20   -0.47   -0.65
 1962    0.13    0.21   -0.06   -0.32    0.69
 1963   -0.22   -0.27    0.43   -0.46   -0.59
 1964   -0.90   -0.48   -1.12   -0.95   -1.05
 1965   -0.70   -0.73   -1.24   -0.70   -0.15
 1966   -0.71   -0.65   -0.53   -0.52   -1.12
 1967    0.26    0.61    0.24    0.15    0.04
 1968   -0.63   -0.25   -0.84   -1.20   -0.22
 1969   -0.76   -0.92   -0.48   -0.93   -0.70
 1970   -0.43   -0.32   -0.20   -1.02   -0.17
 1971    0.33   -0.06    0.11    0.57    0.70
 1972   -0.41   -0.33   -0.13   -0.94   -0.23
 1973   -0.76    0.01   -0.44   -1.44   -1.17
 1974   -0.76   -0.33   -0.76   -1.41   -0.52
 1975    0.28    0.43    0.82    0.13   -0.25
 1976   -0.24   -0.32   -0.34   -0.36    0.07
 1977    0.33   -0.21    0.38    0.76    0.40
 1978    0.02    0.34   -0.19    0.17   -0.23
 1979    0.24   -0.40   -0.19    0.99    0.55
 1980   -0.17    0.20   -0.74    0.04   -0.17
 1981   -0.11   -0.20   -0.31   -0.21    0.28
 1982    0.30    0.52    0.62    0.17   -0.11
 1983   -0.56    0.09   -0.51   -0.89   -0.91
 1984   -0.68   -0.95   -1.01   -0.26   -0.51
 1985   -0.21   -0.22   -0.78    0.33   -0.16
 1986   -0.10   -0.48    0.30    0.14   -0.35
 1987    0.45    0.13    0.89    0.49    0.29
 1988   -0.11   -0.37   -0.21    0.25   -0.11
 1989   -0.46   -0.36   -0.45   -0.54   -0.49
