Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
        23.21   23.97   22.99   21.20   24.70
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960   -0.22   -1.09    0.17   -0.52    0.54
 1961   -0.27   -0.13   -0.40   -0.01   -0.53
 1962   -0.03   -0.17    0.39    0.16   -0.51
 1963    0.34    0.18    0.59    0.63   -0.03
 1964   -0.50   -0.48   -0.78   -0.28   -0.46
 1965   -0.22   -0.37   -0.41   -0.62    0.51
 1966    0.47    0.20    0.25    0.12    1.33
 1967   -0.59   -0.34   -0.03   -0.40   -1.59
 1968   -0.48   -0.42   -0.14   -1.09   -0.25
 1969    0.25   -0.24    0.22   -0.61    1.64
 1970   -0.48   -0.48   -1.07   -0.57    0.20
 1971    0.01    0.58    0.14    0.11   -0.81
 1972   -0.66   -1.02   -0.63   -0.48   -0.51
 1973    0.13    0.12   -0.17    0.16    0.42
 1974   -0.28    0.08    0.10   -0.17   -1.13
 1975    0.21    0.15    0.49    0.52   -0.33
 1976   -0.27    0.04   -0.19   -0.09   -0.83
 1977    0.27   -0.56    0.42    0.77    0.46
 1978    0.07   -0.44    0.12    0.66   -0.08
 1979    0.14    0.41    0.40   -0.40    0.14
 1980    0.28   -0.01   -0.37    0.75    0.74
 1981    0.40    0.58    0.82    0.33   -0.14
 1982    0.05    0.26    0.52    0.17   -0.74
 1983    0.06   -0.47    0.02   -0.27    0.95
 1984   -0.27   -0.39    0.09   -0.29   -0.51
 1985   -0.04   -0.40   -0.05    0.01    0.30
 1986   -0.01    0.36    0.30   -0.48   -0.22
 1987   -0.21   -0.55    0.39   -0.57   -0.09
 1988   -0.05   -0.08   -0.42    0.25    0.07
 1989    0.14   -0.10   -0.08    0.89   -0.15
 1990   -0.43   -0.27   -0.28   -0.63   -0.54
 1991    0.49    0.72    0.13    0.51    0.58
 1992   -0.28   -0.28    0.25   -0.55   -0.55
 1993   -0.29   -0.35   -0.75   -0.55    0.50
 1994   -0.14    0.31   -0.37   -0.11   -0.40
 1995    0.04   -0.74   -0.74   -0.19    1.82
 1996    0.32    1.06    0.31   -0.05   -0.04
 1997   -0.05   -0.72   -0.39    0.69    0.24
 1998    0.71    1.59    1.01   -0.31    0.54
 1999    0.15    0.61   -0.01   -0.11    0.11
 2000    0.30    0.26    0.52   -0.09    0.50
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN    0.11    0.48    0.12
 2002    1.08    0.72    1.45    0.88    1.28
 2003    0.75    0.69    0.83    0.97    0.52
 2004    0.72    0.31   -0.03    0.76    1.83
 2005    0.55    0.71    0.47    0.45    0.55
 2006    0.41    0.17    0.24    0.23    1.02
 2007    0.79    0.79    0.94    0.63    0.81
 2008    0.93   -0.28    1.32    1.26    1.40
 2009    0.56    0.67    0.51    0.24    0.83
 2010    0.64    0.57    0.20    0.37    1.40
 2011    1.08    1.18    1.17    0.82    1.14
 2012    0.51    0.59    0.43    0.56    0.45
 2013    0.78    0.97    0.66    0.79    0.71
 2014    0.50    0.82    0.70    0.18    0.30
 2015    0.56    0.05   -0.06    0.74    1.52
 2016    0.53    0.74    0.79   -0.10    0.68
 2017    0.98    0.46    0.95    1.46    1.06
 2018    0.65    1.50    0.46   -0.06    0.69
 2019    0.39    0.43   -0.00    0.68    0.44
 2020    0.60    0.67    0.62   -0.19    1.31
 2021    0.52    0.77    0.14    0.47    0.68
 2022    0.81    0.12    0.45    1.10    1.56
 2023    0.80    0.81    0.80    0.72    0.86
 2024    1.04    1.00    1.26    1.13    0.77
 2025    1.02    1.37    0.15    1.50    1.06
 2026    0.73    0.44    0.73    0.21    1.53
 2027    1.25    1.15    0.41    2.17    1.26
 2028    0.96    0.20    0.63    0.70    2.31
 2029    0.95    1.09    0.42    0.81    1.49
 2030    0.67    0.39    0.23    0.49    1.56
 2031    1.07    0.94    1.50    1.35    0.47
 2032    0.49    0.60    0.35    0.13    0.88
 2033    0.83    1.25    0.55    1.07    0.45
 2034    1.21    0.65    1.57    1.21    1.43
 2035    0.92    1.67    0.30    1.09    0.61
 2036    0.74    0.67    0.26    0.33    1.68
 2037    1.15    1.55    0.69    1.83    0.51
 2038    1.36    0.76    0.68    1.85    2.17
 2039    1.03    1.32    1.47    0.76    0.58
 2040    0.73    0.13    0.81   -0.06    2.04
 2041    1.48    1.39    1.56    1.29    1.67
 2042    0.90    0.41    0.90    0.56    1.75
 2043    1.66    1.81    1.37    1.61    1.85
 2044    1.27    0.95    0.54    1.92    1.69
 2045    1.03    0.87    1.08    1.48    0.70
 2046    1.32    0.58    1.07    1.23    2.40
 2047    1.39    1.61    1.21    1.28    1.48
 2048    0.99    0.83    0.78    0.97    1.37
 2049    1.46    1.56    0.85    2.01    1.42
 2050    1.80    1.53    1.25    2.34    2.07
 2051    1.61    1.24    1.59    0.94    2.67
 2052    1.81    1.98    1.10    2.12    2.07
 2053    1.84    1.05    1.21    2.33    2.79
 2054    2.03    1.45    1.87    2.38    2.43
 2055    1.95    1.69    2.46    1.47    2.18
 2056    2.31    2.20    2.71    1.96    2.39
 2057    1.89    1.13    2.22    2.32    1.91
 2058    2.02    1.67    2.50    2.11    1.78
 2059    2.51    1.51    3.18    3.33    2.01
 2060    1.65    1.76    0.59    1.52    2.73
 2061    2.60    2.33    2.61    2.46    2.99
 2062    2.60    2.50    2.39    2.41    3.11
 2063    2.18    1.88    2.16    2.04    2.62
 2064    2.09    2.24    2.69    1.16    2.28
 2065    1.80    1.04    1.80    1.80    2.56
 2066    2.06    1.57    1.75    1.99    2.92
 2067    2.25    2.69    1.88    1.76    2.65
 2068    2.31    1.44    1.64    2.67    3.48
 2069    2.52    2.38    2.43    2.27    3.00
 2070    2.18    1.41    2.69    2.49    2.12
 2071    2.96    2.54    3.09    2.80    3.42
 2072    2.35    1.90    1.68    2.18    3.66
 2073    2.78    2.82    2.28    2.34    3.66
 2074    2.45    1.59    2.21    2.30    3.69
 2075    2.56    2.18    2.38    2.79    2.87
 2076    2.78    2.22    2.06    2.50    4.36
 2077    3.68    2.94    3.55    4.36    3.88
 2078    2.82    2.55    2.96    2.85    2.93
