Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     DJF     MAM     JJA     SON
1960      NaN     NaN     NaN     NaN     NaN
1961    76.93  160.33  100.87   31.06   43.25
1962    91.91  202.52  105.92   12.29   46.91
1963   102.90  265.09   97.71   17.00   31.79
1964    69.15  180.70   50.46   16.34   29.10
1965    98.77  229.43  113.73   12.71   39.19
1966    86.18  221.03   72.83   18.15   32.71
1967    97.46  195.51  135.20   21.76   37.36
1968    75.87  172.15   71.16   16.19   43.99
1969    88.05  184.97  112.85   14.39   40.00
1970    74.29  185.65   51.45   13.46   46.59
1971    87.15  193.92   94.72   19.33   40.63
1972    75.92  176.90   87.01    9.62   30.13
1973    78.54  164.67   90.88   14.90   43.70
1974    97.26  186.21  151.94   19.09   31.79
1975    79.15  165.49  106.78   18.45   25.88
1976    95.22  209.53  133.52   15.10   22.74
1977    82.76  174.84  101.19   18.52   36.48
1978    92.34  187.98  121.27   17.85   42.24
1979    97.17  218.48   96.52   19.97   53.72
1980    77.84  162.30   97.68   16.83   34.53
1981    88.41  216.01   78.41   19.60   39.64
1982    81.73  198.18   83.83   11.28   33.62
1983    66.93  155.71   64.61   21.65   25.76
1984    88.08  186.33  102.03   20.33   43.65
1985    92.57  189.07   91.53   20.59   69.09
1986    87.95  208.01   90.38   10.85   42.55
1987    68.42  161.62   72.89   12.56   26.60
1988    77.30  157.70   94.55   20.06   36.89
1989    93.59  205.23   98.06   20.69   50.38
1990    81.97  204.21   77.75   12.03   33.90
1991    80.59  157.52  111.28   18.50   35.06
1992    62.61  134.06   72.43   11.31   32.64
1993    82.73  201.14   81.39   11.44   36.94
1994    63.56  153.40   66.51   12.16   22.16
1995    60.69  148.13   59.02   11.78   23.84
1996    96.52  240.51  101.48   21.13   22.96
1997    96.96  239.57   96.29    9.35   42.61
1998    75.82  189.02   68.36   10.77   35.12
1999    97.40  252.15   80.38   23.57   33.51
2000    89.65  194.97   95.48   11.14   57.01
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
