Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     DJF     MAM     JJA     SON
1960    22.72   23.45   21.90   19.86   25.94
1961    23.29   24.84   22.84   19.84   25.62
1962    23.02   24.14   21.75   20.60   25.60
1963    22.72   23.52   21.54   19.68   26.13
1964    22.66   24.29   21.99   19.37   25.00
1965    22.35   23.36   21.32   19.58   25.13
1966    22.91   24.25   21.83   20.21   25.35
1967    22.90   24.40   22.14   20.10   24.96
1968    22.41   23.67   21.59   19.71   24.67
1969    23.15   24.54   22.22   20.26   25.57
1970    23.05   24.21   21.92   20.61   25.47
1971    22.49   23.47   21.76   19.95   24.78
1972    22.55   24.03   21.94   19.14   25.07
1973    22.89   24.74   21.93   19.53   25.37
1974    22.60   23.92   21.30   19.96   25.22
1975    22.61   24.11   21.98   19.57   24.76
1976    22.55   23.69   21.55   19.31   25.65
1977    23.04   24.31   21.91   20.24   25.68
1978    22.87   24.27   21.82   19.83   25.57
1979    22.86   23.65   22.14   19.90   25.74
1980    22.96   24.23   22.22   19.54   25.86
1981    22.38   24.04   21.45   19.06   24.96
1982    22.66   24.07   21.96   20.32   24.30
1983    23.57   24.44   23.17   20.77   25.88
1984    22.80   23.70   21.99   20.03   25.48
1985    22.95   24.24   22.02   19.94   25.60
1986    22.93   24.14   22.45   19.88   25.27
1987    23.29   24.44   22.93   20.06   25.74
1988    23.39   25.19   22.71   20.55   25.10
1989    22.88   24.27   21.94   20.13   25.19
1990    22.85   23.76   22.35   20.20   25.10
1991    22.95   24.58   21.94   19.84   25.46
1992    23.07   23.98   22.74   19.99   25.58
1993    22.76   24.17   22.26   19.73   24.87
1994    22.48   24.02   21.67   19.50   24.73
1995    22.87   23.94   22.04   19.94   25.54
1996    22.67   23.85   21.69   19.54   25.62
1997    22.94   24.13   21.73   20.42   25.50
1998    23.32   24.55   22.73   20.32   25.67
1999    22.69   24.23   21.99   20.04   24.51
2000    22.73   24.49   21.82   19.74   24.86
2001    22.93   23.96   22.23   20.01   25.53
2002    23.11   24.69   22.24   20.49   25.02
2003    23.08   24.53   22.50   19.71   25.59
2004    22.92   24.42   22.05   20.15   25.08
2005    23.59   24.74   22.54   20.91   26.16
2006    23.26   25.05   22.36   20.18   25.46
