Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
       Annual     DJF     MAM     JJA     SON
         82.7   187.5    90.8    16.1    36.5
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     DJF     MAM     JJA     SON
1960     6.34    9.65   10.18    0.94    1.93
1961    14.27   22.94   19.97    3.06    8.45
1962    -0.84   14.56  -13.72   -1.19   -5.66
1963    -3.26  -21.62   13.51   -5.15   -2.44
1964   -22.00  -60.22  -20.49   -3.37   -6.55
1965     5.18   16.97   -3.94    1.32    3.71
1966   -18.58  -31.64  -30.34   -2.49  -12.52
1967    -8.81  -12.95   -9.83   -2.97  -12.16
1968     3.60   18.42    1.55    9.11  -17.33
1969     9.01   31.25    0.22   -3.89    5.79
1970    -9.29  -14.71  -27.30   -2.13    4.34
1971    13.40   35.52   17.88    3.15   -5.59
1972    11.50    2.00   18.17    0.67   22.49
1973     2.16    9.82    2.73   -3.66   -2.92
1974    -3.96  -10.06  -12.00    2.13    1.45
1975     1.13   -0.17   -0.34    3.17   -0.82
1976    -3.28  -24.63   12.14   -1.45   -1.85
1977   -14.15  -17.42  -23.51   -3.72  -14.59
1978     2.49  -15.01   22.99    1.83   -2.50
1979      NaN   34.67  -10.77     NaN     NaN
1980      NaN     NaN     NaN     NaN     NaN
1981      NaN     NaN     NaN     NaN     NaN
1982      NaN     NaN     NaN     NaN     NaN
1983      NaN     NaN     NaN     NaN     NaN
1984      NaN     NaN     NaN     NaN     NaN
1985      NaN     NaN     NaN     NaN     NaN
1986      NaN     NaN     NaN     NaN     NaN
1987      NaN     NaN     NaN     NaN     NaN
1988      NaN     NaN     NaN     NaN     NaN
1989      NaN     NaN     NaN     NaN     NaN
1990      NaN     NaN     NaN     NaN     NaN
1991      NaN     NaN     NaN     NaN     NaN
1992      NaN     NaN     NaN     NaN     NaN
1993      NaN     NaN     NaN     NaN     NaN
1994      NaN     NaN     NaN     NaN     NaN
1995      NaN     NaN     NaN     NaN     NaN
1996      NaN     NaN     NaN     NaN     NaN
1997      NaN     NaN     NaN     NaN     NaN
1998      NaN     NaN     NaN     NaN     NaN
1999      NaN     NaN     NaN     NaN     NaN
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
