Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         57.38     6.32    23.88    55.44    24.40
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.99     1.80    -9.01    12.83    -1.24
1962     14.67     2.84     3.09    15.55    -4.19
1963      1.56    -1.36     7.40     2.56    -3.69
1964      0.43    -0.77    10.84     1.59    -1.50
1965     -0.77     1.13     8.96    -2.73     9.95
1966      5.21    -1.24    -8.62   -10.69    29.59
1967    -12.85     1.26    -0.30   -14.66     5.52
1968     -1.42     5.23     1.51    -2.50     0.20
1969      1.82     3.03    -7.51     3.74     1.37
1970     15.60     0.34     5.67    17.24     3.27
1971     -7.56    -3.24     6.70    -7.08    -3.09
1972    -11.97    -0.19     6.92   -15.34    -4.66
1973    -13.11    -1.92    -1.31   -14.44    -5.23
1974     -1.11    -1.25    -0.90     0.17     0.88
1975     -2.88    -1.48     6.15    -4.35    -1.25
1976     -0.17    -0.66     3.84    -3.19     0.36
1977      8.25     3.42     4.15     8.77    13.57
1978     -4.71    -0.40   -16.20    -3.68     4.29
1979      0.39    -1.49    -6.97     0.68     3.24
1980      7.94    -0.96     6.92     9.61    -1.26
1981      7.73     1.82    30.28   -10.43     7.30
1982      3.64    -0.28    -0.47     3.34    -1.71
1983    -14.14    -3.71   -11.04   -12.41    -6.70
1984    -14.52     4.36    -2.51   -12.97    -4.65
1985    -11.71    -1.73     2.12   -10.04     1.88
1986      4.80     2.01    -4.89     4.67    -1.91
1987      8.54     6.92   -13.85    10.33     4.22
1988    -14.54    -3.01     3.85   -13.94    -0.24
1989     14.50    -1.40    -2.52    16.40    -3.62
1990      6.02     0.30    -3.30     7.29     9.19
1991     15.93     3.25     3.14    17.83    -2.20
1992      7.71    -1.24   -11.42     9.55     0.21
1993     13.36    -0.47    -5.08    15.23     3.19
1994     -4.11     3.56    -9.00    -2.23     3.90
1995     -1.66    -2.18     2.54    -0.05    -0.49
1996     -9.48    -0.02    -3.23    -7.58    -4.60
1997      2.62     0.80    -0.64     3.65    -9.32
1998     -4.65     0.07    -4.59    -2.72    -0.21
1999     -0.72    -1.23    15.63    -4.31    -4.35
2000      4.25    -0.60    -7.76     6.15    -6.00
