Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     17.49    22.33    25.64    24.93    28.28
1962     21.81    27.56    30.43    39.99    23.35
1963     24.89    44.38    46.40    62.96    25.43
1964     17.03    18.92    27.29    42.17    21.83
1965     22.88    24.19    35.66    56.15    24.15
1966     18.54    31.38    22.54    56.20    21.45
1967     19.52    19.16    22.50    32.13    27.21
1968     17.78    25.79    18.42    23.53    22.73
1969     19.70    29.81    21.88    31.29    15.74
1970     16.42    16.09    25.97    59.61    14.20
1971     14.26    17.95    24.02    26.00    23.08
1972     16.93    27.98    30.78    26.59    19.22
1973     18.18    32.07    25.95    21.54    17.51
1974     18.74    21.78    25.97    22.38    17.21
1975     14.69    17.12    19.06    19.31    16.59
1976     17.11    20.51    34.03    26.72    16.50
1977     17.11    25.85    20.20    15.72    18.60
1978     14.64    23.18    21.00    19.14    20.57
1979     15.11    29.65    21.46    23.74    18.95
1980     15.02    24.65    22.35    24.17    23.54
1981     11.74    17.23    13.66    12.53    17.23
1982     14.97    12.51    24.80    21.51    16.67
1983     16.12    24.02    16.56    22.43    14.09
1984     13.17    17.32    16.07    20.73    14.44
1985     17.12    18.87    17.85    26.49    15.71
1986     16.16    22.12    21.09    14.17    25.69
1987     13.77    18.28    18.89    21.24    16.39
1988     14.30    20.71    13.59    10.64    17.66
1989     13.53    26.72    12.45    23.28     9.33
1990     12.00    17.45    14.27    11.30    17.00
1991     17.91    31.65    13.58    16.43    21.80
1992     19.17    26.54    17.28    27.43    22.67
1993     14.23    16.39    13.51    16.51    14.08
1994     18.41    29.30    21.37    12.56    25.16
1995     14.55    19.01    15.96    13.80    14.42
1996     12.66    22.42    14.30    24.46    13.32
1997      9.32    12.62    13.58    12.21    14.40
1998     13.39    16.02    10.28    14.43    17.54
1999     10.98    12.77    15.02    22.41    17.62
2000     15.11    33.92    12.58    32.11    11.05
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      6.09     9.22     6.34     3.90     9.09
2047      5.49     4.90     5.02     4.70     9.37
2048      4.91     2.81     3.69     3.00    10.09
2049      6.85     7.30     3.31     5.02     2.17
2050      4.03     3.20     2.08     2.34     4.54
2051      4.07     6.65     1.37     2.11     7.07
2052      5.42     3.88     1.86     3.71     3.45
2053      3.20     6.39     2.04     2.55     3.77
2054      5.18     3.84     3.09     0.87     8.88
2055      3.29     2.00     2.68     1.43     4.47
2056      2.35     1.74     5.98     2.74     3.47
2057      3.16     2.88     2.37     4.40     5.91
2058      2.51     4.45     2.70     1.64     2.85
2059      2.82     2.24     3.38     1.32     3.95
2060      3.55     5.22     3.86     1.30     2.08
2061      2.29     2.28     3.22     1.14     4.62
2062      2.74     2.29     2.41     2.15     3.37
2063      2.15     2.03     2.58     1.30     1.93
2064      2.45     1.66     2.44     3.55     6.43
2065      2.67     1.67     2.26     0.54     0.70
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
