Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.01     9.97    10.00     9.99    10.00
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     11.69     5.59    16.49    24.93    12.47
1962     15.55    25.14    14.83    10.92     6.24
1963      9.15     5.53    16.13    12.43    14.42
1964     16.68    18.92    21.10    12.21    19.07
1965     12.09    22.05    13.18    34.01    12.14
1966     11.82    18.53    16.54    28.81    12.36
1967      7.77     0.48     8.86     6.79    18.46
1968     11.70     8.42     6.61    17.08    22.73
1969     12.90    13.54    21.88    31.29    11.16
1970     11.41    15.18    11.55    15.15    14.20
1971     11.78    16.54    17.08    15.24     6.11
1972     11.57    10.46    12.87    13.64    10.42
1973     10.24     7.90    14.82    10.87    15.19
1974      9.09     8.63    19.28     6.64     9.19
1975     10.15     7.74     1.71     8.72    10.72
1976     17.11    20.51    21.49    26.10    13.42
1977      4.45     0.98    14.12     7.11     4.97
1978      7.44     8.59     9.70     7.92     6.98
1979     11.78    10.61    15.44     9.47     8.03
1980      8.52     8.30     5.51    11.13     6.74
1981     11.51    14.19    13.27    10.74     9.83
1982     11.48    10.78    11.70    21.51    13.04
1983     16.12    20.06    15.46    11.69    13.65
1984      9.43    10.31    10.96    11.43     7.40
1985     10.26     6.39     9.02    21.05     8.45
1986     13.25    10.50     7.68    12.65    14.78
1987      8.38     2.54    12.19    10.24    15.57
1988     10.78     6.82     6.18     6.30     8.54
1989      7.98     9.50     4.19     8.95     9.26
1990     12.00    15.00    14.27     2.09    12.36
1991      5.58     2.99     5.37     6.03     9.11
1992     12.71    16.65    10.65    11.32    12.51
1993     11.25    11.82    13.51     8.78    12.28
1994      5.00     4.80     0.63     2.35     4.08
1995      5.40     4.70     2.36     1.73     4.27
1996      9.04     9.44     5.89     7.82     9.46
1997      8.82    10.11     7.20     1.76    10.60
1998      6.98     4.33     1.63     3.68     9.65
1999     10.75    12.77     4.41     7.62     9.26
2000      6.37     3.22     2.60     3.51     7.23
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.99     1.28     1.21     0.25     2.33
2047      2.34     1.86     0.66     0.79     2.70
2048      4.91     0.98     0.26     1.08    10.09
2049      3.05     1.42     0.03     0.16     2.17
2050      3.22     2.03     0.44     0.13     2.70
2051      0.94     0.11     0.19     0.14     1.10
2052      1.53     1.99     0.01     0.12     0.40
2053      3.20     6.39     0.24     0.50     0.13
2054      1.35     0.12     0.70     0.25     4.94
2055      3.29     1.01     2.63     1.02     0.93
2056      0.97     1.28     1.52     0.41     0.12
2057      1.01     0.00     0.02     0.02     0.00
2058      0.27     0.58     0.56     0.54     0.27
