Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     15.37    19.41    24.46    27.69    21.31
1962     24.81    28.31    27.25    33.11    35.82
1963     25.37    50.46    46.14    38.44    19.90
1964     16.93    15.43    24.68    23.12    22.92
1965     25.72    16.59    35.49    39.55    38.31
1966     18.08    29.58    33.00    29.26    19.39
1967     16.09    21.24    19.21    25.35    20.54
1968     14.55    26.49    20.02    23.91    22.32
1969     20.54    29.98    25.05    27.34    19.71
1970     18.46    15.69    20.81    38.38    18.32
1971     14.56    15.21    24.78    18.14    23.15
1972     19.32    27.98    29.51    23.75    23.36
1973     17.70    27.35    23.73    17.71    29.01
1974     16.54    16.12    23.67    20.72    24.81
1975     13.91    15.00    19.22    17.52    20.36
1976     16.99    19.12    26.94    25.04    19.02
1977     16.31    28.28    22.06    14.30    18.81
1978     14.48    24.37    16.05    19.15    19.31
1979     17.06    26.29    17.45    14.36    21.39
1980     15.56    21.70    19.43    23.69    21.24
1981     12.34    20.85    16.33    14.48    15.51
1982     12.47    12.66    24.53    16.50    17.54
1983     16.76    25.19    15.15    19.83    18.03
1984     11.89    21.24    13.03    16.61    19.83
1985     20.47    19.74    24.23    34.45    13.09
1986     16.14    21.64    18.55    27.12    23.10
1987     12.29    16.00    16.48    25.82    15.78
1988     13.08    26.62    12.74    14.32    18.00
1989     15.08    23.64    14.06    22.51    14.72
1990     12.87    22.47    21.21    18.90    17.49
1991     15.97    29.25    18.34    14.69    22.37
1992     19.11    25.98    22.99    35.14    20.05
1993     15.06    18.06    22.43    17.04    15.71
1994     15.23    30.69    15.71     9.43    20.74
1995     16.83    23.46    17.38    12.99    17.34
1996     13.11    21.93    15.82    19.58    11.34
1997     12.47    14.15    22.94    18.79    15.30
1998     14.48    21.69    15.14    18.72    21.85
1999     13.54    21.29    18.15    17.12    18.50
2000     13.22    34.64    11.97    19.95     8.72
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      7.14     6.74     8.82     5.79     8.70
2047      6.05     6.99     7.77     7.26     8.67
2048      5.50     6.57     7.20     4.40     6.61
2049      6.96    12.39     2.79     9.27     3.91
2050      3.96     5.46     9.45     5.24     6.16
2051      5.33    12.91     7.38     9.71     4.06
2052      5.28    12.24     6.56     2.08     2.51
2053      6.02     9.57     5.98    15.74     4.03
2054      3.81     6.17     9.66     4.95     6.65
2055      5.28     2.00     6.08     3.21    12.44
2056      4.07     3.35     5.75     3.13     6.76
2057      5.47     3.82     6.05     7.15     7.02
2058      4.93     4.97     9.53     4.51     4.73
2059      3.11     3.81     4.23     6.09     1.93
2060      4.66     6.74     2.53     3.28     3.38
2061      2.65     4.18     2.52     2.33     6.66
2062      2.31     2.69     4.63     4.19     3.22
2063      3.29     1.14     5.14     4.53     7.15
2064      6.56     5.83    12.82     9.88     3.77
2065      3.04     4.45     2.91     5.75     3.27
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
