Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.98    10.00    10.01     9.98     9.97
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      7.68    11.58     7.02     4.16     6.33
1962      3.49     1.42     3.21     0.06     1.65
1963      1.05     0.81     0.33     0.49     4.25
1964      6.20     6.59     4.80     7.23     3.66
1965      4.35     4.39     4.55     1.64     0.69
1966      4.05     2.02     1.83     2.75     2.68
1967      9.72    10.69     5.38     4.23     8.28
1968      4.86     6.75     3.64     3.21     2.43
1969      6.80     1.52     3.88     3.00     3.51
1970     14.57    18.78    10.64    16.72    10.08
1971      4.09     7.81     1.64     2.26     3.38
1972      4.87     5.87     3.64     2.79     5.03
1973      8.66     4.87     5.25     7.50     7.57
1974      8.62     4.24     3.87     6.69    10.13
1975      7.14     3.05     3.58     4.15     7.06
1976      3.75     6.20     1.39     2.71     3.00
1977      9.09     4.72     8.90     7.37     7.39
1978     12.92     8.99    17.29    19.65    14.94
1979      4.91     5.72     8.56     0.36     3.50
1980      7.26     8.71     7.36     6.96     6.74
1981     10.57    15.30     9.77    12.41     7.23
1982      9.27    11.35     8.47     8.46     5.80
1983      6.99    10.43    11.62    11.86     5.97
1984     11.78    11.11    18.72     8.95     8.12
1985      3.79     5.34     2.39     0.94     1.37
1986     16.23     8.38     7.70    16.63    23.42
1987     14.86    18.82    21.19    19.22    11.62
1988     10.56     7.80    20.84     6.12    11.81
1989     14.29     3.28     6.30    13.99    21.66
1990     15.40    34.52    12.20    15.08    14.20
1991     11.15     7.45    15.36     6.14     9.49
1992      7.20     7.45     8.62     6.07     8.79
1993     15.41    11.25    11.17    18.49    17.39
1994     14.74    11.59    20.11    20.84    10.86
1995      5.65     3.31     6.91     4.07     5.96
1996     11.87     2.81     6.68    16.57    14.46
1997     19.48    21.70    18.23    25.73    24.79
1998      9.61    24.42    18.14     8.22     7.10
1999      4.81     4.64     3.69     2.43    10.39
2000      7.37     9.55     6.96     8.01    11.81
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     33.39    51.50    54.50    53.74    42.74
2047     27.50    45.06    50.33    44.89    37.87
2048     24.66    34.68    38.24    43.59    32.64
2049     37.56    52.38    62.81    64.68    49.22
2050     34.63    54.90    59.43    51.16    47.95
2051     37.17    50.95    67.26    63.84    53.87
2052     34.93    44.04    36.92    55.24    55.10
2053     35.13    34.24    61.82    53.94    48.36
2054     32.95    42.37    53.39    57.88    47.17
2055     39.59    55.72    73.14    62.03    56.39
2056     40.13    55.19    67.32    65.98    59.46
2057     35.58    53.96    71.16    53.73    42.78
2058     34.26    35.01    42.22    53.79    55.24
2059     32.50    44.52    63.64    50.01    47.12
2060     31.46    40.23    39.32    42.42    49.58
2061     33.21    43.25    55.63    55.20    43.77
2062     37.91    51.73    51.76    62.72    55.74
2063     43.43    47.32    58.80    75.41    60.13
2064     36.98    55.67    58.62    61.81    48.58
2065     34.00    39.00    60.10    60.16    44.40
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
