Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         37.2     1.3    14.8   117.0    15.6
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   17.93    0.22   18.22   54.29   -1.00
 1961    2.97   -0.59   -6.60   25.37   -6.29
 1962    3.70   -0.93    3.32   18.03   -5.64
 1963   -2.07   -0.29    0.18   -8.60    0.42
 1964   -7.54   -0.29   -5.65  -22.98   -1.25
 1965    2.22   -0.79   -0.39   15.13   -5.08
 1966   -4.21   -0.99   -3.05  -10.47   -2.34
 1967   -2.21    0.40   -4.24  -15.83   10.85
 1968   -5.54   -0.05    7.32  -24.12   -5.32
 1969    1.60   -0.81   -9.60   14.30    2.49
 1970  -12.54    0.02  -11.19  -47.54    8.54
 1971   -7.41    0.41   -0.45  -33.12    3.50
 1972   18.13   -0.48   19.85   34.63   18.52
 1973   -1.49    0.30   14.87  -15.47   -5.67
 1974  -11.03   -0.67   -4.29  -44.53    5.38
 1975    3.03   -0.22    0.42    5.17    6.73
 1976   -2.16    0.70  -10.41    7.95   -6.90
 1977   -1.14   -0.09   -9.20    7.37   -2.63
 1978    4.70   -0.40    7.21   14.33   -2.34
 1979    3.17    0.35   -3.81   23.85   -7.71
 1980    2.56    0.15    4.97    5.24   -0.12
 1981   -0.10   -0.56    7.76   -2.70   -4.88
 1982   -4.61   -0.97   -3.29  -15.29    1.11
 1983    6.28    0.07    2.91   24.60   -2.46
 1984    5.84   -0.08   14.10   15.73   -6.40
 1985    3.19    0.30    1.78   11.52   -0.83
 1986   -5.55   -0.62  -12.42   -4.34   -4.80
 1987    5.65   -0.48   -0.81   18.80    5.11
 1988    3.47   -0.06    4.28    7.95    1.72
 1989   -2.68    0.06   -2.19   -6.56   -2.02
 1990    2.77   -0.52    4.73   11.66   -4.77
 1991    0.04    0.09   -8.89   13.75   -4.80
 1992    2.67   -0.12   -2.38   18.48   -5.31
 1993    1.10    0.35  -10.25    0.97   13.34
 1994    2.86    1.16   -2.88   13.24   -0.08
 1995   -1.51   -0.47   -1.65    5.66   -9.58
 1996  -11.55    2.36   -2.62  -36.92   -9.03
 1997    7.85   -0.57    3.82    2.93   25.22
 1998   -3.47    0.09   -4.56   -3.09   -6.31
 1999   -8.08   -0.12    4.59  -34.27   -2.52
 2000  -12.11    1.46   -4.18  -37.03   -8.70
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    8.79   -0.44   -0.64   35.25    0.99
 2002    2.51    0.42   -8.30   15.36    2.57
 2003    2.45   -0.18   -8.12   19.73   -1.65
 2004   11.83    0.12   21.82   22.86    2.52
 2005    5.59   -0.03   -6.44   28.78    0.03
 2006    2.28    0.19   -6.46    7.99    7.40
 2007   -2.86    2.30   -6.48   -8.74    1.47
 2008   13.28   -0.33   -1.27   35.86   18.87
 2009   17.46   -0.28    1.96   32.11   36.04
 2010   -0.70   -0.56  -11.90    3.89    5.76
 2011    4.23   -0.47   -9.85   29.72   -2.49
 2012    1.23   -0.29   -3.96   12.72   -3.54
 2013    6.57   -0.39   -0.87   32.70   -5.16
 2014   -1.52    0.27   -6.76   -3.48    3.87
 2015   -3.86    0.27   -7.60  -15.94    7.83
 2016   -4.76    0.26   -6.96  -13.44    1.10
 2017    8.09   -0.29   -3.11   24.11   11.66
 2018    3.38   -0.59   -5.95    4.08   15.99
 2019   -6.14   -0.71   -0.80  -17.42   -5.64
 2020    0.25    0.77    3.85    4.26   -7.89
 2021   -7.96   -0.03    0.72  -27.23   -5.29
 2022   12.23   -0.71   28.58   27.31   -6.27
 2023   -1.77   -0.46    1.26   -6.60   -1.28
 2024   -8.70   -0.42   -5.69  -17.37  -11.31
 2025   -5.21   -0.59   -5.72  -14.01   -0.52
