Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        27.65   25.91   28.65   28.34   27.71
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.04    0.61   -0.01   -0.38   -0.36
 1961   -0.01   -0.11    0.43   -0.29   -0.06
 1962    0.06    0.05   -0.39   -0.42    0.99
 1963   -0.49    0.51   -0.88   -1.14   -0.44
 1964   -0.50   -0.44   -0.37    0.16   -1.32
 1965   -0.51    0.00   -0.49   -1.10   -0.43
 1966   -0.73   -0.47   -0.64   -0.91   -0.89
 1967   -0.05    0.09   -0.19   -0.09   -0.01
 1968   -0.19   -0.60    0.17   -0.53    0.18
 1969   -0.14    0.72    0.36   -1.14   -0.50
 1970    0.02   -0.45   -0.40    0.18    0.73
 1971   -0.14   -0.58    0.05   -0.50    0.47
 1972    0.36    0.86    0.13    0.36    0.10
 1973    0.02    0.25   -0.08    0.16   -0.24
 1974   -0.06    0.34    0.02   -0.65    0.05
 1975   -0.04    0.21    0.26   -0.13   -0.50
 1976    0.10    0.80   -0.09    0.32   -0.62
 1977    0.33    0.43    0.00    0.44    0.46
 1978   -0.10   -0.72   -0.12    0.48   -0.04
 1979    0.20    0.31    0.80   -0.11   -0.22
 1980   -0.25   -0.68   -0.00   -0.23   -0.07
 1981    0.23    0.89    0.11    0.37   -0.46
 1982   -0.23   -1.36    0.08    0.34    0.04
 1983   -0.66   -0.14   -0.22   -1.39   -0.89
 1984   -0.32   -0.55   -0.36   -0.03   -0.33
 1985   -0.13   -0.73   -0.01   -0.28    0.49
 1986    0.02    0.89   -0.00   -0.18   -0.65
 1987   -0.14    0.14    0.17   -0.11   -0.77
 1988    0.06   -1.29    0.21    0.68    0.65
 1989    0.07    0.51    0.12   -0.44    0.08
 1990    0.22   -0.52    0.22    0.55    0.61
 1991    0.24    0.48   -0.13    0.10    0.52
 1992   -0.55   -0.13   -0.55   -1.00   -0.53
 1993    0.06    0.78   -0.35   -0.21    0.01
 1994    0.09    0.49   -0.20    0.28   -0.19
 1995   -0.23   -0.44   -0.51    0.11   -0.08
 1996   -0.15    0.10    0.03   -0.03   -0.69
 1997   -0.03    0.22   -0.02    0.24   -0.55
 1998    0.34    0.14   -0.08    0.25    1.05
 1999    0.68   -0.24    0.92    0.44    1.58
 2000    1.09    1.81    0.67    0.63    1.24
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004    0.57    1.12    0.97    0.51   -0.33
 2005    0.32    0.78    0.02    0.20    0.26
 2006   -0.05   -0.71   -0.01    0.51   -0.02
 2007    0.81    0.22    0.77    0.93    1.31
 2008    0.49    0.51   -0.02    0.18    1.28
 2009    0.73    1.18    0.58    0.31    0.85
 2010    0.33   -0.70    0.51    0.34    1.17
 2011    0.89    0.28    1.10    1.03    1.16
 2012    0.79    1.07    1.05    0.92    0.11
 2013    1.19    1.26    0.83    0.82    1.84
 2014    0.85    1.04    0.92    0.70    0.73
 2015    0.76    1.83    0.67    0.71   -0.18
 2016    1.02    0.18    1.07    1.37    1.47
 2017    0.81    1.58    0.28    0.34    1.02
 2018    0.82    0.20    0.65    0.90    1.54
 2019    0.68    0.71    0.56    0.90    0.56
 2020    0.84    1.02    0.55    0.37    1.40
 2021    1.17    0.58    1.10    1.37    1.61
 2022    0.83    0.93    0.92    0.61    0.86
 2023    1.21    0.92    0.74    1.38    1.80
 2024    1.17    1.80    0.88    0.68    1.31
 2025    0.88    1.47    0.89    1.31   -0.15
 2026    0.87   -0.28    0.72    1.28    1.75
 2027    1.02    0.96    1.11    1.06    0.96
 2028    1.21    1.67    0.77    1.39    1.03
 2029    0.91    1.19    0.84    0.48    1.12
 2030    0.44    0.53    0.59    0.31    0.33
 2031    0.99    0.37    1.11    1.49    0.98
 2032    1.74    2.57    1.54    1.67    1.17
 2033    1.26    1.84    1.13    1.03    1.05
 2034    1.52    1.61    1.44    1.64    1.38
 2035    0.90    0.65    0.32    0.97    1.68
 2036    1.81    1.22    1.61    2.17    2.24
 2037    1.08    1.24    1.06    1.19    0.82
 2038    1.27    1.27    1.01    0.81    1.99
 2039    1.15    0.56    0.73    1.31    1.98
