Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    76.28    0.33   43.93  253.97    6.88
1962    68.35    0.87   30.06  204.42   38.05
1963    74.87    0.35   25.30  216.35   57.48
1964    77.99    1.00   41.68  263.98    5.30
1965    78.15    1.33   37.03  236.45   37.80
1966    82.92    0.29   55.80  199.16   76.41
1967    79.62    0.29   38.54  236.20   43.44
1968    49.59    2.85   19.69  152.50   23.33
1969    86.87    0.30   17.46  271.56   58.15
1970    49.07    0.29   22.34  166.72    6.94
1971    64.39    0.49   25.32  220.17   11.56
1972    41.71    0.41   30.28  117.08   19.07
1973    51.24    0.29   31.57  166.94    6.17
1974    58.42    0.43    9.11  208.07   16.08
1975    71.50    0.29   18.61  253.59   13.50
1976    59.99    1.61   34.03  176.11   28.21
1977    38.93    0.29   17.55  131.07    6.80
1978    58.72    0.32   33.46  173.13   27.95
1979    56.07    0.52   49.64  153.46   20.64
1980    46.26    1.60   16.32  148.64   18.50
1981    60.38    0.86   32.94  194.68   13.03
1982    50.17    0.32   19.32  156.45   24.61
1983    35.99    1.97   27.18  109.84    4.96
1984    45.72    0.28   50.69  117.73   14.18
1985    55.38    0.53   16.71  196.67    7.59
1986    54.52    0.71   13.84  191.53   12.00
1987    58.86    0.48   25.78  187.25   21.94
1988    69.10    1.13   31.73  233.95    9.61
1989    70.25    0.32   52.14  211.18   17.35
1990    51.82    0.61   25.49  157.41   23.78
1991    50.27    0.29   19.66  153.16   27.96
1992    46.50    1.20   33.00  137.01   14.78
1993    49.38    0.61   18.54  168.36   10.01
1994    61.85    0.29   20.20  201.84   25.09
1995    60.20    0.63   28.13  197.41   14.62
1996    57.44    0.62   26.91  179.50   22.74
1997    53.74    0.35   50.54  152.22   11.86
1998    54.67    0.30    9.99  202.20    6.17
1999    73.95    0.31   17.20  226.56   51.74
2000    64.47    0.33   21.14  202.19   34.23
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
