Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    27.75   26.09   30.88   27.77   26.26
1962    27.82   26.60   30.11   27.80   26.78
1963    27.87   27.22   30.34   28.06   25.86
1964    27.78   26.79   30.46   27.55   26.33
1965    27.35   25.58   30.01   27.67   26.12
1966    27.80   26.40   30.35   28.10   26.35
1967    27.13   25.80   29.73   27.40   25.61
1968    27.44   25.20   29.33   28.04   27.20
1969    28.42   27.98   31.44   27.76   26.52
1970    28.19   26.93   30.84   27.73   27.27
1971    27.32   25.80   29.99   27.22   26.27
1972    27.66   25.77   29.52   28.40   26.93
1973    27.94   26.49   30.74   28.00   26.53
1974    27.09   25.52   29.71   27.31   25.81
1975    27.19   25.75   29.90   27.11   26.01
1976    27.20   25.19   29.64   27.81   26.17
1977    28.10   27.01   30.28   28.12   26.98
1978    27.68   26.71   30.09   27.67   26.26
1979    28.17   26.79   30.46   28.22   27.18
1980    27.95   26.57   30.70   28.02   26.51
1981    27.98   26.43   30.71   27.83   26.95
1982    27.45   25.67   30.03   28.05   26.06
1983    28.49   27.29   30.58   28.66   27.40
1984    27.89   26.13   30.42   28.29   26.71
1985    27.69   26.59   29.90   27.56   26.71
1986    27.51   25.48   30.68   27.74   26.14
1987    28.35   26.45   31.11   28.63   27.20
1988    27.85   26.48   30.80   27.75   26.38
1989    27.84   26.33   30.12   27.81   27.09
1990    28.39   27.18   30.77   28.23   27.36
1991    27.96   26.38   30.16   27.99   27.32
1992    28.05   26.55   30.33   28.19   27.13
1993    28.19   26.75   31.08   28.14   26.80
1994    27.81   26.23   30.41   27.74   26.84
1995    28.13   26.34   30.53   28.27   27.38
1996    28.44   27.36   30.71   28.37   27.33
1997    28.55   27.57   30.56   28.60   27.49
1998    28.78   28.12   31.57   27.98   27.45
1999    27.83   25.87   30.56   27.86   27.05
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
