Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         24.50     3.95     8.29    24.31    10.84
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      5.04    -0.37    -0.65     5.24    -1.58
1962     17.62    -1.48     0.93    17.77    -1.64
1963      3.78     0.22     0.08     3.95     1.74
1964     -6.19    -0.93     0.71    -6.26    -0.36
1965      2.93    -0.35     0.98     2.46    -1.23
1966     -4.54     0.09    -1.11    -4.35    -0.05
1967      5.79     0.89     7.42     5.25    12.91
1968     -8.64     1.64    -0.75    -8.62     1.94
1969     -0.22    -1.04    -1.23    -0.08    -1.28
1970     -2.59     0.25     1.70    -2.40    -2.45
1971     -2.60    -0.99    -1.95    -2.41    -0.78
1972     12.11     0.49     0.00    12.31    -2.41
1973    -10.02    -0.09     0.07   -10.08     2.35
1974     13.22     0.93    -0.16    13.24     3.00
1975     19.34    -0.02     0.64    19.48    -0.35
1976    -10.59     0.18    -1.08   -10.46    -1.69
1977     -6.45     1.01     1.63    -6.25    -0.90
1978     -5.38     0.03    -0.25    -5.19     0.57
1979     -8.01     0.58    -2.10    -7.87    -1.90
1980     -4.47    -0.46    -0.42    -4.44     4.14
1981     -8.92    -0.40     1.85    -8.83     0.72
1982      1.11     0.53    -0.69     1.30    -0.91
1983     -9.55     0.22    -1.24    -9.95     1.10
1984     -4.29     0.19     1.38    -4.24    -0.40
1985     -3.74     0.64    -1.98    -6.40     4.16
1986     -1.50    -0.32    -0.21    -1.36    -1.31
1987     12.59     1.33    -0.94    12.76     1.22
1988      3.12     0.16     1.32     3.22    -0.19
1989     -7.50    -0.93    -1.63    -7.30    -1.44
1990     15.40    -0.50     0.77    15.59    -1.38
1991     -4.08    -0.92    -0.39    -3.88    -1.54
1992     -6.98    -0.97     2.98    -7.19    -0.09
1993     -1.32     0.35     1.16    -1.38    -1.26
1994      4.77    -0.29     0.86     4.56     1.17
1995     -3.74    -0.23     0.43    -3.55     0.31
1996      1.38     0.12    -1.52     1.58    -1.96
1997     13.44    -0.64     1.01    13.64     2.07
