Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         19.83     4.73    13.56    18.88    10.01
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      3.90    -0.65     6.51    -1.61     1.16
1962     -0.94    -0.96    -0.15    -0.34     0.61
1963     -3.79    -2.20    -3.58    -2.88    -0.59
1964      0.91    -0.14    -1.44     1.73     1.43
1965      0.06    -0.50    -0.11     0.51    -0.12
1966      1.57    -0.98    -0.52     2.38     1.52
1967     -3.26     0.10    -2.26    -2.66    -2.33
1968     -0.75    -0.66    -2.61    -0.06     1.07
1969     -0.90    -1.37    -3.65    -1.30     0.15
1970     -1.61     0.81     1.78    -1.58    -0.52
1971     -2.36    -0.47    -0.63    -2.04    -1.72
1972     -0.95    -0.42    -3.55    -0.27    -0.02
1973     -0.23    -0.42    -2.05     0.64     2.59
1974      0.76    -0.75     3.75    -0.72     1.33
1975      1.11    -0.75     0.95     1.34    -0.03
1976      2.99     0.03    -0.47     3.92     0.48
1977      0.33     0.45    -0.90    -1.06     1.18
1978     -0.19     7.38     1.00    -1.36    -0.62
1979      0.01    -1.13    -1.25     0.75    -2.03
1980      1.47     0.73     2.91     2.35     0.14
1981      1.35    -1.96    -3.32     2.29    -0.98
1982      0.75    -0.12    -2.12     1.67     0.13
1983     -2.38     0.03     2.24    -3.81     2.83
1984      1.60    -0.30     4.89    -1.22    -1.22
1985     -0.36     0.80     2.03     0.12     0.33
1986     -1.12    -0.81    -0.15    -0.67     0.08
1987     -0.15     0.49     0.26    -0.47    -0.33
1988     -0.47    -0.32    -0.29     0.29    -2.65
1989     -1.67     0.92    -0.93    -1.90     0.98
1990      1.57    -0.70    -0.20     2.52    -0.53
1991      3.25    -0.58     0.98     3.35     1.77
1992     -4.89    -1.23    -3.02    -4.52    -0.34
1993     -0.16    -0.91     3.91    -2.43     1.40
1994      0.57    -0.31    -3.55     1.49    -0.07
1995      0.21    -0.83     1.55    -1.14    -1.32
1996     -0.06     1.02     0.13     0.27    -0.98
1997     -0.89    -0.99     0.73    -1.08     2.10
1998     -0.84    -0.06    -2.94     0.05    -1.33
1999      2.35     0.40    -1.73     3.17    -0.61
2000     -1.29    -0.44    -0.43    -1.07    -0.38
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
