Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.01    10.01    10.00     9.93    10.00
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     16.96    15.32    23.74     9.70    24.23
1962     16.17    25.86     7.24    28.91    23.02
1963     22.89    33.71    43.89    45.13    27.76
1964     14.87    15.35    30.13    12.62    11.15
1965     15.72     7.71    21.46    21.82    21.31
1966     17.24    20.88    13.01    26.85    10.67
1967     14.90     5.45    18.03    21.55    14.53
1968     18.44    20.38    27.24    21.59    12.53
1969     17.76    18.94    25.03    16.20    18.35
1970      9.55     2.03     7.73    12.67    21.17
1971      8.92     8.53     5.87    19.77     8.32
1972     15.25    12.99    36.37    17.62    14.77
1973     14.86    14.97    16.38    12.15    18.24
1974     20.29    19.63    14.87    18.68    19.85
1975     14.13    21.81     4.66    12.27    13.36
1976     15.76    11.73    49.30    16.44    14.93
1977      6.21     2.97     2.83     6.80     8.15
1978      9.20    14.44     4.78     7.77     3.44
1979     11.75    13.68     6.59    20.68    27.60
1980     12.87    14.88    15.40     9.32     3.34
1981      9.17     5.76     5.08     3.26     5.81
1982      9.13     4.79     2.77     7.78    12.99
1983      8.17     3.79     5.86     7.08     8.44
1984     11.31    16.26     4.35     2.31    17.78
1985     12.74    13.63    19.83     8.73    13.60
1986     11.17     6.41     5.30    11.76     6.43
1987      8.97    10.86     8.55     3.07     1.81
1988      4.27     4.95     4.94     8.74     2.17
1989      6.05    12.19     3.80     6.48     4.60
1990      6.32     0.00     1.96     3.76    13.31
1991     10.20    13.31     3.01     6.26     4.23
1992     11.65    12.80    22.00    18.62     1.98
1993      7.14     8.86     3.14     5.14     0.12
1994      8.09     0.45     3.43     0.59     8.39
1995     13.57    13.15    25.10    13.14     8.68
1996      7.01    16.87     7.03     3.90     1.44
1997      5.55     6.75     1.97     2.50     9.81
1998      4.23     0.39     4.00     9.74     6.85
1999      6.80    11.36     3.15    20.83    18.43
2000      2.87     9.75     1.27    23.12     4.33
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.78     0.00     0.12     0.01     6.21
2047      5.80     6.55     2.21     0.22     3.60
2048      3.67     3.00     0.43     0.44     5.54
2049      0.85     0.31     0.00     0.08     0.24
2050      2.90     0.13     0.28     0.46     6.04
2051      0.92     0.32     0.00     0.15     0.00
2052      0.93     1.98     0.01     0.63     0.00
2053      0.01     0.00     0.00     0.68     0.00
2054      0.07     0.00     0.03     0.00     0.00
2055      0.02     0.00     0.04     0.12     0.00
2056      0.09     0.00     0.00     0.00     0.00
2057      0.00     0.00     0.75     1.76     0.00
2058      0.69     0.01     0.47     1.47     0.21
2059      0.00     0.00     0.03     0.04     0.00
2060      1.99     0.00     0.00     0.10     3.85
2061      1.24     0.90     0.27     0.25     2.87
2062      0.10     0.00     0.30     0.16     0.00
2063      0.83     1.99     0.01     0.09     0.00
2064      0.30     0.16     0.05     0.05     0.41
2065      0.04     0.00     0.12     0.08     0.00
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.02     0.00     0.00     0.00     0.00
2082      0.00     0.00     0.00     0.00     0.00
2083      0.00     0.00     0.00     0.00     0.00
2084      0.00     0.00     0.00     0.00     0.00
2085      0.00     0.00     0.00     0.00     0.00
2086      0.00     0.00     0.00     0.00     0.00
2087      0.00     0.00     0.00     0.00     0.00
2088      0.00     0.00     0.00     0.00     0.00
2089      0.00     0.00     0.00     0.00     0.00
2090      0.02     0.00     0.00     0.00     0.00
2091      0.00     0.00     0.00     0.00     0.00
2092      0.00     0.00     0.00     0.00     0.00
2093      0.00     0.00     0.00     0.00     0.00
2094      0.00     0.00     0.00     0.00     0.00
2095      0.00     0.00     0.00     0.00     0.00
2096      0.00     0.00     0.00     0.00     0.00
2097      0.00     0.00     0.00     0.00     0.00
2098      0.00     0.00     0.00     0.00     0.00
2099      0.00     0.00     0.00     0.00     0.00
2100      0.00     0.00     0.00     0.00     0.00
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.20     0.00     0.41     0.00     0.22
2047      1.91     0.00     1.12     0.34     0.30
2048      1.08     0.55     0.20     0.32     0.57
2049      0.52     0.11     0.00     0.42     0.00
2050      0.10     0.12     0.00     0.49     0.00
2051      0.06     0.00     0.21     0.43     0.16
2052      0.17     0.02     0.24     0.86     0.00
2053      0.40     0.00     0.29     0.27     0.00
2054      0.01     0.00     0.01     0.00     0.00
2055      0.00     0.00     0.15     0.00     0.00
2056      1.14     0.00     0.05     0.25     1.35
2057      0.00     0.00     0.91     0.04     0.00
2058      0.28     0.00     0.89     0.00     0.01
2059      0.00     0.00     0.00     1.10     0.00
2060      1.21     1.97     0.00     0.27     0.00
2061      0.10     0.00     0.09     0.00     0.00
2062      0.00     0.00     0.10     0.49     0.00
2063      2.24     0.06     0.06     0.12     5.30
2064      0.59     1.40     0.73     0.07     0.03
2065      0.03     0.00     0.00     0.02     0.01
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.25     0.00     0.00     0.00     0.33
2082      0.51     0.23     0.87     0.22     0.01
2083      0.04     0.00     0.00     0.00     0.00
2084      0.60     0.00     0.21     0.00     0.00
2085      0.16     0.03     0.00     0.00     0.00
2086      0.08     0.00     0.00     0.48     0.00
2087      0.41     0.82     0.00     0.00     0.00
2088      0.44     0.00     0.00     0.00     1.45
2089      0.00     0.00     0.38     0.04     0.00
2090      0.00     0.00     0.00     0.00     0.00
2091      0.40     0.00     0.00     0.21     0.26
2092      0.33     0.30     0.00     0.00     0.00
2093      0.00     0.00     0.00     0.00     0.00
2094      0.00     0.00     0.00     0.00     0.00
2095      0.00     0.00     0.00     0.00     0.00
2096      0.77     1.19     0.00     0.00     0.76
2097      0.06     0.00     0.00     0.03     0.00
2098      0.00     0.00     0.00     0.00     0.03
2099      0.64     0.00     0.00     0.00     0.52
2100      0.00     0.00     0.03     0.00     0.00
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.59     0.00     1.53     0.84     5.49
2047      5.27     3.76     4.97     0.61     3.08
2048      5.35     2.93     2.77     0.69     0.65
2049      1.81     1.25     1.38     1.07     1.87
2050      4.46     1.91     1.39     5.74     0.01
2051      1.11     0.00     1.30     0.73     2.96
2052      2.29     0.08     0.50     0.70     3.87
2053      7.67     4.83     1.78     3.62     8.56
2054      4.37     3.18     1.17     2.13     2.67
2055      2.03     1.18     0.08     0.46     1.48
2056      2.92     0.27     3.71     0.64     0.00
2057      1.35     0.00     0.12     0.23     0.03
2058      4.77     1.14     0.30     2.36     4.23
2059      2.20     1.21     0.97     0.01     0.00
