Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     14.60    19.63    19.75     9.90    13.72
1962     17.02    22.06    13.50    29.53    19.81
1963     10.92    17.38    18.48     7.71     9.97
1964     12.93    13.31    14.87     8.85     5.41
1965     15.39    10.23    25.70    21.20     7.33
1966      9.80     5.90    10.28    11.73    20.07
1967     19.13    10.75    25.53    22.09    16.66
1968     10.93    12.11    12.80     7.21     7.93
1969     30.48    27.68    64.51    21.23    16.46
1970     16.61    14.80    30.46    15.57    13.45
1971     13.89    20.09    11.96    23.53    13.46
1972      7.87     8.77    11.84     9.55    10.02
1973     11.85    18.21    11.96    14.46    10.12
1974     15.06    10.81    19.50    19.41    23.48
1975     22.07    32.57    24.35    15.33    13.67
1976     17.08    15.44    17.43    12.90    26.41
1977     11.88    19.64    10.37    22.46    14.29
1978     16.43    11.65    19.54    23.11    14.94
1979     11.26    14.61    13.68    13.14    11.30
1980     13.34    22.45    14.41    12.62    19.05
1981     18.30    24.63    17.67    32.35    23.07
1982     17.19    25.76    21.28    16.32     9.59
1983     11.40    17.19    11.30    35.59    17.49
1984     23.15    34.02    26.97    24.16    17.65
1985     13.72    26.12    10.81    17.10    11.83
1986     11.66    15.97    13.79    10.90    16.80
1987     26.55    24.74    51.42    24.68    23.41
1988     20.50    21.03    36.14    36.30    23.39
1989     20.43    24.03    28.99    30.65    27.25
1990     25.59    34.37    23.69    52.33    55.76
1991     29.43    55.38    58.34    30.33    18.08
1992     19.34    22.26    29.31    19.21    14.17
1993     25.65    36.55    20.67    46.95    40.85
1994     31.18    32.77    49.51    33.57    27.18
1995     22.12    24.58    26.74    35.80    41.91
1996     19.49    23.70    23.47    21.65    28.43
1997     23.44    26.09    34.76    57.16    44.66
1998     24.13    36.08    46.94    29.20    37.14
1999     28.92    28.36    27.63    57.54    27.16
2000     28.97    33.13    50.62    70.52    46.52
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     75.29    66.57    86.63    95.10    81.39
2047     67.91    69.99    86.43    97.42    78.63
2048     78.30    75.92    89.52    97.06    78.81
2049     74.98    72.86    95.28    96.68    80.00
2050     77.71    75.88    98.46    99.22    82.20
2051     76.92    73.34    91.93    96.05    82.19
2052     75.99    79.64    95.97    98.25    84.39
2053     80.41    84.12    93.44    97.51    88.58
2054     75.06    82.44    96.43    97.44    85.10
2055     81.76    80.10    92.53    97.43    87.97
2056     81.68    86.80    90.85    99.72    90.96
2057     80.98    85.12    91.79    99.43    88.30
2058     86.34    87.47    99.09   100.00    85.99
2059     79.54    87.54    93.94    97.98    83.42
2060     79.69    73.21    91.43    99.99    93.66
2061     85.64    96.82    98.76    99.84    86.36
2062     80.78    88.33    93.78    99.30    89.91
2063     83.85    89.06    97.67    99.89    92.44
2064     83.69    88.93    95.08    99.71    82.96
2065     82.04    79.19    95.19    99.17    91.73
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
