Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.97    10.06     9.95    10.02     9.92
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.96    14.61     1.65     0.01     0.29
1962      2.51     0.58     1.00     0.41     2.62
1963      0.81     0.01     0.01     0.39     0.73
1964      1.08     1.35     0.45     0.00     0.41
1965      0.16     1.32     0.14     0.00     0.44
1966      1.84     3.44     1.43     0.00     0.11
1967      4.07     2.23     1.63     9.82    10.39
1968      2.97     3.54     2.02     0.10     0.64
1969      9.37     6.66    11.15     0.57     1.90
1970      0.32     2.56     0.01     0.00     0.11
1971      5.06     2.77     0.18    23.53    13.46
1972      5.75     8.77     4.70     0.90     1.22
1973      1.80     1.69     0.20     2.97     3.03
1974      6.98     2.33    10.69     0.01     0.58
1975      5.44     2.75     3.84     2.67     0.94
1976      4.65     2.67     2.77     0.12     0.40
1977      8.16     6.57     4.10    22.46     8.28
1978      3.93     2.11     0.46     2.23     6.64
1979      2.06     3.08     0.15     0.38     4.30
1980     12.61    22.45    14.04     4.13     8.03
1981     15.35     5.71     8.60    32.35    23.07
1982     14.72    25.76    21.28     9.70     5.22
1983      6.33     2.18     6.72     1.48     5.79
1984      6.71     3.44     3.62     2.96    10.03
1985     10.96    26.12     2.98    10.10    11.47
1986     10.20     7.47    13.79     0.33     1.68
1987      3.69     4.05     2.62     3.44     5.23
1988     15.23     6.96    10.56    32.46    23.39
1989     13.19    24.03    24.27     0.53     2.35
1990     22.14     0.95     7.09    43.90    55.76
1991     29.43    55.38    58.34    11.63     4.79
1992      5.11     5.09     3.29     0.72     4.14
1993     16.36     5.03     7.00    46.95    24.80
1994     20.35    18.35    42.10    13.51     7.71
1995      5.52     1.60     0.21     9.42    19.63
1996      9.57    17.56     9.67     0.29     1.90
1997      9.40     5.54     6.33     1.11    13.41
1998     20.91    13.47    25.02    13.33    23.03
1999      7.08    15.35     4.01     6.95     7.14
2000     23.96     6.58    12.38    70.52    46.52
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
