Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.01     9.95     9.99    10.02     9.99
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      3.38     3.57     1.70     4.22     0.78
1962      5.86     1.88    13.17     0.72     0.34
1963      3.82     3.53     1.83     2.12     1.91
1964      3.57     4.96     2.82     1.25     2.14
1965      5.24     6.30     7.60     1.27     0.09
1966      4.45     3.12     3.42     3.05     3.14
1967      1.89     3.55     0.65     3.37     0.96
1968      4.69     4.71     4.07     2.58     4.13
1969      5.33     7.56     1.09     5.33     2.67
1970      4.20     2.44     1.32     3.21     4.33
1971      4.37     3.81     3.66     2.12     0.02
1972      2.38     1.48     2.32     2.82     7.27
1973      6.09     7.32     6.13     3.50     2.00
1974      3.15     5.23     0.77     4.25     3.78
1975      4.68     4.70     6.12     3.78     6.10
1976      7.30     5.15    11.39     5.93     3.83
1977      5.50     5.68     5.94     5.04     4.13
1978      8.05     8.77     9.68     4.45    10.84
1979      6.80     6.03     6.86     6.43     6.33
1980      7.70     9.23     4.04     5.21     3.43
1981      7.53     7.16     5.13     4.41    16.22
1982     14.21     9.56     9.95    16.73     7.14
1983      9.80    13.23     6.51     9.72     3.96
1984      8.28     3.59    10.61     5.50     5.34
1985      6.08     2.83     3.99     6.96     9.18
1986      7.23     4.89    11.20     3.64     4.37
1987     11.79    10.21    13.24    21.02     7.31
1988     12.75    15.45    11.30    13.94    18.51
1989     15.97    12.50    20.67    13.31    23.29
1990     15.58    19.11    16.05    15.15     2.38
1991      8.17    10.47     4.17    11.70    12.62
1992     19.30    20.91    23.10    16.65    16.02
1993     10.40    12.37     7.77    13.09     6.04
1994     12.58    16.34    10.43    15.33    19.49
1995     17.63    23.66    14.97    23.56    20.18
1996     16.96    20.19    17.64    15.84    16.90
1997     15.79    17.05    19.32    13.66    19.17
1998     14.35    13.44    17.60    16.44    14.04
1999     15.67     5.81    17.90    17.14    25.44
2000     24.26    26.62    37.64    28.71    10.21
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
