Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99    10.00    10.01     9.99    10.02
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     15.26     9.45    22.38    11.68    18.76
1962     12.41    15.97     8.70     1.71     5.71
1963      2.22     0.38     0.59     0.28     9.62
1964      6.96     9.93     1.67     2.90     3.07
1965      5.44     5.89     2.05     1.87     7.78
1966      9.43     7.04     8.48     9.85     8.18
1967     13.10     9.04    20.07     8.46     2.94
1968      2.88     1.32     2.44     0.13     1.77
1969      4.87     3.00     4.14     1.91     3.90
1970     18.11    12.70    35.02    15.11     1.45
1971      1.82     1.25     0.79     3.33     1.31
1972      3.12     1.07     1.52     1.46     4.37
1973      2.35     1.48     1.27     1.28     3.45
1974      9.90     5.06     9.99     8.30    11.65
1975     21.27    28.44    24.15    13.04     7.90
1976      2.54     1.65     0.47     1.13     7.22
1977      3.56     2.43     1.18     4.18    16.24
1978     10.89     8.04    16.56     5.13     3.67
1979      5.18     3.78     2.65     3.73    14.77
1980      6.20     4.52     3.07     1.04     2.92
1981      5.65     5.91     3.22     1.98     5.01
1982     10.58     9.13    12.02     2.96     4.25
1983     12.97     8.95    17.50    34.08    18.50
1984     19.13    27.75    18.52    13.67    11.92
1985     11.99    13.13    11.50     4.89     1.97
1986      3.03     1.27     1.33     4.33     8.34
1987     12.20    17.23     8.64    12.19    16.18
1988      9.63     5.38    13.29    21.67    10.73
1989      6.10     8.15     1.34     0.29    11.64
1990      8.73     5.81     9.27     5.99    17.65
1991     13.42     9.65    14.45    14.10    17.48
1992     12.90    11.22    13.07     7.29     6.15
1993      5.54     3.66     1.03     6.30    12.86
1994     14.83    22.12    14.62    26.70    12.78
1995     13.09    17.14     8.50     2.72     7.48
1996      4.75     2.35     3.23     8.34    16.38
1997     21.08    18.19    26.98    41.90    14.45
1998     15.73    17.14    20.11    24.05    21.64
1999     13.40    25.48     5.00     8.42    10.11
2000      5.84     3.90     3.08     1.08     3.76
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     31.20    42.28    49.30    39.85    30.36
2047     29.92    36.70    41.86    35.14    43.35
2048     43.49    52.82    74.44    50.10    59.20
2049     35.59    52.43    49.66    26.82    43.90
2050     25.86    40.04    22.84    22.09    44.33
2051     33.68    46.52    34.01    51.06    50.53
2052     42.92    64.31    76.40    55.31    46.07
2053     26.73    26.68    28.77    27.64    50.58
2054     24.77    30.15    24.13    23.08    36.77
2055     39.85    51.87    58.12    46.37    53.28
2056     45.95    69.57    73.58    50.48    53.79
2057     24.01    41.08    18.66     5.78    19.59
2058     30.46    28.27    41.08    34.10    51.80
2059     29.91    51.60    33.91    42.19    37.56
2060     31.33    42.82    44.01    33.47    38.09
2061     42.73    55.46    77.78    57.04    47.31
2062     33.49    40.87    42.18    41.22    46.56
2063     40.21    56.11    54.77    65.87    63.33
2064     58.21    69.56    90.18    75.10    76.54
2065     48.57    73.05    76.93    32.57    61.94
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     64.32    90.66    90.23    80.43    76.53
2082     53.63    79.06    80.58    58.71    77.24
2083     58.31    74.75    91.47    77.91    78.30
2084     63.07    84.06    89.47    65.34    86.78
2085     70.13    86.79    90.82    82.90    89.75
2086     70.92    93.81    97.19    81.73    87.10
2087     60.87    78.60    87.34    70.66    84.78
2088     63.68    90.02    93.79    76.86    79.59
2089     53.49    77.04    77.67    54.36    75.66
2090     61.23    79.96    82.08    74.48    83.94
2091     69.14    78.24    90.95    85.33    87.93
2092     72.88    99.76    91.33    83.98    90.02
2093     61.86    87.89    75.10    69.39    87.24
2094     72.52    84.49    96.37    92.77    86.63
2095     69.89    81.58    92.04    87.20    91.77
2096     65.80    87.40    92.65    80.74    84.67
2097     64.57    85.79    94.06    76.42    85.55
2098     61.13    82.93    79.63    81.87    78.69
2099     62.79    86.37    93.65    71.35    77.99
2100     61.82    81.23    88.07    76.90    84.06
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
