Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        164.2    10.0   168.1   312.7    65.1
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -9.38   -5.92  -29.40   -0.52   -3.47
 1961   -4.58    1.70   24.92  -16.24  -22.72
 1962    2.47    7.35    1.35    4.35   -2.15
 1963   -0.19   -9.12   35.21  -10.17  -16.31
 1964   -4.46   -5.13   -8.91    5.77  -13.20
 1965   -4.77   -6.07  -11.71   -1.14   -1.80
 1966   16.01    1.25   10.87   29.29   13.28
 1967  -13.82   -7.16  -40.09    6.64  -19.28
 1968   16.68   -4.23  -12.98   36.56   33.76
 1969  -13.33   -9.27  -63.38   25.26  -17.46
 1970    6.62    1.11   -9.70   27.62   -1.38
 1971   -1.11   -6.76   21.91  -18.95    3.43
 1972  -13.41   -8.91  -29.09  -17.52    4.76
 1973   -1.71   -3.05    0.99    6.45  -14.40
 1974  -15.60   -1.66  -40.44    1.37  -22.69
 1975   -1.10    7.22  -33.98   38.18  -26.14
 1976   -9.22    6.31   -9.28   -6.45  -23.21
 1977   24.97   24.45   18.03   29.31   26.46
 1978  -16.61   -9.70  -20.05  -23.99   -7.93
 1979   -1.30    0.36  -18.27  -14.50   32.17
 1980  -26.65   -3.71  -50.60  -24.31  -21.13
 1981   16.58   -9.09   21.58   27.12   14.66
 1982    2.20   -9.05   14.60    9.22  -12.05
 1983   16.16   26.43   11.57   41.55  -19.97
 1984   -0.67   -5.43   11.52   12.90  -27.79
 1985  -10.50   -3.28  -44.11    0.22    4.00
 1986   13.46   -0.23   23.12  -21.17   59.13
 1987  -13.33   -2.75  -39.54  -16.61   10.22
 1988    5.85   -4.69   36.29  -18.18   14.46
 1989    6.55   -0.39   29.02  -10.88   11.96
 1990   -2.78   28.15    6.62  -29.03    2.21
 1991    2.97    2.81   32.11   -9.98   -8.81
 1992   13.46   -3.77   42.56    7.67    3.58
 1993    7.53   22.30   -8.99   11.64    8.75
 1994   12.06   -8.68   48.67    3.88    0.21
 1995  -11.02   -8.68   16.21  -36.79   -5.42
 1996    8.59   -6.52    9.09   26.92   -6.26
 1997   -2.34   -7.92   16.93  -22.79    9.37
 1998   -4.64   -9.66  -29.64    9.31    5.10
 1999   -5.03   -5.19  -27.11   17.80  -13.26
 2000   11.49   -7.30  -32.17   45.17   22.79
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001  -11.56   -8.45  -46.70   -1.31    7.86
 2002   16.71   -6.17   52.65    0.75   17.29
 2003    3.00   -5.12   -3.58   -3.53   23.71
 2004   -8.65    2.63  -30.45  -13.61   12.24
 2005   -2.56   -4.03   48.29  -48.37    8.67
 2006   -3.05   -7.17    9.32   -6.39   -8.21
 2007  -12.09   -9.68  -56.39    7.72    4.19
 2008    1.56    7.34    6.06   10.61  -18.87
 2009  -12.15   -7.79  -49.38   -8.90   17.85
 2010    0.24   -9.09    5.62    5.95   -6.53
 2011   11.70    7.29   -8.27   55.12  -23.29
 2012    7.13   10.08   12.61    3.56    4.46
 2013   -7.04   -6.96  -16.12    2.87  -11.21
 2014    5.67   24.24  -33.93   23.70    8.83
 2015    5.34    3.52   79.42  -38.66   -8.86
 2016    8.21   23.36  -10.25   36.66  -21.36
 2017   -9.66    3.43   58.24  -71.02   -4.48
 2018   12.77    8.77    9.53  -10.60   49.84
 2019    4.17   -8.72   22.66  -18.09   23.96
 2020   18.15   10.44   45.95   -5.22   26.65
 2021    9.32   -9.17   36.28   11.39   -8.06
 2022   -4.57   -5.94   23.15  -11.32  -22.39
 2023   19.16    3.74   90.86  -16.74    5.60
 2024    9.07   -4.23    6.27   24.13    0.67
 2025    2.50   -9.64  -37.78   43.70   -4.07
 2026   -0.78   -7.59  -26.12   11.51   12.70
 2027   15.97   -6.60   35.27   20.44    5.76
 2028  -10.93   -7.91  -33.10  -10.35    8.47
 2029   15.58   -8.86   35.00   39.87  -19.93
 2030    0.53   -1.58    8.83    5.63  -13.18
 2031   -2.65   -6.98   22.79  -17.05   -6.02
 2032    4.75   -7.19   32.71   -9.89    4.27
 2033    6.82   -6.39   42.22    5.55  -18.09
 2034   -2.48   -2.46  -39.92   17.50    8.31
 2035   15.74   -1.44   66.97    6.22  -11.36
 2036  -19.97   -8.08   -3.66  -37.12  -21.34
 2037    4.97    3.50   39.44   -4.72  -15.58
 2038   -1.24   -8.29   31.98  -22.68   -1.16
 2039   -0.92   -0.43  -40.25   26.44    1.61
 2040   -0.80   -6.02   30.49  -18.12   -5.50
 2041   -9.56    1.48   -1.70  -20.57  -10.12
 2042  -25.02   -9.65  -38.69  -27.69  -18.02
 2043    7.53   -5.52  -31.01   36.08   16.73
 2044   -8.99    3.05  -23.66  -15.41    6.22
 2045    9.73   -9.91   24.32   20.39   -6.00
 2046    8.65   -4.01   42.68   -1.49   -3.43
 2047   20.39   -4.91   58.79   30.91  -15.16
 2048    2.44   -5.21   -7.87    8.83    9.31
 2049   -4.30   -9.86  -21.25    6.79    1.58
 2050   13.80   -2.38   39.87    6.12    8.76
 2051    9.30    0.04   51.74   -1.36  -12.76
 2052  -13.34   -8.15   20.58  -27.66  -31.65
 2053   17.87   -2.62   38.68   15.11   14.40
 2054   -0.71   -0.56  -28.23   14.29    6.70
 2055    0.90   -8.38  -22.68   24.95   -1.41
 2056   14.01   -9.81  -22.72   72.84  -11.81
 2057    5.26   -6.27    2.56   26.74  -12.99
 2058   -3.67   -9.59   31.67  -32.75    3.70
 2059   21.48    0.34   22.16   64.73  -22.79
 2060   -6.43   -9.34   -2.42  -28.27   20.60
 2061   -1.23   -8.45   -4.21   16.24  -16.73
 2062   22.86   21.57   43.21   31.46   -8.10
 2063   -9.11   -9.09  -56.27   -3.57   30.64
 2064   13.53   -9.58  -22.35   54.83    9.74
 2065   -3.27   -7.35  -70.00   31.07   20.38
 2066  -25.53   -9.42   15.60  -74.12  -12.63
 2067   16.00   -9.65   -1.42   64.83  -14.59
 2068   -1.77    0.82   40.85  -28.17  -10.92
 2069    3.82   -7.60   21.12    6.91   -9.98
 2070   -4.65   -4.03   23.37  -19.71  -12.99
 2071    6.75   -9.65  -39.22   51.08    4.53
 2072    3.36   -0.68   19.93   -2.96   -2.09
 2073   12.80   -9.80  -24.78   79.92  -24.04
 2074    3.97   -8.85   59.38  -30.25    2.73
 2075    2.13   -8.72   35.31   -8.34   -9.83
 2076   15.49   -8.74   33.57    1.10   32.75
 2077    2.76   -4.04   -4.60    8.04    7.59
 2078   -7.79   -5.50   49.15  -53.07   -5.89
 2079    3.25   -9.54   29.68  -12.15    5.88
 2080   -7.72   -5.11   -0.15  -26.02    7.36
 2081    2.14   -6.07  -23.60   31.72   -6.08
 2082   -1.65   -9.56   26.74  -13.94   -8.37
 2083   -4.18   -9.35   -9.95   -7.57    9.57
 2084    3.83   -0.40  -22.84   37.72  -11.89
 2085  -19.35   -7.25  -31.15  -34.26    4.25
 2086  -10.63   -9.73    2.04  -18.61  -13.27
 2087   -6.31    0.18   -5.80   -4.73  -13.26
 2088   12.15   -9.88   -6.50   52.15   -7.87
 2089   -2.45   -9.26  -42.51   -4.85   45.34
 2090  -15.23   -7.58  -36.75  -14.91    0.77
 2091    0.61   -9.31   62.92  -20.48  -26.95
 2092    5.96   -9.92    0.05   25.00   -2.95
 2093   20.53   -9.36   45.96   18.41   17.87
 2094    5.36   -9.83  -12.17    8.88   28.34
 2095   13.20   -8.48   29.24   22.45   -0.70
 2096   -1.00   -7.12    0.29   12.20  -15.80
 2097   -6.92   -3.27  -61.60   35.62  -11.38
 2098   14.93    1.78   -0.90   34.47   13.47
 2099   -5.08   -9.95  -32.68   17.90   -4.88
 2100   -1.42   -9.90  -33.63    7.56   24.45
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001  -18.57   -3.59  -37.68  -49.68   32.03
 2002  -24.33   -8.78  -41.95  -50.76   18.15
 2003   -5.14   -0.18   -6.34  -19.30   11.64
 2004   -3.61    9.68  -30.38    8.04   -1.23
 2005   19.90   -4.17   33.66   36.68   -0.20
 2006  -15.65   -7.10  -34.81  -10.09   -9.59
 2007    9.06   -9.37   63.92   -5.70  -13.84
 2008    6.61   -0.45    7.20   15.25   -0.82
 2009   10.40   14.44    0.61   22.23    1.72
 2010   15.43    3.20    6.50   45.78   -7.93
 2011   11.74   32.79    0.52   14.34    5.46
 2012   -0.15   -3.16   -5.15   19.00  -18.68
 2013  -15.28    4.71  -38.44   -7.34  -16.01
 2014  -12.73    1.37  -60.43   25.62  -25.57
 2015    1.08    9.11  -28.84   34.56  -18.99
 2016   21.65   -2.86   80.67   15.95  -13.42
 2017    1.38   19.58  -13.74   13.70  -12.05
 2018    6.13   -5.45   -6.71   36.22  -13.44
 2019   13.64   -0.99  -18.71   32.55   30.55
 2020    7.21    7.45    6.79    4.16   11.52
 2021    4.47   -9.44    0.51  -10.32   37.44
 2022   -6.27   -9.43   -4.40  -31.17   27.17
 2023    5.26   -4.89  -13.37   12.17   21.43
 2024  -12.41   11.14  -25.96  -34.01   14.25
 2025  -11.09   -5.36  -42.86   -5.74    9.72
 2026    5.24   12.26  -27.36    0.14   39.95
 2027   -0.99   -6.56  -11.77   19.66  -14.04
 2028   -0.56   -6.00   -1.19   -0.18    3.18
 2029   -2.58   -5.52   12.83    1.01  -20.81
 2030   -0.33   -6.61   42.15  -37.84   11.37
 2031   19.13   -4.93    0.63   70.31  -14.57
 2032    1.49   -5.15   43.46  -20.30   -7.02
 2033   30.09   -9.62   29.86   51.00   28.89
 2034    1.85   -8.81    4.76   -2.10   11.31
 2035   -0.56   -8.20   20.22  -15.54    3.71
 2036   -5.62   -6.06   36.66  -45.36    5.39
 2037    8.75   -9.89  -56.59   53.33   27.09
 2038   -7.68   -9.52  -48.36   28.13  -13.51
 2039    8.28    5.26   10.52   14.94   -0.83
 2040   -9.48    7.93  -23.11  -16.97    2.52
 2041   12.96   -5.26   39.89   15.52   -5.24
 2042  -29.20   -2.59  -92.83   -6.59  -13.45
 2043    0.63    2.45  -41.64   49.07  -22.90
 2044  -15.02   -9.61  -36.49    1.81  -19.59
 2045   10.83   17.04   46.39    8.81  -26.18
 2046   13.49    6.25    8.52   44.61  -18.22
