Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        24.27   24.23   25.56   23.31   24.30
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.44    0.92   -1.07   -0.56   -0.57
 1961   -0.17   -0.56   -0.52    0.18   -0.01
 1962   -0.05    0.24   -0.09   -0.15   -0.06
 1963   -0.43    0.06   -0.20   -0.56   -0.82
 1964   -0.31   -0.07   -0.37   -0.33   -0.41
 1965   -0.27   -0.15    0.21   -0.51   -0.51
 1966   -0.40   -0.45   -0.27   -0.45   -0.41
 1967   -0.03   -0.21    0.73   -0.07   -0.60
 1968   -0.19    0.07   -0.06   -0.43   -0.18
 1969   -0.33    0.44   -0.66   -0.59   -0.17
 1970   -0.05    0.39   -0.48   -0.12    0.19
 1971   -0.02   -0.02   -0.04    0.07   -0.11
 1972    0.16    0.76    0.01    0.20   -0.14
 1973   -0.26   -0.49    0.06   -0.30   -0.37
 1974   -0.68   -1.00   -0.16   -0.89   -0.71
 1975   -0.33   -0.76   -0.21   -0.35   -0.12
 1976    0.13    0.26    0.05    0.14    0.10
 1977   -0.15    0.23   -0.19   -0.27   -0.20
 1978    0.02   -0.58    0.31    0.03    0.10
 1979   -0.06    0.39   -0.40   -0.14    0.10
 1980   -0.26   -1.21    0.15   -0.18   -0.14
 1981   -0.19    0.05   -0.42   -0.37    0.10
 1982   -0.34   -0.51   -0.50   -0.18   -0.29
 1983    0.04    0.93   -0.22    0.18   -0.47
 1984   -0.02    0.39    0.15   -0.23   -0.20
 1985    0.19   -0.10    0.28    0.34    0.10
 1986    0.37   -0.36    0.60    0.42    0.57
 1987    0.35    1.22    0.12    0.41   -0.06
 1988    0.15    0.73   -0.22   -0.08    0.43
 1989    0.21    0.33   -0.06    0.57   -0.09
 1990    0.18    0.02    0.25    0.18    0.23
 1991   -0.26    0.07   -0.54   -0.33   -0.11
 1992    0.04    0.35   -0.46    0.18    0.13
 1993   -0.07   -0.15   -0.06   -0.12    0.05
 1994   -0.20    0.09   -0.19   -0.29   -0.30
 1995    0.03   -0.86    0.14    0.37    0.08
 1996    0.39   -0.02    0.79    0.25    0.43
 1997    0.24    0.38    0.27    0.15    0.24
 1998    0.11   -0.36    0.28    0.23    0.08
 1999    0.27   -0.18    0.68    0.10    0.39
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.65    1.17    0.56    0.88    0.07
 2001    0.72    0.10    1.37    0.77    0.41
 2002   -0.18    0.24   -0.42   -0.09   -0.36
 2003   -0.04   -0.39   -0.27    0.38   -0.12
 2004    0.24   -0.44    0.46    0.41    0.25
 2005    0.22    1.36    0.43    0.15   -0.63
 2006   -0.13   -0.18   -0.51    0.06    0.04
 2007    0.04    0.17   -0.32    0.23    0.04
 2008    0.08   -0.52    0.30    0.22    0.08
 2009   -0.15   -0.42    0.13   -0.14   -0.27
 2010    0.54   -0.11    0.60    0.49    0.98
 2011    0.45    0.77    0.12    0.54    0.47
 2012    0.44    0.24    0.51    0.46    0.46
 2013    0.66    0.46    0.98    0.60    0.56
 2014    0.78    0.36    1.23    0.57    0.89
 2015    0.55    0.71    0.07    0.70    0.71
 2016    0.44   -0.18    0.73    0.03    1.11
 2017    0.44    1.11    0.05    0.20    0.70
 2018    0.52    0.51    0.88    0.52    0.15
 2019    0.41    0.40    0.38    0.57    0.24
 2020    0.34    0.06    0.74    0.36    0.11
 2021    0.37    0.26    0.33    0.41    0.44
 2022    0.57    0.66    0.21    0.68    0.72
 2023    0.87    0.75    0.91    0.94    0.81
 2024    0.79    1.64    0.55    0.74    0.55
 2025    0.89    1.06    1.49    0.38    0.86
 2026    0.63    0.58    0.77    0.44    0.75
 2027    0.63    0.15    0.61    0.42    1.26
 2028    1.11    1.56    1.08    1.16    0.79
