Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        26.83   26.68   27.83   25.94   27.13
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960    0.11    0.51    0.33    0.01   -0.23
 1961    0.03   -0.19    0.32   -0.03   -0.03
 1962    0.30    0.01    0.77   -0.22    0.72
 1963   -0.25    0.26   -0.43   -0.42   -0.17
 1964   -0.34    0.22    0.13   -0.43   -1.08
 1965   -0.50   -0.30   -0.41   -0.69   -0.47
 1966   -0.46   -0.35   -0.65   -0.72    0.02
 1967   -0.20    0.13   -0.28   -0.34   -0.18
 1968   -0.17   -0.59   -0.28   -0.08    0.11
 1969   -0.23    0.53   -0.34   -0.45   -0.34
 1970   -0.14   -0.18   -0.66    0.11    0.05
 1971   -0.02   -0.43   -0.23   -0.02    0.47
 1972    0.05    0.63   -0.13    0.09   -0.21
 1973   -0.12    0.31   -0.02   -0.17   -0.43
 1974   -0.10    0.13   -0.36   -0.39    0.41
 1975   -0.05    0.28    0.24   -0.18   -0.37
 1976    0.01    0.24   -0.05    0.06   -0.15
 1977    0.18    0.54   -0.03    0.18    0.15
 1978    0.13    0.14   -0.01    0.31    0.02
 1979    0.21    0.42    0.37    0.12    0.02
 1980    0.15   -0.18    0.48    0.19   -0.01
 1981    0.02    0.65    0.20    0.03   -0.60
 1982    0.02   -0.42    0.05    0.29   -0.10
 1983   -0.46   -0.37   -0.38   -0.74   -0.24
 1984   -0.34   -0.70    0.04   -0.41   -0.38
 1985    0.03   -0.36    0.25    0.09   -0.00
 1986    0.10    0.50    0.07    0.06   -0.06
 1987    0.04    0.08    0.33    0.02   -0.25
 1988    0.07   -1.38    0.12    0.43    0.49
 1989    0.24    0.49    0.50   -0.06    0.20
 1990    0.16    0.03    0.05    0.17    0.33
 1991    0.21    0.37    0.24    0.06    0.26
 1992   -0.33    0.14   -0.18   -0.74   -0.27
 1993   -0.19    0.67   -0.64   -0.26   -0.21
 1994    0.03    0.06   -0.19    0.28   -0.10
 1995   -0.21   -0.85   -0.23   -0.09    0.09
 1996   -0.16    0.13   -0.10   -0.28   -0.27
 1997   -0.16   -0.67    0.15    0.11   -0.49
 1998   -0.03   -0.48   -0.01    0.07    0.12
 1999    0.66    0.17    0.11    0.68    1.52
 2000    0.72    1.14    0.81    0.49    0.66
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004    0.59    1.07    0.90    0.50    0.07
 2005    0.10   -0.05    0.35    0.07   -0.02
 2006    0.15   -0.82    0.24    0.42    0.35
 2007    0.58    0.06    0.52    0.79    0.71
 2008    0.29    0.30   -0.06    0.32    0.60
 2009    0.55    0.97    0.35    0.52    0.52
 2010    0.36    0.05    0.60    0.27    0.44
 2011    0.60    0.09    0.46    1.03    0.50
 2012    0.66    0.58    0.74    0.87    0.35
 2013    0.84    1.09    0.76    0.72    0.93
 2014    0.64    0.65    0.70    0.54    0.69
 2015    1.07    1.43    0.96    1.13    0.88
 2016    0.77    0.21    0.66    0.86    1.14
 2017    0.53    1.03    0.36    0.33    0.66
 2018    0.85    0.87    0.68    0.70    1.21
 2019    0.69    0.53    1.04    0.60    0.56
 2020    0.67    0.72    0.76    0.52    0.75
 2021    0.78    0.16    0.50    1.12    1.00
 2022    0.83    0.63    1.33    0.65    0.69
 2023    1.11    1.04    1.44    0.90    1.12
 2024    0.61    0.96    0.45    0.54    0.62
 2025    0.81    0.96    1.11    1.00    0.15
 2026    0.80   -0.10    0.86    0.93    1.19
 2027    0.89    0.75    0.56    1.09    1.05
 2028    1.16    1.37    1.43    0.99    0.98
 2029    0.94    0.96    0.99    0.58    1.36
 2030    0.77    1.12    0.85    0.53    0.79
 2031    1.03    0.36    1.43    1.13    0.93
 2032    1.39    1.76    1.43    1.47    1.00
 2033    0.92    1.58    0.79    0.86    0.70
 2034    1.12    1.09    0.88    1.37    1.05
 2035    1.03    0.85    0.89    0.98    1.34
 2036    1.33    0.90    1.18    1.53    1.50
 2037    1.11    0.95    1.65    0.96    0.90
 2038    1.27    1.25    1.37    0.91    1.65
 2039    1.19    0.25    1.47    1.25    1.44
 2040    1.46    1.98    1.53    1.15    1.45
 2041    1.48    1.23    1.96    1.44    1.22
 2042    1.24    1.13    1.35    1.24    1.22
 2043    1.36    1.04    2.04    1.06    1.28
 2044    1.74    1.91    2.04    1.71    1.39
 2045    1.37    1.29    1.76    1.41    0.99
 2046    1.48    1.30    1.62    1.35    1.64
 2047    1.44    1.33    2.13    1.31    0.99
 2048    1.57    1.97    1.44    1.61    1.39
 2049    1.71    1.51    1.77    1.55    2.00
 2050    1.49    0.95    1.82    1.50    1.52
 2051    1.96    1.37    1.88    2.01    2.34
 2052    1.65    0.87    1.89    1.58    2.02
 2053    1.87    2.09    1.95    1.70    1.88
 2054    1.80    1.17    1.74    1.40    2.83
 2055    2.16    1.74    2.41    2.25    2.07
 2056    2.04    2.16    2.13    1.63    2.43
 2057    1.87    1.79    2.33    1.54    1.91
 2058    2.06    2.06    1.91    1.76    2.62
 2059    1.85    2.23    2.01    1.33    2.12
 2060    2.35    2.25    2.33    1.91    3.04
 2061    2.31    2.30    2.87    2.06    2.09
 2062    2.11    2.44    2.07    1.55    2.69
 2063    2.27    2.47    2.57    1.94    2.28
 2064    2.16    2.45    2.56    1.90    1.91
 2065    2.18    2.35    2.23    1.87    2.43
 2066    1.96    1.42    2.00    2.19    1.97
 2067    2.56    2.43    2.60    2.49    2.68
 2068    2.27    2.48    2.42    2.02    2.33
 2069    2.25    2.19    2.95    1.87    2.10
 2070    2.23    1.39    2.72    2.32    2.17
 2071    2.61    2.92    2.43    2.60    2.62
 2072    2.64    2.86    2.48    2.54    2.78
 2073    2.65    2.59    2.74    2.48    2.82
 2074    2.31    1.80    2.54    1.98    2.86
 2075    3.15    1.76    3.33    3.55    3.34
 2076    2.97    2.92    3.43    2.68    2.93
 2077    2.89    1.80    2.78    3.27    3.21
 2078    3.25    2.88    3.77    3.06    3.22
 2079    3.09    2.56    3.71    3.00    2.96
 2080    2.79    2.65    3.10    2.79    2.56
 2081    2.97    2.51    3.21    2.90    3.13
 2082    3.10    2.79    3.53    2.93    3.10
 2083    3.27    3.00    3.42    3.25    3.32
 2084    3.17    2.42    3.38    3.38    3.20
 2085    3.14    2.44    3.49    3.21    3.17
 2086    3.25    3.48    3.20    3.32    3.05
 2087    3.16    2.37    3.49    2.97    3.60
