Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        26.64   26.50   27.95   25.81   26.54
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960    0.06   -0.39   -0.06    0.09    0.44
 1961   -0.09   -0.01   -0.29    0.08   -0.17
 1962   -0.61   -0.34   -0.56   -0.66   -0.76
 1963   -0.45   -0.17   -0.34   -0.47   -0.73
 1964   -0.10   -0.17    0.09   -0.04   -0.33
 1965   -0.20    0.22   -0.14   -0.38   -0.29
 1966   -0.37   -0.25   -0.74   -0.21   -0.28
 1967    0.18   -0.48    0.10    0.56    0.21
 1968   -0.56    0.19   -0.33   -0.61   -1.23
 1969   -1.15   -1.99   -1.02   -1.17   -0.69
 1970   -0.51   -0.92   -0.65   -0.38   -0.26
 1971   -0.02    0.31   -0.09   -0.19    0.04
 1972    0.13   -0.11    0.47    0.33   -0.32
 1973   -0.12   -0.53    0.17   -0.09   -0.16
 1974   -0.37   -0.04   -0.94   -0.30   -0.13
 1975   -0.23   -0.12   -0.52   -0.16   -0.10
 1976   -0.46   -0.31   -1.10   -0.17   -0.30
 1977   -0.11   -0.61    0.31    0.16   -0.56
 1978   -0.06    0.13   -0.15   -0.10   -0.05
 1979   -0.13   -0.03   -0.09   -0.51    0.29
 1980    0.56    0.52    0.63    0.59    0.49
 1981   -0.15    0.27   -0.14   -0.42   -0.06
 1982   -0.02   -0.36   -0.13    0.13    0.11
 1983    0.63    0.54    1.09    0.52    0.38
 1984   -0.18    0.22   -0.27   -0.23   -0.31
 1985   -0.37    0.09   -0.04   -0.62   -0.68
 1986   -0.26    0.01   -0.71   -0.16   -0.13
 1987   -0.08   -0.41   -0.17   -0.18    0.36
 1988    0.29    0.17    0.08    0.41    0.40
 1989    0.14    0.88    0.41   -0.25   -0.09
 1990   -0.25   -0.83   -0.35   -0.30    0.29
 1991    0.62    0.28    0.80    0.65    0.65
 1992    0.00   -0.15    0.01    0.04    0.05
 1993    0.03   -0.44    0.37    0.23   -0.25
 1994    0.24    0.24    0.38    0.29    0.05
 1995   -0.23    0.43   -0.38   -0.35   -0.38
 1996   -0.06   -0.48    0.03   -0.04    0.09
 1997    0.75    0.34    0.13    1.10    1.18
 1998    0.45    1.50    1.01    0.32   -0.64
 1999   -0.23   -0.55   -0.17   -0.32    0.05
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.03    0.73   -0.26   -0.18    0.15
 2001    0.54   -0.03    0.46    0.74    0.76
 2002    0.41   -0.02    0.33    0.60    0.54
 2003    0.91    0.28    1.15    1.04    0.92
 2004   -0.14    0.74    0.14   -0.46   -0.57
 2005   -0.35   -0.81   -0.53   -0.23   -0.03
 2006    0.35    0.54    0.01    0.59    0.24
 2007    0.49    0.36    0.73    0.24    0.68
 2008    0.13    0.84   -0.37   -0.10    0.48
 2009    0.57    0.17    0.81    0.42    0.81
 2010    0.78    0.43    0.45    0.79    1.32
 2011    0.88    0.88    0.79    0.80    1.09
 2012    0.64    1.58    0.28    0.39    0.71
 2013    0.39    0.78   -0.06    0.22    0.80
 2014    0.78    1.08    0.53    0.67    0.97
 2015    0.66    1.06    0.74    0.53    0.48
 2016    0.10    0.58    0.67   -0.04   -0.58
 2017    0.08   -0.57    0.18    0.09    0.42
 2018    0.53    1.65    0.37    0.32    0.21
 2019    0.43    1.19    0.30    0.11    0.49
 2020    0.32    0.52    0.14    0.25    0.46
 2021    0.63    1.66   -0.20    0.47    0.99
 2022    1.31    1.59    1.07    1.09    1.67
 2023    1.25    1.74    1.48    1.06    0.95
 2024    0.77    1.49    1.03    0.20    0.81
 2025    0.54    0.55    0.86    0.30    0.54
 2026    0.60    1.64    0.47    0.43    0.27
 2027    0.97    0.59    0.94    1.00    1.21
 2028    1.24    0.45    1.43    1.49    1.24
 2029    1.04    1.17    1.33    0.90    0.85
 2030    0.47    0.52    0.52    0.34    0.57
 2031    1.00    0.91    0.77    1.01    1.28
 2032    1.39    0.79    1.95    1.60    0.94
 2033    0.48    0.97    0.55    0.18    0.49
 2034    0.89    0.32    1.20    0.70    1.19
 2035    1.71    1.15    1.82    1.81    1.85
 2036    1.54    1.95    1.21    1.28    1.92
 2037    1.05    2.26    1.12    0.50    0.92
 2038    1.01    1.57    1.00    0.57    1.25
 2039    1.08    1.52    1.22    1.04    0.69
 2040    1.16    1.34    0.70    1.09    1.59
 2041    1.17    1.73    0.86    1.02    1.31
 2042    1.19    1.45    0.99    1.06    1.41
 2043    1.06    1.72    0.66    0.81    1.34
 2044    1.33    1.36    0.87    1.12    2.05
 2045    1.61    2.28    1.43    1.31    1.77
 2046    1.54    1.65    1.24    1.35    2.03
 2047    1.94    2.59    1.94    1.96    1.48
 2048    2.13    2.47    1.86    2.14    2.18
 2049    1.68    2.17    1.38    1.36    2.09
 2050    1.14    1.35    0.55    0.89    1.92
 2051    1.65    2.44    1.80    1.03    1.78
 2052    1.58    2.07    0.95    1.56    1.89
 2053    2.22    2.42    2.42    2.10    2.05
 2054    1.54    1.96    1.49    1.07    1.93
 2055    1.43    1.87    0.90    1.27    1.88
 2056    2.16    2.44    2.16    1.78    2.47
 2057    2.31    2.59    2.39    2.37    1.98
 2058    1.66    2.45    1.74    1.26    1.58
 2059    1.86    2.16    1.72    1.70    2.00
 2060    2.60    2.99    2.84    2.14    2.69
 2061    2.53    2.86    2.67    2.11    2.71
 2062    2.39    3.06    2.43    2.08    2.32
 2063    1.84    2.95    1.82    1.09    2.10
 2064    2.30    2.59    1.79    2.20    2.73
 2065    2.75    3.43    2.56    2.73    2.49
 2066    3.13    3.16    2.94    3.12    3.33
 2067    2.04    3.15    1.95    1.44    2.20
 2068    1.96    1.92    1.63    1.58    2.81
 2069    2.87    3.54    2.39    2.89    2.88
 2070    2.54    3.37    2.48    2.32    2.34
 2071    2.90    2.78    2.51    2.74    3.59
 2072    2.79    3.64    2.58    2.59    2.70
 2073    2.17    1.85    2.47    1.80    2.57
 2074    2.23    2.88    1.81    1.91    2.65
 2075    2.86    2.90    3.16    2.46    3.04
 2076    3.02    3.19    2.84    2.73    3.47
 2077    2.63    3.76    2.73    1.66    3.08
 2078    2.78    3.67    2.79    2.17    2.99
 2079    2.71    2.98    2.73    2.34    2.99
 2080    3.27    2.34    2.76    3.45    4.14
 2081    4.01    4.46    3.70    4.17    3.78
 2082    3.73    4.83    3.66    3.48    3.37
 2083    3.42    3.67    2.95    3.59    3.50
 2084    4.09    3.66    3.88    4.15    4.52
 2085    3.85    5.15    4.25    3.34    3.24
 2086    2.97    3.53    2.69    2.48    3.52
 2087    3.29    3.56    3.28    2.88    3.66
 2088    3.66    4.11    3.78    3.22    3.81
 2089    3.21    3.92    3.38    2.52    3.49
 2090    3.37    4.11    3.45    2.94    3.39
 2091    3.78    4.35    3.67    3.45    3.95
 2092    3.71    4.84    3.36    3.32    3.82
 2093    3.60    4.37    3.59    3.25    3.57
 2094    3.50    3.91    3.58    3.17    3.58
 2095    4.05    4.59    3.86    3.63    4.42
 2096    3.36    4.02    3.19    2.98    3.60
 2097    4.38    4.14    3.96    4.31    5.05
 2098    4.70    5.50    4.73    4.35    4.59
 2099    3.80    4.43    3.63    3.21    4.34
 2100     NaN     NaN     NaN     NaN     NaN
Projections under SRES A1B scenario
 2000    0.14    0.53   -0.02   -0.13    0.40
 2001    0.32    0.50    0.35    0.38    0.09
 2002    0.50    0.41    0.55    0.33    0.73
 2003    0.14    0.67    0.30    0.14   -0.36
 2004    0.41    0.23    0.71    0.40    0.25
 2005    0.39    0.05    0.23    0.45    0.69
 2006    0.38    0.19    0.53    0.14    0.69
 2007    0.64    0.72    0.20    0.68    0.96
 2008    0.36    0.25    0.73    0.44   -0.05
 2009    0.20    0.49    0.78    0.39   -0.81
 2010    0.22    0.79    0.28   -0.16    0.27
 2011    0.36    0.33    0.11    0.38    0.58
 2012    0.17    0.40    0.03   -0.08    0.51
 2013    0.77    0.81    0.35    0.63    1.35
 2014    0.91    2.06    1.21    0.41    0.50
 2015    0.06   -0.38   -0.46    0.11    0.78
 2016    0.63    0.77    1.32    0.35    0.23
 2017    0.84    0.63    0.17    0.95    1.51
 2018    1.03    1.93    1.28    0.69    0.64
 2019   -0.11    0.30   -0.12   -0.36   -0.04
 2020    0.28    0.28    0.05    0.05    0.80
 2021    0.84    0.83    1.11    0.64    0.83
 2022    0.97    1.53    0.60    0.75    1.24
 2023    0.79    1.17    0.90    0.48    0.85
 2024    1.00    0.88    0.94    0.98    1.15
 2025    0.84    0.79    1.06    0.68    0.89
 2026    0.66    0.53    1.26    0.36    0.55
 2027    0.72    0.17    0.29    0.70    1.53
 2028    1.43    1.57    1.21    1.23    1.81
 2029    1.32    1.58    1.24    1.38    1.16
