Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual      JF     MAM    JJAS     OND
        164.2    10.0   168.1   312.7    65.1
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -5.71  -59.40  -17.49   -0.17   -5.33
 1961   -2.79   17.08   14.82   -5.19  -34.88
 1962    1.51   73.72    0.81    1.39   -3.30
 1963   -0.11  -91.54   20.94   -3.25  -25.04
 1964   -2.72  -51.42   -5.30    1.85  -20.26
 1965   -2.90  -60.85   -6.96   -0.36   -2.76
 1966    9.75   12.51    6.46    9.37   20.38
 1967   -8.42  -71.80  -23.85    2.12  -29.60
 1968   10.16  -42.48   -7.72   11.69   51.82
 1969   -8.12  -93.01  -37.70    8.08  -26.80
 1970    4.03   11.12   -5.77    8.83   -2.12
 1971   -0.67  -67.86   13.03   -6.06    5.27
 1972   -8.17  -89.35  -17.30   -5.60    7.30
 1973   -1.04  -30.59    0.59    2.06  -22.11
 1974   -9.50  -16.70  -24.06    0.44  -34.84
 1975   -0.67   72.42  -20.22   12.21  -40.12
 1976   -5.62   63.33   -5.52   -2.06  -35.63
 1977   15.21  245.33   10.73    9.37   40.62
 1978  -10.11  -97.31  -11.93   -7.67  -12.18
 1979   -0.79    3.58  -10.87   -4.64   49.39
 1980  -16.23  -37.25  -30.10   -7.77  -32.44
 1981   10.10  -91.15   12.83    8.67   22.50
 1982    1.34  -90.83    8.68    2.95  -18.50
 1983    9.84  265.18    6.88   13.29  -30.65
 1984   -0.41  -54.52    6.85    4.13  -42.66
 1985   -6.40  -32.94  -26.24    0.07    6.14
 1986    8.20   -2.34   13.75   -6.77   90.77
 1987   -8.12  -27.55  -23.52   -5.31   15.69
 1988    3.56  -47.09   21.59   -5.81   22.20
 1989    3.99   -3.89   17.26   -3.48   18.36
 1990   -1.69  282.41    3.94   -9.29    3.39
 1991    1.81   28.22   19.10   -3.19  -13.52
 1992    8.20  -37.85   25.32    2.45    5.49
 1993    4.59  223.71   -5.35    3.72   13.43
 1994    7.35  -87.12   28.95    1.24    0.32
 1995   -6.71  -87.12    9.64  -11.77   -8.33
 1996    5.23  -65.46    5.40    8.61   -9.61
 1997   -1.43  -79.47   10.07   -7.29   14.38
 1998   -2.83  -96.88  -17.63    2.98    7.83
 1999   -3.06  -52.06  -16.13    5.69  -20.36
 2000    7.00  -73.22  -19.14   14.45   34.99
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -7.04  -84.78  -27.78   -0.42   12.07
 2002   10.17  -61.94   31.32    0.24   26.54
 2003    1.83  -51.32   -2.13   -1.13   36.40
 2004   -5.27   26.37  -18.12   -4.35   18.79
 2005   -1.56  -40.40   28.72  -15.47   13.30
 2006   -1.86  -71.94    5.55   -2.05  -12.60
 2007   -7.36  -97.16  -33.54    2.47    6.43
 2008    0.95   73.60    3.61    3.39  -28.97
 2009   -7.40  -78.17  -29.37   -2.85   27.40
 2010    0.15  -91.21    3.34    1.90  -10.03
 2011    7.12   73.11   -4.92   17.63  -35.76
 2012    4.34  101.11    7.50    1.14    6.84
 2013   -4.29  -69.85   -9.59    0.92  -17.21
 2014    3.45  243.17  -20.18    7.58   13.55
 2015    3.25   35.34   47.24  -12.36  -13.60
 2016    5.00  234.37   -6.10   11.73  -32.80
 2017   -5.88   34.43   34.64  -22.71   -6.88
 2018    7.78   87.95    5.67   -3.39   76.52
 2019    2.54  -87.53   13.48   -5.79   36.78
 2020   11.05  104.78   27.33   -1.67   40.91
 2021    5.68  -92.05   21.58    3.64  -12.38
 2022   -2.78  -59.64   13.77   -3.62  -34.37
 2023   11.67   37.49   54.05   -5.36    8.60
 2024    5.53  -42.47    3.73    7.72    1.03
 2025    1.52  -96.73  -22.47   13.98   -6.25
 2026   -0.48  -76.11  -15.54    3.68   19.50
 2027    9.73  -66.21   20.98    6.54    8.85
 2028   -6.65  -79.40  -19.69   -3.31   13.00
 2029    9.49  -88.92   20.82   12.75  -30.59
 2030    0.32  -15.85    5.25    1.80  -20.23
 2031   -1.62  -70.06   13.56   -5.45   -9.24
 2032    2.89  -72.15   19.45   -3.16    6.56
 2033    4.15  -64.11   25.11    1.78  -27.77
 2034   -1.51  -24.68  -23.75    5.60   12.76
 2035    9.58  -14.40   39.84    1.99  -17.44
 2036  -12.16  -81.05   -2.18  -11.87  -32.76
 2037    3.03   35.11   23.46   -1.51  -23.92
 2038   -0.75  -83.21   19.02   -7.25   -1.78
 2039   -0.56   -4.29  -23.94    8.46    2.47
 2040   -0.48  -60.35   18.13   -5.80   -8.44
 2041   -5.82   14.89   -1.01   -6.58  -15.54
 2042  -15.24  -96.85  -23.02   -8.86  -27.67
 2043    4.59  -55.35  -18.45   11.54   25.68
 2044   -5.47   30.64  -14.07   -4.93    9.54
 2045    5.92  -99.44   14.47    6.52   -9.21
 2046    5.27  -40.18   25.38   -0.48   -5.27
 2047   12.42  -49.23   34.97    9.89  -23.28
 2048    1.48  -52.23   -4.68    2.82   14.29
 2049   -2.62  -98.96  -12.64    2.17    2.42
 2050    8.41  -23.88   23.72    1.96   13.45
 2051    5.66    0.39   30.78   -0.44  -19.60
 2052   -8.13  -81.73   12.24   -8.85  -48.58
 2053   10.88  -26.33   23.01    4.83   22.11
 2054   -0.43   -5.59  -16.79    4.57   10.29
 2055    0.55  -84.03  -13.49    7.98   -2.16
 2056    8.53  -98.44  -13.51   23.30  -18.14
 2057    3.20  -62.88    1.52    8.55  -19.94
 2058   -2.24  -96.22   18.84  -10.47    5.69
 2059   13.08    3.46   13.18   20.70  -34.99
 2060   -3.92  -93.67   -1.44   -9.04   31.63
 2061   -0.75  -84.80   -2.50    5.20  -25.69
 2062   13.92  216.36   25.70   10.06  -12.43
 2063   -5.55  -91.22  -33.47   -1.14   47.03
 2064    8.24  -96.09  -13.29   17.54   14.95
 2065   -1.99  -73.70  -41.64    9.94   31.29
 2066  -15.55  -94.47    9.28  -23.71  -19.38
 2067    9.74  -96.79   -0.84   20.73  -22.40
 2068   -1.08    8.26   24.30   -9.01  -16.76
 2069    2.33  -76.20   12.56    2.21  -15.32
 2070   -2.83  -40.40   13.90   -6.31  -19.95
 2071    4.11  -96.79  -23.33   16.34    6.95
 2072    2.05   -6.81   11.85   -0.95   -3.20
 2073    7.80  -98.27  -14.74   25.56  -36.91
 2074    2.42  -88.77   35.32   -9.67    4.19
 2075    1.30  -87.47   21.00   -2.67  -15.10
 2076    9.43  -87.72   19.97    0.35   50.28
 2077    1.68  -40.56   -2.73    2.57   11.65
 2078   -4.74  -55.13   29.24  -16.97   -9.04
 2079    1.98  -95.75   17.66   -3.88    9.03
 2080   -4.70  -51.22   -0.09   -8.32   11.29
 2081    1.30  -60.85  -14.04   10.14   -9.33
 2082   -1.00  -95.89   15.90   -4.46  -12.85
 2083   -2.54  -93.79   -5.92   -2.42   14.70
 2084    2.33   -4.05  -13.58   12.07  -18.25
 2085  -11.79  -72.72  -18.53  -10.96    6.53
 2086   -6.47  -97.65    1.22   -5.95  -20.36
 2087   -3.85    1.84   -3.45   -1.51  -20.36
