Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual      JF     MAM    JJAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    25.56   25.29   27.37   24.53   25.31
1962    25.56   25.86   27.00   24.60   25.21
1963    25.89   26.08   27.29   25.24   25.22
1964    25.55   26.09   27.12   24.43   25.11
1965    25.42   24.95   26.93   24.68   25.20
1966    25.68   25.45   27.33   24.95   25.13
1967    25.56   25.53   27.17   24.64   25.19
1968    25.67   25.51   26.69   25.21   25.36
1969    25.94   26.35   27.69   24.91   25.30
1970    25.85   26.20   27.36   24.98   25.28
1971    25.45   25.40   26.82   24.66   25.16
1972    25.77   25.56   26.78   25.26   25.57
1973    26.14   26.23   27.57   25.51   25.47
1974    25.74   25.74   27.19   24.91   25.39
1975    25.59   25.71   27.06   24.65   25.29
1976    25.37   25.73   26.70   24.66   24.76
1977    25.89   25.83   27.36   25.01   25.66
1978    25.84   26.71   27.14   24.80   25.37
1979    26.12   26.35   27.53   25.31   25.63
1980    26.01   26.48   27.31   25.30   25.34
1981    25.89   25.54   27.24   25.23   25.63
1982    25.82   25.69   27.29   25.22   25.23
1983    26.25   25.99   28.04   25.38   25.80
1984    25.90   25.55   27.20   25.39   25.51
1985    25.83   25.87   27.39   25.02   25.33
1986    25.56   24.99   27.14   25.13   24.91
1987    26.31   25.88   27.57   25.84   25.95
1988    25.93   25.53   27.90   25.07   25.40
1989    25.83   25.42   27.16   25.17   25.65
1990    26.09   25.40   27.64   25.38   25.94
1991    26.06   26.49   27.38   25.39   25.36
1992    25.86   25.80   27.24   24.94   25.75
1993    26.03   25.90   27.27   25.28   25.86
1994    25.77   25.40   27.19   25.18   25.37
1995    25.95   24.53   27.63   25.36   26.01
1996    25.95   26.50   27.19   25.17   25.38
1997    26.15   26.54   27.02   25.33   26.10
1998    26.73   26.94   28.78   25.56   26.11
1999    25.75   25.36   27.60   24.86   25.33
2000    26.08   26.49   27.90   25.04   25.39
2001    26.39   26.02   27.84   25.38   26.52
2002    26.58   26.37   28.20   25.81   26.12
2003    26.47   26.31   28.35   25.19   26.42
2004    26.70   26.60   28.17   25.80   26.51
2005    26.61   26.44   28.12   25.57   26.59
2006      NaN     NaN     NaN     NaN     NaN
