Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
       Annual      JF     MAM    JJAS     OND
        199.9     9.9   109.6   419.0   124.6
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual      JF     MAM    JJAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    28.53   -4.81    8.73   80.66    1.04
1962    37.87   -6.78   42.40   42.59   56.82
1963    22.49   15.73  -10.96   49.93   23.87
1964    14.17   -1.35  -23.78   52.47   11.39
1965     4.12    8.18   -5.88   20.77  -10.79
1966    35.72   -2.17   33.57   44.51   51.41
1967    20.30   -4.76  -10.30   44.86   34.86
1968    29.11   26.51   16.88   21.49   53.22
1969    41.37   -1.44   37.07   72.17   33.14
1970     3.68    2.05   23.06  -15.42   10.83
1971     0.10   -6.84   -4.92  -15.32   30.31
1972    -3.53   -5.51   10.13  -22.94   10.00
1973    -5.31   -7.54   38.42  -44.32    4.45
1974    -5.37   -7.85  -24.31   11.80   -7.68
1975     5.53   -2.68   -3.44   23.71   -4.25
1976    13.94    2.05   40.61  -34.14   59.29
1977    -6.61   -4.52  -26.69   23.63  -28.26
1978    28.95   24.72   28.09   46.60    9.10
1979     4.24    5.41  -13.06   13.88    7.92
1980     4.26   20.60   10.95  -20.19   19.27
1981    25.60    8.52   60.88   26.41    0.61
1982     1.50   -6.50   10.73   18.16  -24.62
1983    -3.87    1.64    5.27    3.58  -26.62
1984   -15.71   -5.75   52.87  -67.49  -21.90
1985    -6.81   13.35  -36.03    8.67  -11.68
1986   -25.85   -2.53  -11.57  -53.21  -19.20
1987   -16.24    1.38    1.18  -34.69  -20.79
1988    -3.97   -6.82  -30.25   44.43  -40.35
1989    -1.40   -0.21   -2.59    4.76   -9.21
1990    -8.19   -1.24  -17.44  -22.81   15.90
1991   -17.58   -8.30  -52.88  -20.12   14.91
1992     7.87    4.03   -9.59   38.33  -12.74
1993     2.42   -4.46    6.42   -0.98    7.54
1994    18.70    2.22   -6.13   26.46   44.15
1995    -5.32   -8.31    9.60   -6.70  -16.39
1996     5.69    5.87    3.98   25.65  -19.32
1997    17.99   -7.22  -12.06   73.35   -8.97
1998   -23.28   -4.67  -33.68  -15.91  -35.13
1999     8.60   -0.89  -17.57  -15.21   72.83
2000    11.51   -2.29  -32.88   30.02   40.43
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
