Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual      JF     MAM    JJAS     OND
        199.9     9.9   109.6   419.0   124.6
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual      JF     MAM    JJAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    10.21  -27.09   -0.14   16.72   -3.89
1962    16.41  -33.93   35.10    8.61   32.95
1963    12.22  270.22   -5.31    9.85   22.51
1964     7.01  -13.29   -0.20   10.35    1.38
1965     3.49  105.12    5.67    1.35    4.72
1966    22.42  -27.37   25.90   17.44   40.63
1967     8.19  -48.08    4.97    5.78   22.54
1968    15.78   90.13   30.54    7.35   31.72
1969    19.76   28.91   21.03   15.29   34.94
1970    -0.35   41.69   13.37   -1.65   -8.62
1971    -4.89  -34.58   -7.96   -9.71   17.01
1972     0.03  -10.48   28.26   -7.32    5.24
1973    -5.79  -63.95   30.35  -15.41    3.85
1974     0.57  -46.92  -19.14    5.33    0.98
1975     1.01  -34.16    7.09    2.42   -7.41
1976     6.43   33.91   23.80   -9.09   48.97
1977     2.06  -31.14  -17.52   11.86  -17.09
1978    11.88  117.60   11.38   12.02    6.57
1979     4.64   29.21   -9.30    5.76   10.44
1980     2.49  102.34   -3.58   -4.04   26.82
1981     6.42   -7.25   22.14    6.19   -4.68
1982     3.32  -29.11   12.82    6.71  -15.36
1983     1.20  -36.15    7.10    3.33   -9.65
1984    -7.07  -32.45   30.93  -13.73  -11.56
1985    -3.84   20.47  -29.24    2.76   -9.16
1986   -11.04  -31.41  -13.72  -10.97   -8.13
1987    -9.74   -8.81   -9.36   -9.87   -9.60
1988    -4.10  -18.28  -27.80    6.17  -22.61
1989     0.32   -9.15    7.29   -1.52    2.04
1990    -5.45  -36.79   -9.71   -7.04    5.47
1991    -9.29  -59.59  -20.46   -7.29   -5.28
1992     6.37   25.87   -2.59    9.75    0.02
1993     1.40  -27.60   -3.56    1.24    7.37
1994     1.04   23.89   -7.79    2.63    1.10
1995     3.15  -51.74    6.22    4.61   -2.07
1996     4.32  125.17    5.23    6.63  -10.97
1997    -5.12    4.86  -21.50   -1.38   -6.41
1998     3.33   58.72   12.96    4.73  -12.35
1999     6.70  -14.17  -15.74    6.89   25.07
2000     6.38  -27.84    4.38    4.59   16.33
2001     0.58  -20.36   -4.75   -1.14   12.30
2002     1.40   86.52   -2.22    0.05    5.17
2003     6.53  -26.35    8.95    7.86    1.24
2004     1.00  -22.28   -7.24    1.56    6.68
2005   -17.94  118.55  -57.65  -11.66  -16.12
2006    -9.36  -29.09  -27.07   -6.69   -4.13
