Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         38.36    24.76    31.04    33.52    31.85
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960     11.33      NaN      NaN      NaN      NaN
1961      7.73     9.40     9.10     1.74    12.16
1962      5.14    14.08    11.08     0.29     5.67
1963     -0.25    -4.01   -18.82    -1.85    -4.33
1964      3.64     5.70     8.11     6.24     3.90
1965     -1.59     5.50     2.66    -7.61    -3.91
1966     -3.25     4.71   -25.82    -4.66    -6.14
1967     -8.73     5.80   -14.03    -0.65    -5.57
1968     -7.01    -4.99    -6.52   -15.20     1.36
1969     -3.66   -10.56   -15.21     5.30    -4.88
1970     -4.66     5.27    -7.29    -4.32    -3.75
1971      9.09    -1.97     4.98    -2.40    17.96
1972      2.00    -0.76     6.30     0.58    -1.27
1973     -8.26     1.42    -6.06    11.41    -8.15
1974      0.48     1.54    17.94    -7.58   -10.05
1975     -4.72    -6.67   -21.11    -5.57    -5.83
1976      1.86     7.56     4.60     8.21    -6.23
1977      4.18     7.57     8.66    -0.80     2.41
1978      2.91    -2.80   -14.31     1.14     9.02
1979      1.95     4.48     7.49     3.39     3.38
1980      2.89     6.16    -3.20    -4.76     3.68
1981     -2.37     4.58     1.46    17.35    -7.38
1982     -2.47    -3.41    -9.85     5.91    -3.31
1983     -1.63     4.26    -6.19    -2.61     6.95
1984      2.77   -12.40    -3.52   -13.61    13.77
1985      4.28    -4.07     8.80    -5.06    -0.86
1986     -3.62    10.50    -8.80    -0.59    -4.20
1987     -3.21    -0.35     2.33     0.53     1.23
1988     -4.97   -12.38     8.22     1.57    -8.39
1989      5.46   -10.95   -17.81    13.08     1.20
1990     -2.90    14.12    -2.04    -1.76     2.38
1991     -0.10    -5.00     8.55    -1.13   -21.79
1992     -4.37    -1.82    -9.93    11.51     4.27
1993     -6.63    -5.23    -1.81     1.78   -11.22
1994      2.95     4.67     8.17    -0.47     8.61
1995      4.50    -3.79     0.70    -3.09    15.14
1996      0.74    -6.81    12.44    -7.78    -4.83
1997      3.75    -3.67    14.05   -14.39    -1.53
1998      3.23     1.31    -8.22    -2.93     7.98
1999     -3.14     8.62     5.45     2.38     0.81
2000     16.16    -8.19    26.62    -0.97    20.38
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.53    -2.29    12.39    -2.29     2.51
2047      6.42    -5.36    12.48   -11.29     7.66
2048     -0.79    -0.88   -11.50   -13.04     3.40
2049      8.44     3.49    13.12     2.92    12.54
2050      0.83     7.88     5.34    -1.47     4.91
2051      1.05    -9.64    11.35     8.69   -10.95
2052      2.83    10.56    16.34    -1.49    -6.28
2053      5.66    -4.54     1.70   -13.14     6.01
2054      6.44     2.52     6.07    11.80     2.14
2055      6.02    13.84    20.49    -0.56    -8.19
2056     10.57     3.11    11.27    -4.99     6.91
2057      3.65    18.31    12.22     4.63    -7.72
2058      5.34     4.38    21.33    -3.49    -2.15
2059      2.88    -0.26     7.44    10.47    -1.69
2060      7.47     7.51    19.89     2.87    -9.36
2061      8.27     9.97    13.42    13.05    -5.75
2062     12.95    15.86    24.09    -9.49     1.38
2063      9.42    15.19    18.42     6.58     2.41
2064      8.82    13.83    18.11    -1.77     2.46
2065      4.87     9.05     4.75     6.56    15.92
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     13.21    -2.87    20.61    14.11     0.36
2082      8.59    17.93    20.91    -0.58    -2.94
2083     14.78     7.72    14.54    -4.74    21.56
2084      8.10    12.94    19.18    -3.78    -0.37
2085     14.07     5.66    16.76    -4.56    15.43
2086      6.34     3.46    15.44    11.38     0.70
2087      8.81     8.65    10.34     5.66    11.33
2088      6.46    14.01    23.83     1.56     1.10
2089     13.41    -1.98    17.80     3.30    14.89
2090     16.58    11.04    18.08     6.12    23.32
2091      3.59     9.86    16.16    -2.77    -2.61
2092      8.26    -5.50     1.75    10.06    18.10
2093     15.45     3.30    23.24    -4.18    13.24
2094     10.29    14.24    15.27    -0.08    16.13
2095     11.78     9.70    20.16    -7.56    13.10
2096     16.73     1.66    21.10     7.60    16.05
2097      3.86    14.41    20.87    14.89    -2.95
2098     11.33    -1.25    23.69    10.19     8.42
2099     13.23     6.52    18.67    -3.13    -0.11
2100     16.82    18.88    20.41    -0.35    24.68
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      6.99     9.62    19.04    -3.79    13.17
2047      8.58    -5.41    12.64     8.62    15.02
2048      6.08     3.15    -1.17     0.17     0.92
2049     -1.60    13.94     8.18    -6.36    -5.32
2050     -1.05     4.99    12.20     1.54    -8.28
2051      5.53     2.62    14.42    -3.68     6.83
2052      3.72     2.70     9.03     0.46     5.56
2053      9.05     7.84    16.28     0.05     4.89
2054      7.06    17.46    -0.74     3.65    10.44
2055      2.60     7.60    10.88     5.24    -4.57
2056      1.38     2.94    13.87     1.93    -9.59
2057      6.74     8.88     9.64     0.61    12.03
2058      9.54     2.62    14.08    -3.79     1.71
2059      3.53    10.23    21.19    11.33    -9.47
2060      5.20     1.87     8.52    -2.43    10.66
2061     12.10    -1.18    14.46    -2.97    18.00
2062     -1.28    16.20    -5.26   -11.50     5.23
2063     13.02    -5.81    20.15     2.76    17.69
2064     -1.08    10.47    10.40     9.05    -7.46
2065      0.43    -0.31    14.93    -3.84   -10.83
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
